source_term	target_term	category	confidence
artificial kidney	искусственная почка	other_medical	approved
asbestos	асбест	other_medical	approved
aspart insulin	инсулин аспарт	medication	approved
aspartame	аспартам	medication	approved
aspirin	аспирин	medication	approved
assistive devices	вспомогательные принадлежности	other_medical	approved
asthma	астма	diagnosis	approved
asthma attack	приступ астмы	symptom	approved
asthma attacks	приступы астмы	diagnosis	approved
asthma severity	степень тяжести астмы	diagnosis	approved
asthma triggers	аллергены	other_medical	approved
atrial fibrillation	фибрилляция предсердий	diagnosis	approved
atrophic vaginitis	атрофический вагинит	diagnosis	approved
aura	аура	symptom	approved
automated peritoneal dialysis	автоматический перитонеальный диализ	procedure	approved
autonomic neuropathy	вегетативная нейропатия	diagnosis	approved
av fistula	артериовенозный свищ	procedure	approved
axillary temperature	температура под мышкой	test	approved
baby blues	послеродовый стресс	diagnosis	approved
baby food	детское питание	other_medical	approved
baby's heart rate	сердечный ритм плода	test	approved
baby's heartbeat	сердцебиение плода	test	approved
back	спина	anatomy	approved
back injury	травма спины	diagnosis	approved
back muscles	мышцы спины	anatomy	approved
back pain	болит спина	symptom	approved
back pain	боль в спине	symptom	approved
back problems	проблемы со спиной	diagnosis	approved
back strain	напряжение спины	symptom	approved
backache	боль в спине	symptom	approved
bacteria	бактерии	other_medical	approved
bacterial infection	бактериальная инфекция	diagnosis	approved
bacterial pneumonia	бактериальная пневмония	diagnosis	approved
bacterial vaginosis	бактериальный вагиноз	diagnosis	approved
bad dreams	ночные кошмары	symptom	approved
bad taste in mouth	неприятный привкус во рту	symptom	approved
balance loss	потеря равновесия	symptom	approved
balance problems	проблемы с равновесием	symptom	approved
ball of foot	передняя часть стопы	anatomy	approved
ball of foot	подушечка стопы	anatomy	approved
balloon	баллон	other_medical	approved
balloon angioplasty	баллонная ангиопластика	procedure	approved
band-aid	пластырь	other_medical	approved
bandage	повязка	procedure	approved
barium enema	бариевая клизма	test	approved
barium mixture	бариевая смесь	medication	approved
barium x-ray	рентген с барием	test	approved
barium x-rays	рентген с барием	test	approved
basal cell carcinoma	базально-клеточная карцинома	diagnosis	approved
bat bite	укус летучей мыши	diagnosis	approved
battery-powered wheelchair	инвалидное кресло на аккумуляторе	other_medical	approved
behavior modification	изменение привычек	procedure	approved
behavior problems	проблемы с поведением	symptom	approved
benign tumors	доброкачественные опухоли	diagnosis	approved
biofeedback	метод биологической обратной связи	procedure	approved
biological emergency	биологическая катастрофа	other_medical	approved
biophysical profile	биофизический профиль	test	approved
biopsy	биопсия	procedure	approved
biotherapy	биотерапия	procedure	approved
birth control	противозачаточные средства	medication	approved
birth control pills	противозачаточные таблетки	medication	approved
birth defects	врожденные дефекты	diagnosis	approved
bisacodyl	бисакодил	medication	approved
biscodyl	бисакодил	medication	approved
bitter taste	горький привкус	symptom	approved
black cohosh	клопогон кистевидный	medication	approved
bladder	мочевой пузырь	anatomy	approved
bladder control	контроль работы мочевого пузыря	symptom	approved
bladder infection	инфекция мочевого пузыря	diagnosis	approved
bladder infection	инфекция мочеиспускательного канала	diagnosis	approved
bladder retraining program	программа тренировки мочевого пузыря	procedure	approved
bladder stones	камни в мочевом пузыре	diagnosis	approved
bladder test	уродинамическое исследование	test	approved
bleeding	кровотечение	symptom	approved
bleeding	кровоточить	symptom	approved
bleeding at the site	кровотечение на месте ввода	symptom	approved
bleeding disorder	нарушение кровообращения	diagnosis	approved
bleeding gums	кровотечение десен	symptom	approved
bleeding problems	кровотечения	symptom	approved
blindness	слепота	symptom	approved
blister	волдырь	symptom	approved
blisters	волдыри	symptom	approved
bloated	вздутие	symptom	approved
bloated	вздутие живота	symptom	approved
bloating	вздутие живота	symptom	approved
blockage	закупорка сосуда	diagnosis	approved
blockage in blood vessels	закупорка кровеносных сосудов	diagnosis	approved
blood cancer	рак крови	diagnosis	approved
blood cells	кровяные клетки	anatomy	approved
blood cholesterol	холестерин	other_medical	approved
blood cholesterol level	уровень холестерина в крови	test	approved
blood clot	тромб	other_medical	approved
blood clot filter	кава-фильтр	other_medical	approved
blood clots	сгустки крови	symptom	approved
blood clots	тромбы	diagnosis	approved
blood diseases	заболевания крови	diagnosis	approved
blood flow	кровообращение	other_medical	approved
blood flow	кровоток	other_medical	approved
blood glucose	глюкоза в крови	test	approved
blood in stool	кровь в стуле	symptom	approved
blood in stool	следы крови в стуле	symptom	approved
blood loss	потеря крови	symptom	approved
blood pressure	давление	test	approved
blood pressure	кровяное давление	test	approved
blood pressure check	измерение давления	test	approved
blood pressure check	проверка артериального давления	test	approved
blood pressure cuff	манжета для измерения давления	other_medical	approved
blood pressure cuff	манжета для измерения кровяного давления	procedure	approved
blood pressure medicine	лекарство для снижения давления	medication	approved
blood pressure medicine	лекарство от повышенного артериального давления	medication	approved
blood pressure medicine	лекарство, нормализующее кровяное давление	medication	approved
blood pressure medicines	лекарства от кровяного давления	medication	approved
blood sample	анализ крови	test	approved
blood sample	образец крови	procedure	approved
blood sugar	сахар в крови	test	approved
blood sugar	уровень сахара	test	approved
blood sugar	уровень сахара в крови	test	approved
blood sugar level	уровень сахара в крови	test	approved
blood sugar levels	уровень сахара в крови	test	approved
blood supplies	кровоток	anatomy	approved
blood test	анализ крови	test	approved
blood test for jaundice	анализ крови на желтуху	test	approved
blood tests	анализ крови	test	approved
blood tests	анализы крови	test	approved
blood thinner	лекарства для разжижения крови	medication	approved
blood thinner medicine	препарат, разжижающий кровь	medication	approved
blood thinners	лекарства для разжижения крови	medication	approved
blood thinners	препараты, разжижающие кровь	medication	approved
blood transfusion	переливание крови	procedure	approved
blood type	группа крови	test	approved
blood urea nitrogen	азот в составе мочевины крови	test	approved
blood vessel	кровеносный сосуд	anatomy	approved
blood vessel disease	заболевание кровеносных сосудов	diagnosis	approved
blood vessel disease	сосудистые заболевания	diagnosis	approved
blood vessel swelling	расширение кровеносных сосудов	symptom	approved
blood vessels	кровеносные сосуды	anatomy	approved
blood vessels	сосуды	anatomy	approved
blood-thinning medication	лекарства для разжижения крови	medication	approved
bloody show	отхождение слизистой пробки	symptom	approved
bloody urine	кровь в моче	symptom	approved
blue or gray skin color	кожа синего или серого цвета	symptom	approved
blueness around mouth	посинение вокруг рта	symptom	approved
bluish-gray fingernails	посинение ногтей	symptom	approved
bluish-gray spots	синевато-серые пятна	symptom	approved
blurred vision	затуманенное зрение	symptom	approved
blurred vision	помутнение зрения	symptom	approved
blurred vision	размытое зрение	symptom	approved
blurred vision	расплывчатое зрение	symptom	approved
blurry vision	затуманенное зрение	symptom	approved
blurry vision	размытое зрение	symptom	approved
body aches	боль в теле	symptom	approved
body aches	ломота в теле	symptom	approved
body temperature	температура тела	test	approved
boil	фурункул	symptom	approved
boils	фурункулез	diagnosis	approved
bone cancer	рак костей	diagnosis	approved
bone cement	костный цемент	medication	approved
bone densitometry test	остеоденситометрия	test	approved
bone density	плотность костей	test	approved
bone fracture	перелом	diagnosis	approved
bone fracture	перелом кости	diagnosis	approved
bone fracture	переломы костей	diagnosis	approved
bone loss	потеря костной массы	symptom	approved
bone marrow	костный мозг	anatomy	approved
bone marrow biopsy	биопсия костного мозга	test	approved
bone mineral density test	анализ минеральной плотности костной ткани	test	approved
bone scan	сцинтиграфия	test	approved
bone spurs	костные наросты	symptom	approved
bones	кости	anatomy	approved
booster seat	бустер	other_medical	approved
bottle-feeding	искусственное вскармливание	procedure	approved
bowel control	контроль работы кишечника	symptom	approved
bowel disease	заболевание кишечника	diagnosis	approved
bowel habits	работа кишечника	symptom	approved
bowel movement	испражнение	symptom	approved
bowel movement	опорожнение кишечника	symptom	approved
bowel movement	стул	symptom	approved
bowel movements	дефекация	other_medical	approved
bowel movements	стул	symptom	approved
bowel prep	подготовка кишечника	procedure	approved
brachytherapy	брахитерапия	procedure	approved
brain	мозг	anatomy	approved
brain activity	активность мозга	test	approved
brain bleeding	кровотечение в мозге	symptom	approved
brain bruising	ушиб головного мозга	symptom	approved
brain damage	повреждение мозга	symptom	approved
brain death	смерть мозга	diagnosis	approved
brain disorders	нарушения работы мозга	diagnosis	approved
brain injury	травма головного мозга	diagnosis	approved
brain injury	черепно-мозговая травма	diagnosis	approved
brain swelling	отек головного мозга	symptom	approved
brain tissue shrinkage	уменьшение мозговой ткани	symptom	approved
brain tumors	опухоли мозга	diagnosis	approved
brand name medicine	фирменный препарат	medication	approved
braxton-hicks	схватки брэкстона-хикса	symptom	approved
breast	грудь	anatomy	approved
breast biopsy	биопсия молочной железы	procedure	approved
breast cancer	рак груди	diagnosis	approved
breast engorgement	застой молока	symptom	approved
breast engorgement	нагрубание молочных желез	symptom	approved
breast engorgement	прибывание молока	symptom	approved
breast exam	обследование груди	procedure	approved
breast exam	обследование молочных желез	procedure	approved
breast implants	грудные имплантаты	other_medical	approved
breast infection	инфекция в груди	diagnosis	approved
breast infection	инфекция молочной железы	diagnosis	approved
breast massage	массаж груди	procedure	approved
breast milk	грудное молоко	medication	approved
breast milk expression	сцеживание грудного молока	procedure	approved
breast milk storage	хранение грудного молока	procedure	approved
breast pump	молокоотсос	procedure	approved
breast reconstruction	реконструктивная хирургия груди	procedure	approved
breast swelling	набухание груди	symptom	approved
breast tenderness	чувствительность груди	symptom	approved
breast tissue	ткань груди	anatomy	approved
breast tissue	ткань молочной железы	anatomy	approved
breast tissue expander	тканевые расширители груди	other_medical	approved
breast ultrasound	узи молочных желез	test	approved
breastbone	грудина	anatomy	approved
breastfeed	кормить грудью	procedure	approved
breastfeed	кормить ребенка грудью	procedure	approved
breastfeeding	грудное вскармливание	other_medical	approved
breastfeeding	кормление	procedure	approved
breastfeeding	кормление грудью	procedure	approved
breastfeeding	прикладывание к груди	procedure	approved
breastfeeding latch	прикладывание к груди	procedure	approved
breastmilk	грудное молоко	other_medical	approved
breastmilk	материнское молоко	other_medical	approved
breasts	грудь	anatomy	approved
breathing	дыхание	test	approved
breathing difficulty	затрудненное дыхание	symptom	approved
breathing difficulty	трудность дыхания	symptom	approved
breathing exerciser	дыхательный тренажер	procedure	approved
breathing exercises	дыхательная гимнастика	procedure	approved
breathing exercises	дыхательные упражнения	procedure	approved
breathing faster than normal	учащенное дыхание	symptom	approved
breathing medicines	лекарства для органов дыхания	medication	approved
breathing problems	затруднение дыхания	symptom	approved
breathing problems	проблемы с дыханием	symptom	approved
breathing rate	частота дыхания	test	approved
breathing treatment	ингаляционное лечение	procedure	approved
breathing trouble	проблемы с дыханием	symptom	approved
breathing tube	дыхательная трубка	procedure	approved
bridge	мостик	procedure	approved
bridging	мостик	procedure	approved
brisk walking	быстрая ходьба	other_medical	approved
brittle bones	хрупкие кости	symptom	approved
broken bone	перелом	diagnosis	approved
broken bone	сломанная кость	diagnosis	approved
broken bones	переломы	diagnosis	approved
bronchi	бронхи	anatomy	approved
bronchioles	бронхиолы	anatomy	approved
bronchitis	бронхит	diagnosis	approved
bronchoscopy	бронхоскопия	procedure	approved
bronchus	бронхи	anatomy	approved
brown urine	моча коричневого цвета	symptom	approved
bruised	кровоподтеки	symptom	approved
bruised	с кровоподтеками	symptom	approved
bruised	синеть	symptom	approved
bruised spots	синяки	symptom	approved
bruising	кровоподтек	symptom	approved
bruising	кровоподтеки	symptom	approved
bruising	синяк	symptom	approved
bruising	синяки	symptom	approved
bulb syringe	аспиратор	procedure	approved
bulimia	булимия	diagnosis	approved
bulk laxative	слабительное, увеличивающее объем	medication	approved
bun test	анализ bun	test	approved
burning	жжение	symptom	approved
burning pain	жжение	symptom	approved
burning sensation	жжение	symptom	approved
burning skin	ожоги кожи	symptom	approved
burning when passing urine	жжение при мочеиспускании	symptom	approved
burns	ожоги	diagnosis	approved
burp	отрыгнуть	procedure	approved
burp	срыгивание	procedure	approved
burp baby	подождать отрыжки	procedure	approved
burping	отрыжка	procedure	approved
buttocks	ягодицы	anatomy	approved
bypass surgery	операция шунтирования	procedure	approved
caffeine	кофеин	medication	approved
calcium	кальций	medication	approved
calcium supplement	кальций	medication	approved
calcium supplement	кальцийсодержащий препарат	medication	approved
calcium supplements	препараты кальция	medication	approved
callus	мозоль	symptom	approved
cancer	рак	diagnosis	approved
cancer cells	раковые клетки	anatomy	approved
cancer in the blood	рак крови	diagnosis	approved
cancer in the bone	рак костей	diagnosis	approved
cancer screening	тестирование на рак	test	approved
cancer treatment	лечение онкологических заболеваний	procedure	approved
cancer treatment	лечение онкологического заболевания	procedure	approved
cancer treatment	лечение рака	procedure	approved
cancer-related fatigue	утомляемость, связанная с раком	symptom	approved
canker sores	афтозный стоматит	symptom	approved
capd	напд	procedure	approved
carbon monoxide	угарный газ	other_medical	approved
carbon monoxide detector	детектор угарного газа	other_medical	approved
carbon monoxide poisoning	отравление угарным газом	diagnosis	approved
carcinoma	карцинома	diagnosis	approved
cardiac catheterization	коронарография	procedure	approved
cardiac magnetic resonance imaging	магнитно-резонансная томография сердца	test	approved
cardiac rehab program	курс реабилитации для больных с заболеваниями сердца	procedure	approved
cardiac rehab program	программа реабилитации сердца	procedure	approved
cardiac stress test	нагрузочный тест сердца	test	approved
cardiac ultrasound	узи сердца	test	approved
cardiopulmonary resuscitation	реанимация	procedure	approved
cardioversion	кардиоверсия	procedure	approved
cartilage	хрящ	anatomy	approved
cartilage breakdown	разрушение хряща	symptom	approved
cast	гипс	procedure	approved
cast	гипсовая повязка	procedure	approved
cat stretch	выгибание позвоночника	procedure	approved
cataracts	катаракта	diagnosis	approved
catheter	катетер	procedure	approved
ccpd	нцпд	procedure	approved
central catheter	центральный катетер	procedure	approved
cephalexin	цефалексин	medication	approved
cerebral hemorrhage	кровоизлияние в мозг	diagnosis	approved
cerebral palsy	церебральный паралич	diagnosis	approved
cerebrospinal fluid	спинномозговая жидкость	anatomy	approved
cervical cancer	рак шейки матки	diagnosis	approved
cervical cancer screening	скрининг на рак шейки матки	test	approved
cervical changes	изменения шейки матки	symptom	approved
cervical curve	шейный изгиб	anatomy	approved
cervix	шейка матки	anatomy	approved
cervix dilation	раскрытие шейки матки	symptom	approved
cesarean birth	кесарево сечение	procedure	approved
cesarean delivery	кесарево сечение	procedure	approved
change in sleeping pattern	изменение характера сна	symptom	approved
changes in behavior	изменение поведения	symptom	approved
changes in bowel habits	изменения в работе кишечника	symptom	approved
changes in taste and smell	изменения вкуса и запаха	symptom	approved
cheek	щека	anatomy	approved
cheek puff exercise	надувание щек	procedure	approved
chemical emergency	химическая катастрофа	other_medical	approved
chemical poisoning	химическое отравление	diagnosis	approved
chemo	химия	procedure	approved
chemotherapy	химиотерапия	procedure	approved
chemotherapy medicines	химиотерапевтические препараты	medication	approved
chest	грудная клетка	anatomy	approved
chest bones	кости груди	anatomy	approved
chest cold	простудное заболевание	diagnosis	approved
chest compression	компрессия грудной клетки	procedure	approved
chest congestion	заложенность в груди	symptom	approved
chest pain	боль в груди	symptom	approved
chest pressure	давление в груди	symptom	approved
chest pressure	ощущение сдавливания в груди	symptom	approved
chest pressure	сдавливание груди	symptom	approved
chest pressure	чувство сдавливания в груди	symptom	approved
chest surgery	операция на груди	procedure	approved
chest tightness	сдавленность в грудной клетке	symptom	approved
chest x-ray	рентген грудной клетки	test	approved
chest x-ray	рентгеновский снимок грудной клетки	test	approved
chest x-ray	рентгенография легких	test	approved
chest x-ray	рентгенография органов грудной клетки	test	approved
chest x-ray	флюорография	test	approved
chest x-ray	флюорография грудной клетки	test	approved
chewing problems	проблемы с жеванием	symptom	approved
chg soap	мыло с хгг	medication	approved
chickenpox	ветряная оспа	diagnosis	approved
child safety seats	детские сиденья	other_medical	approved
child's weight	вес ребенка	other_medical	approved
children's tylenol	детский тайленол	medication	approved
chills	озноб	symptom	approved
chlorhexidine gluconate	хлоргексидин глюконат	medication	approved
chlorhexidine gluconate	хлоргексидина биглюконат	medication	approved
chlorhexidine gluconate	хлоргексидина глюконат	medication	approved
choking	закупорка дыхательных путей	symptom	approved
choking	поперхивание	symptom	approved
choking	удушье	symptom	approved
cholesterol	холестерин	other_medical	approved
cholesterol test	анализ крови на холестерин	test	approved
chorionic villus sampling	проба ворсинчатого хориона	procedure	approved
chronic bronchitis	хронический бронхит	diagnosis	approved
chronic kidney failure	хроническая почечная недостаточность	diagnosis	approved
chronic obstructive pulmonary disease	хронические обструктивные болезни легких	diagnosis	approved
ciprofloxacin	ципрофлоксацин	medication	approved
circulation problems	проблемы с кровообращением	symptom	approved
circumcised penis	обрезанный пенис	anatomy	approved
circumcision	обрезание	procedure	approved
citrucel	цитруцел	medication	approved
clean catch	чистый сбор	procedure	approved
clean catch urine sample	сбор мочи методом clean catch	test	approved
clear liquid diet	диета прозрачных жидкостей	other_medical	approved
clear liquids	прозрачные жидкости	other_medical	approved
clonidine	клофелин	medication	approved
cloudy urine	мутная моча	symptom	approved
cluster headache	кластерная головная боль	diagnosis	approved
coil	катушка	other_medical	approved
cold	простуда	diagnosis	approved
cold hands and feet	холодные руки и ноги	symptom	approved
cold hands or feet	холод в руках или ногах	symptom	approved
cold packs	охлаждающий пакет	procedure	approved
cold sores	герпес	symptom	approved
cold treatment	холодовое лечение	procedure	approved
coldness	холод	symptom	approved
colon	ободочная кишка	anatomy	approved
colon	толстая кишка	anatomy	approved
colon cancer	рак ободочной кишки	diagnosis	approved
colon cancer	рак толстой кишки	diagnosis	approved
colon cramping	кишечные спазмы	symptom	approved
colon examination	обследование кишечника	procedure	approved
colon inflammation	воспаление толстой кишки	symptom	approved
colon lining	выстилка ободочной кишки	anatomy	approved
colonoscopy	колоноскопия	procedure	approved
color changes	изменение цвета	symptom	approved
colorectal cancer	колоректальный рак	diagnosis	approved
colostomy	осмотр прямой и ободочной кишки	procedure	approved
colostrum	молозиво	anatomy	approved
colposcope	кольпоскоп	procedure	approved
coma	кома	diagnosis	approved
comfort suck	сосать грудь для успокоения	procedure	approved
computerized tomography scan	кт-сканирование	test	approved
concentration problems	проблемы с вниманием	symptom	approved
concussion	сотрясение	diagnosis	approved
condoms	презервативы	other_medical	approved
confused thoughts	помрачение сознания	symptom	approved
confusion	дезориентация	symptom	approved
confusion	помутнение сознания	symptom	approved
confusion	растерянность	symptom	approved
confusion	спутанность сознания	symptom	approved
confusion	чувство замешательства	symptom	approved
confusion about time and space	ориентацией во времени и пространстве	symptom	approved
congestive heart failure	застойная сердечная недостаточность	diagnosis	approved
constant pain	постоянная боль	symptom	approved
constipation	запор	symptom	approved
contagious	заразный	symptom	approved
continuous ambulatory peritoneal dialysis	непрерывный амбулаторный перитонеальный диализ	procedure	approved
continuous cough	непрекращающийся кашель	symptom	approved
continuous cycling peritoneal dialysis	непрерывный циклический перитонеальный диализ	procedure	approved
continuous positive airway pressure machine	прибор для поддержания постоянного положительного давления в дыхательных путях	procedure	approved
contraction stress test	контрактильный стрессовый тест	test	approved
contractions	схватки	symptom	approved
contrast	контрастное вещество	medication	approved
contrast medicine	контрастное вещество	medication	approved
contusion	контузия	diagnosis	approved
convulsions	конвульсии	symptom	approved
convulsions	судороги	symptom	approved
cool down	упражнения на расслабление	procedure	approved
cool-mist humidifier	рассеивающий увлажнитель воздуха	other_medical	approved
coordination issues	проблемы с координацией	symptom	approved
coordination issues	проблемы с координацией движений	symptom	approved
coordination problems	проблемы с координацией	symptom	approved
copd	хобл	diagnosis	approved
cord care	уход за пупком	procedure	approved
core needle biopsy	толстоигольная биопсия	procedure	approved
corn	костная мозоль	symptom	approved
coronary angiogram	коронарная ангиограмма	test	approved
coronary angioplasty	коронарная ангиопластика	procedure	approved
coronary arteries	коронарные артерии	anatomy	approved
coronary artery bypass surgery	аортокоронарное шунтирование	procedure	approved
coronary artery disease	ишемическая болезнь сердца	diagnosis	approved
corticosteroids	кортикостероиды	medication	approved
cough	кашель	symptom	approved
cough medicine	лекарство от кашля	medication	approved
cough that does not go away	кашель, который не проходит	symptom	approved
cough up blood	харкать кровью	symptom	approved
coughing	кашель	symptom	approved
coughing	прокашливание	procedure	approved
coughing exercises	кашлевые упражнения	procedure	approved
coughing exercises	упражнения по кашлю	procedure	approved
coughing up blood	отхаркивание крови	symptom	approved
coumadin	кумадин	medication	approved
counseling	консультация	procedure	approved
counseling	психологическая помощь	procedure	approved
cpap	сипап	procedure	approved
cpap machine	cpap аппарат	procedure	approved
cpr	реанимация	procedure	approved
cracked lips	потрескавшиеся губы	symptom	approved
cracked nipple	потрескавшийся сосок	symptom	approved
cramping	спазм	symptom	approved
cramping	спазмы	symptom	approved
cramping pain	спазмы и боль	symptom	approved
cramps	спазмы	symptom	approved
crawling sensation	ощущение покалывания	symptom	approved
creatinine test	тест на креатинин	test	approved
creeping sensation	ощущение мурашек	symptom	approved
cross-eyed	косоглазие	symptom	approved
crutches	костыли	other_medical	approved
crying	плач	symptom	approved
csf	цсж	anatomy	approved
ct scan	кт	test	approved
curl up	скручивания	procedure	approved
cushing's disease	болезнь кушинга	diagnosis	approved
cyanosis	посинение	symptom	approved
cyanosis	синий или серый оттенок	symptom	approved
cyberbullying	кибербуллинг	other_medical	approved
cycler	циклер	other_medical	approved
cyst	киста	diagnosis	approved
cystic fibrosis	кистозный фиброз	diagnosis	approved
cystoscopy	цистоскопия	procedure	approved
cysts	кисты	diagnosis	approved
daytime sleepiness	дневная сонливость	symptom	approved
deafness	глухота	symptom	approved
decontamination	обеззараживание	procedure	approved
decontamination	санитарная обработка	procedure	approved
decreased blood flow	уменьшение притока крови	symptom	approved
decreased fetal movement	снижение двигательной активности плода	symptom	approved
deep breathing	глубоко дышать	procedure	approved
deep breathing	глубокое дыхание	procedure	approved
deep breathing exercises	дыхательные упражнения	procedure	approved
deep breathing exercises	упражнения по глубокому дыханию	procedure	approved
deep breaths	глубокие вдохи	procedure	approved
deep cough	глубокий кашель	symptom	approved
deep knee bends	глубокие приседания	procedure	approved
deep sleep	крепкий сон	symptom	approved
defibrillator	дефибриллятор	procedure	approved
dehydrate	обезвоживание	symptom	approved
dehydration	обезвоживание	diagnosis	approved
dehydration	обезвоживание организма	diagnosis	approved
delayed stomach emptying	задержка опорожнения желудка	symptom	approved
delivery	рождение ребенка	procedure	approved
dementia	деменция	diagnosis	approved
dementia	слабоумие	diagnosis	approved
dental care	лечение зубов	procedure	approved
dental floss	зубная нить	other_medical	approved
dental x-rays	рентген зубов	test	approved
dentures	зубные протезы	other_medical	approved
depression	депрессия	diagnosis	approved
dermatologist	дерматолог	other_medical	approved
detemer	детемер	medication	approved
diabetes	диабет	diagnosis	approved
diabetes education	учебные занятия по диабету	procedure	approved
diabetes medicine	диабетические лекарства	medication	approved
diabetes medicines	лекарства от диабета	medication	approved
diabetes pills	таблетки от диабета	medication	approved
diabetic neuropathy	диабетическая невропатия	diagnosis	approved
