Russian	Forbidden_English	Reason
протромбиновая проба, проба Квика	test	generic_single_word_target
рассмотрение страхового иска	review	generic_single_word_target
расстройство личности, изменение личности	disorder	generic_single_word_target
расстройство приёма пищи, нарушение пищевого поведения	disorder	generic_single_word_target
реакция агрегации тромбоцитов	test	generic_single_word_target
реакция тромбо- агглютинации	test	generic_single_word_target
ревматическое заболевание сердца	disease	generic_single_word_target
рекреационная [оздоровительная] терапия	therapy	generic_single_word_target
синдром «лицо эльфа», синдром Вильямса	syndrome	generic_single_word_target
синдром дезорганизации действий	syndrome	generic_single_word_target
синдром длительного сдавливания	syndrome	generic_single_word_target
синдром запястного канала, карпальный туннельный синдром	syndrome	generic_single_word_target
синдром истощения при ВИЧ-инфекции	syndrome	generic_single_word_target
синдром коровьего бешенства	disease	generic_single_word_target
синдром Корсакова, алкогольный паралич	syndrome	generic_single_word_target
синдром полиорганной недостаточности (СПН	failure	generic_single_word_target
синдром пролапса клапана	syndrome	generic_single_word_target
синдром радикулопатии (при давлении межпозвоночного диска	syndrome	generic_single_word_target
синдром Рея (острая печёночная энцефалопатия, белая печёночная болезнь	syndrome	generic_single_word_target
синдром сонного апноэ	syndrome	generic_single_word_target
синдром социального осуждения	syndrome	generic_single_word_target
синдром социальной изоляции	syndrome	generic_single_word_target
синдром хронической усталости	syndrome	generic_single_word_target
синюшный ребёнок, цианотичный ребёнок	syndrome	generic_single_word_target
системная семейная терапия	therapy	generic_single_word_target
системная терапия, системная антибиотикотерапия	therapy	generic_single_word_target
скрининг, осмотр, обследование	screening	generic_single_word_target
смешанная [сочетанная] инфекция	infection	generic_single_word_target
снятие болевых ощущений	management	generic_single_word_target
социотерапия, социальная терапия	therapy	generic_single_word_target
СПИД (синдром приобретённого иммунодефицита	syndrome	generic_single_word_target
терапия, консервативное лечение	therapy	generic_single_word_target
тест адгезии тромбоцитов	test	generic_single_word_target
тест Векслера на уровень интеллектуального развития	test	generic_single_word_target
тест ингибиции гемагглютинации	test	generic_single_word_target
тест ингибиции миграции лейкоцитов	test	generic_single_word_target
тест ингибиции миграции макрофагов	test	generic_single_word_target
тест на адаптивные способности	test	generic_single_word_target
тест на выявление способностей	test	generic_single_word_target
тест на запоминание	test	generic_single_word_target
тест на объём восприятия	test	generic_single_word_target
тест на пространственное восприятие	test	generic_single_word_target
тест на развитие мелкой моторики	test	generic_single_word_target
тест на самоконтроль	test	generic_single_word_target
тест на содержание хлорида натрия в потовой жидкости	test	generic_single_word_target
тест на уровень интеллекта	test	generic_single_word_target
тест пенообразования амниотической жидкости	test	generic_single_word_target
тест познавательных способностей	test	generic_single_word_target
тест профпригодности, тест профессиональной подготовки	test	generic_single_word_target
тест Роршаха, тест	test	generic_single_word_target
тест словесных ассоциаций	test	generic_single_word_target
тест творческих способностей	test	generic_single_word_target
тест умственных способностей	test	generic_single_word_target
тест Хант-Миннесота на выявление степени утраты интеллекта в результате мозговой травмы	test	generic_single_word_target
тест эмоциональной стабильности	test	generic_single_word_target
тест-доза, пробная доза	test	generic_single_word_target
тестирование на ВИЧ в домашних условиях	test	generic_single_word_target
трансвестизм двойной роли	dressing	generic_single_word_target
тревожный невроз, невроз страха	disorder	generic_single_word_target
трудотерапия, трудовая терапия	therapy	generic_single_word_target
Управление (деятельностью программы, организации	Management	generic_single_word_target
фиброзно-кистозная мастопатия (ФКМ	disease	generic_single_word_target
холодные ноги (болезнь Рейно	disease	generic_single_word_target
целиакия (непереносимость глютена	disease	generic_single_word_target
цепная передача инфекции	infection	generic_single_word_target
эпитимпанит (хронический отит с поражением височной кости	disease	generic_single_word_target
