Russian	English	Category	Confidence	Sources	Issues
dental, orthodontic) ортодонтические брекеты	brackets		reference_only	baldwin_reference	
disability rights) создание условий для лиц с ограниченными возможностями здоровья, интеграция и аккомодация инвалидов	inclusion		reference_only	baldwin_reference	
dxa сканирование	dxa scan	test	reference_only	my_medlineplus	
ECHO-вирус	Echovirus		reference_only	baldwin_reference	
ECHO-вирусные болезни	diseases		reference_only	baldwin_reference	
exam) профилактический медицинский осмотр	physical		reference_only	baldwin_reference	
H-антиген, син. Жгутиковый антиген	H-antigen, syn. Flagellar antigen		reference_only	vaccine_pdf_WHO	
HB) / Гепатит B	Hepatitis B (hep B		reference_only	vaccine_pdf_WHO	
HCWM (medical / healthcare MWM / HCWM (организация удаления и	MWM		reference_only	vaccine_pdf_WHO	
Hib (Haemophilus influenzae tybe b) Hib-вакцина	Hib ([конъюгированная] вакцина		reference_only	vaccine_pdf_WHO	
hospital) больничный халат	gown		reference_only	baldwin_reference	
Immunofluorescence technique / Иммунофлюоресценция	Immunofluorescence		reference_only	vaccine_pdf_WHO	
International болезней (краткое наименование) –	Diseases (short title		reference_only	vaccine_pdf_WHO	
JvEF airway ~s ый нроткелферль ешак	REE		needs_review	akzhigitov_dict	
liquid) нашатырный спирт	ammonia		reference_only	baldwin_reference	
medical) практикующий специалист	practitioner		reference_only	baldwin_reference	
mud therapy) пелоидотерапия, грязелечение	pelotherapy		reference_only	baldwin_reference	
muscle) мышца-разгибатель	extensor		reference_only	baldwin_reference	
muscle) мышца-сгибатель	flexor		reference_only	baldwin_reference	
MWM (healthcare / medical HCWM / MWM (организация удаления и	HCWM		reference_only	vaccine_pdf_WHO	
nerve) блуждающий нерв	vagus		reference_only	baldwin_reference	
nроток предстательной железы	duct		reference_only	baldwin_reference	
of heart рентг. ур тнокца дрес	Blue ~ яя ниСга инк(отчеты министерств, комис­		needs_review	akzhigitov_dict	
of saliva ие наворинопедны юлс	polyvalent 1. й,ынтнелавитьлум ый нтнелавилоп2. т­о		needs_review	akzhigitov_dict	
of urine pH ие ненемзирН чи ом(для форсирования	demodectic ~ оз кедомед		needs_review	akzhigitov_dict	
often the doses дифтерийно-столбнячная вакцина) – отдельные	toxoids) vaccine		reference_only	vaccine_pdf_WHO	
person) человек с физическим или психическим дефектом	handicapped		reference_only	baldwin_reference	
pronounced as психологические установки, навыки, убеждения	Beliefs) survey		reference_only	vaccine_pdf_WHO	
pronounced as сотрудничеству	Cooperation Agency		reference_only	vaccine_pdf_WHO	
psychology) стандартное отклонение	sigma		reference_only	baldwin_reference	
slang) пластическая операция	surgery		reference_only	baldwin_reference	
stomach bug) норовирус	norovirus		reference_only	baldwin_reference	
surgery) круговая пластика лица	lift		reference_only	baldwin_reference	
surgical) хирургическая простыня/ ширма/салфетка	drape		reference_only	baldwin_reference	
technique (FAT) / Реакция иммунофлюоресценции	Fluorescent antibody test		reference_only	vaccine_pdf_WHO	
therapy) постановка банок, вакуумтерапия	cupping		reference_only	baldwin_reference	
tooth) пломбировать (зуб	fill		reference_only	baldwin_reference	
Turner ~ ые ннеджорвки анзирпма орднис	ointment ~ ль етапшли ика чолапля дзи ам Ulrich		needs_review	akzhigitov_dict	
underutilized vaccines / Новые и недостаточно используемые	New and underused		reference_only	vaccine_pdf_WHO	
United Объединенных Наций	Children Emergency Fund		reference_only	vaccine_pdf_WHO	
Y-хромосома	chromosome		reference_only	baldwin_reference	
year в од г	marker ~ ый нрекрамид тпеп(участок гибридной		needs_review	akzhigitov_dict	
«ая ньлып»ашач , я,иротиррет ся яащюагревдоп	bouquet 1. т;екуб ах паз(специфической болезни) dust		needs_review	akzhigitov_dict	
«бей или беги» реакция организма на стрессовую	response		reference_only	baldwin_reference	
«Вакцины-леденцы»	Sugar-glassified vaccines, syn. Sugar-glass stabilized vaccines		reference_only	vaccine_pdf_WHO	
«Горячая точка»	Hot spot		reference_only	vaccine_pdf_WHO	
«Горячий случай» ОВП	“Hot” case of AFP		reference_only	vaccine_pdf_WHO	
«грязная дюжина» (наиболее опасные органические загрязнители	dozen’		reference_only	baldwin_reference	
«детский» аспирин, аспирин в низкой дозе	aspirin		reference_only	baldwin_reference	
«Дозорный» эпиднадзор; контрольно-выборочный	Sentinel surveillance		reference_only	vaccine_pdf_WHO	
«Дорога жизнь каждого ребенка!»	“Every Child Counts!”		reference_only	vaccine_pdf_WHO	
«железные» лёгкие, боксовый респиратор	lungs		reference_only	baldwin_reference	
«заморозка мозга», сфенопалативная ганглионевралгия (головная боль возникающая при	freeze		reference_only	baldwin_reference	
«заячья губа» (незаращение верхней губы	harelip		reference_only	baldwin_reference	
«Леденцовая технология»	Sugar glass technology, syn. Sugar glassification		reference_only	vaccine_pdf_WHO	
«лицо свистящего человека», синдром Фримена-Шелдона	whistling face		reference_only	baldwin_reference	
«Мертвое» пространство	Dead space		reference_only	vaccine_pdf_WHO	
«Молчащие, немые территории»	Silent areas/territories		reference_only	vaccine_pdf_WHO	
«нулевой» лимфоцит	null		reference_only	baldwin_reference	
«нулевой» лимфоцит	lymphocyte		reference_only	baldwin_reference	
«Обратная теплосберегающая цепь»	Reverse warm chain		reference_only	vaccine_pdf_WHO	
«Обратная холодовая цепь»	Reverse cold chain		reference_only	vaccine_pdf_WHO	
«ое ньлетагомопсве»цдрес	bone-seeker оп ртоетсо(радионуклид, имеющий сродство heart		needs_review	akzhigitov_dict	
«Оказание базовой	Basic Support for Institutionalizing Child Survival (BASICS		reference_only	vaccine_pdf_WHO	
«пища для души»	food		reference_only	baldwin_reference	
«подопытный кролик»	guinea pig		reference_only	baldwin_reference	
«покоящийся» лимфоцит	quiescent		reference_only	baldwin_reference	
«пустышка» (физиологически инертное вещество, плацебо	pill		reference_only	baldwin_reference	
«Рецепт маркетинга»	Marketing mix		reference_only	vaccine_pdf_WHO	
«рыбья» кожа	fish		reference_only	baldwin_reference	
«сапожный шов»	suture		reference_only	baldwin_reference	
«сардоническая» улыбка (при столбняке	smile		reference_only	baldwin_reference	
«смерть в колыбели», синдром внезапной детской смерти	death		reference_only	baldwin_reference	
«сухие роды» (осложнённые дородовым излиянием околоплодных вод	xerotocia		reference_only	baldwin_reference	
«Съедобные» вакцины, син. Растительные вакцины	Edible vaccines		reference_only	vaccine_pdf_WHO	
«таблетка» (общее название для гормональных оральных контрацептивов	pill”		reference_only	baldwin_reference	
«Термический шок»	Thermal shock		reference_only	vaccine_pdf_WHO	
«Тест встряхивания»	“Shake test”		reference_only	vaccine_pdf_WHO	
«травник»	herbalist		reference_only	baldwin_reference	
«Ускользнувший» мутант	Escape mutant		reference_only	vaccine_pdf_WHO	
«Фасадные» инвестиции; инвестиции, работающие на	Front-loaded investment		reference_only	vaccine_pdf_WHO	
«щёлкающий» коленный сустав	snapping		reference_only	baldwin_reference	
«эго», «я»	ego		reference_only	baldwin_reference	
абазия (неспособность ходить	abasia		reference_only	baldwin_reference	
абазия-астазия	astasia		reference_only	baldwin_reference	
абактериальный	abacterial		reference_only	baldwin_reference	
абактериальный пристеночный тромбоэндокардит	endocarditis		reference_only	baldwin_reference	
абдоминальная аортография	aortography		reference_only	baldwin_reference	
абдоминальная имплантация	implantation		reference_only	baldwin_reference	
абдоминальная мигрень	migraine		reference_only	baldwin_reference	
абдоминальная пурпура	abdominal		reference_only	baldwin_reference	
абдоминальная экстрипация матки	hysterectomy		reference_only	baldwin_reference	
абдоминальная эпилепсия	epilepsy		reference_only	baldwin_reference	
абдоминальное кесарево сечение	gastrohysterotomy		reference_only	baldwin_reference	
абдоминальный актиномикоз	actinomycosis		reference_only	baldwin_reference	
абдоминальный бандаж	band		reference_only	baldwin_reference	
абдоминальный бандаж	binder		reference_only	baldwin_reference	
абдоминальный катетер	catheter		reference_only	baldwin_reference	
абдоминальный, брюшной	abdominal		reference_only	baldwin_reference	
аберрантный	aberrant		reference_only	baldwin_reference	
аберрантный [добавочный] зоб	goiter		reference_only	baldwin_reference	
аберрация (отклонение от нормы	aberrance		reference_only	baldwin_reference	
абеталипопротеинемия, синдром Бессена-Корнцвейга	[abetalipoproteinemia]		reference_only	baldwin_reference	
абиблиофобия (боязнь, что нечего будет читать	abibliophobia		reference_only	baldwin_reference	
абиоз (состояние безжизненности	abiosis		reference_only	baldwin_reference	
абиотический, нежизнеспособный	abiotic		reference_only	baldwin_reference	
абластика (хирургический принцип профилактики рецидива и метастазирования злокачественной опухоли	ablastics		reference_only	baldwin_reference	
аблеизм (притеснение лиц с физическими недостатками	ableism		reference_only	baldwin_reference	
аблютомания (навязчивое стремление мыть руки	ablutomania		reference_only	baldwin_reference	
аблютофобия (навязчивый страх перед купанием, стиркой, водными процедурами	ablutophobia		reference_only	baldwin_reference	
абляционный катетер	catheter		reference_only	baldwin_reference	
абляция	ablation	procedure	reference_only	my_medlineplus	
аборальный (удалённый от рта	aboral		reference_only	baldwin_reference	
аборт, искусственное прерывание беременности	abortion		reference_only	baldwin_reference	
аборт, произведённый вакуумным отсосом	curretage		reference_only	baldwin_reference	
абортарий (специализированное медицинское заведение, в котором делают аборты	clinic		reference_only	baldwin_reference	
абортивное средство	ecbolic		reference_only	baldwin_reference	
абортивные таблетки	pills		reference_only	baldwin_reference	
абортивный	abortient		reference_only	baldwin_reference	
абортивный	abortive		reference_only	baldwin_reference	
абортированный плод, абортус	abortus		reference_only	baldwin_reference	
абсанс , малый эпилептический припадок	seizure		reference_only	baldwin_reference	
абсанс, кратковременная потеря	absentia		reference_only	baldwin_reference	
абсанс, кратковременная потеря сознания (симптом эпилепсии	absence		reference_only	baldwin_reference	
абсолютная глаукома	glaucoma		reference_only	baldwin_reference	
абсолютный иммунитет	immunity		needs_human_review	baldwin_reference	lost_qualifier:абсолютный
абсолютный иммунитет	complete		needs_human_review	baldwin_reference	lost_qualifier:абсолютный
абсолютный порог	threshold		needs_human_review	baldwin_reference	lost_qualifier:абсолютный
абсорбент	absorbent		reference_only	baldwin_reference	
абсорбировать	absorb		reference_only	baldwin_reference	
абсорбируемый, всасываемый, поглощаемый	absorbable		reference_only	baldwin_reference	
абсорбирующая повязка	dressing		reference_only	baldwin_reference	
абсорбирующий бинт	gauze		reference_only	baldwin_reference	
абсорбирующий бинт	absorbable		reference_only	baldwin_reference	
абсорбирующий, впитывающий	absorbent		reference_only	baldwin_reference	
абсорбция, поглощение	absorption		reference_only	baldwin_reference	
абстинентный	abstinence		reference_only	baldwin_reference	
абстинентный симптом, симптом отмены	symptom		reference_only	baldwin_reference	
абстинентный синдром	withdrawal		reference_only	baldwin_reference	
абстиненция, воздержание	abstinence		reference_only	baldwin_reference	
абстрактное мышление	thinking		reference_only	baldwin_reference	
абстрактное мышление	abstract		reference_only	baldwin_reference	
абсурд	absurdity		reference_only	baldwin_reference	
абсурдный	absurd		reference_only	baldwin_reference	
абсцедирующий панкреатит	abscess		reference_only	baldwin_reference	
абсцесс брюшной полости	peritoneal		reference_only	baldwin_reference	
абсцесс головного мозга	cephalopyosis		reference_only	baldwin_reference	
абсцесс головного мозга	encephalopyosis		reference_only	baldwin_reference	
абсцесс лёгкого	lung		reference_only	baldwin_reference	
абсцесс лёгкого	pulmonary		reference_only	baldwin_reference	
абсцесс лёгкого	abscess		reference_only	baldwin_reference	
абсцесс мозга	abscess		reference_only	baldwin_reference	
абсцесс печени	hepatic		reference_only	baldwin_reference	
абсцесс почки	nephrapostasis		reference_only	baldwin_reference	
абсцесс селезёнки	splenic		reference_only	baldwin_reference	
абузус	abuse		reference_only	baldwin_reference	
абулический, безвольный	abulic		reference_only	baldwin_reference	
абулия (патологическое безволие	abulia		reference_only	baldwin_reference	
абулия, дисбулия	dysbulia		reference_only	baldwin_reference	
аварийно-спасательные работы	response		reference_only	baldwin_reference	
авария	accident		reference_only	baldwin_reference	
авиационно-космическая медицина	medicine		reference_only	baldwin_reference	
авитаминоз (витаминная недостаточность	avitaminosis		reference_only	baldwin_reference	
австралийский антиген	Australia		reference_only	baldwin_reference	
австралийский антиген	antigen		reference_only	baldwin_reference	
автоинжектор	autoinjector		reference_only	baldwin_reference	
Автоклав	Autoclave		reference_only	vaccine_pdf_WHO	
автоклав, паровой стерилизатор	autoclave		reference_only	baldwin_reference	
Автоклавирование/Стерилизация паром	Steam autoclaving		reference_only	vaccine_pdf_WHO	
Автоматизированное разведение вакцины	Auto-reconstitution		reference_only	vaccine_pdf_WHO	
автоматический перитонеальный диализ	automated peritoneal dialysis	procedure	reference_only	my_medlineplus	
Автоматический пробоотборник	Sampler		reference_only	vaccine_pdf_WHO	
автомобиль скорой медицинской помощи	ambulance		reference_only	baldwin_reference	
автономная система	system		reference_only	baldwin_reference	
автономный симптом	symptom		reference_only	baldwin_reference	
автономный, функционально независимый	autonomic		reference_only	baldwin_reference	
автономный, функционально независимый	autonomous		reference_only	baldwin_reference	
Автотрансформатор	Pure transformer regulator		reference_only	vaccine_pdf_WHO	
авульсия (насильственное удаление части тела	avulsion		reference_only	baldwin_reference	
агалактия (отсутствие молока после родов	agalactia		reference_only	baldwin_reference	
агаровая культура	culture		reference_only	baldwin_reference	
агаровая культура	agar		reference_only	baldwin_reference	
агглютинационный тест	test		reference_only	baldwin_reference	
агглютинация	agglutination		reference_only	baldwin_reference	
агглютинирующая сыворотка	serum		reference_only	baldwin_reference	
агглютиноскопия	seroscopy		reference_only	baldwin_reference	
аггравация	aggravation		reference_only	baldwin_reference	
агевзия (утрата вкусовой чувствительности	ageusia		reference_only	baldwin_reference	
агевзия (утрата вкусовой чувствительности	blindness		reference_only	baldwin_reference	
агент	agent		reference_only	baldwin_reference	
агент, тормозящий деятельность сердца	cardioinhibitor		reference_only	baldwin_reference	
агентсво	agency		reference_only	baldwin_reference	
Агентство США по	United States Agency for International Development (USAID		reference_only	vaccine_pdf_WHO	
агитация за здоровый образ жизни, укрепление здоровья	promotion		reference_only	baldwin_reference	
агломерация, накапливание	agglomeration		reference_only	baldwin_reference	
аглоссия	aglossia		reference_only	baldwin_reference	
агональная инфекция	terminal		reference_only	baldwin_reference	
агональная инфекция	infection		reference_only	baldwin_reference	
агональное дыхание	respiration		reference_only	baldwin_reference	
агональный тромб	agonal		reference_only	baldwin_reference	
агональный, предсмертный	agonal		reference_only	baldwin_reference	
агония: агонировать	throe		reference_only	baldwin_reference	
агрегационный анализ	analysis		reference_only	baldwin_reference	
агрегационный анализ	aggregation		reference_only	baldwin_reference	
агрегация	aggregation		reference_only	baldwin_reference	
агрегированные антитела	antibodies		reference_only	baldwin_reference	
агрессивная химиотерапия	chemotherapy		reference_only	baldwin_reference	
агрессивное поведение	aggressive behavior	symptom	reference_only	my_medlineplus	
адактилия (беспалость	adactyly		reference_only	baldwin_reference	
адаптация	acclimatization		reference_only	baldwin_reference	
адаптация	adjustment		reference_only	baldwin_reference	
адаптация	adoption		reference_only	baldwin_reference	
адаптивность	adaptability		reference_only	baldwin_reference	
адаптивный	adaptive		reference_only	baldwin_reference	
адаптированный, приспосабливающийся	adaptive		reference_only	baldwin_reference	
адвокат	attorney		reference_only	baldwin_reference	
адгезивная повязка	adhesive		reference_only	baldwin_reference	
адгезивность	adhesiveness		reference_only	baldwin_reference	
адгезивность тромбоцитов	adhesiveness		reference_only	baldwin_reference	
адгезивный	viscid		reference_only	baldwin_reference	
адгезивный лимфоцит	lymphocyte		reference_only	baldwin_reference	
адгезивный плеврит	adhesive		reference_only	baldwin_reference	
адгезивный, клейкий, вязкий	adhesive		reference_only	baldwin_reference	
адгезионный анализ	analysis		reference_only	baldwin_reference	
адгезионный анализ	adhesion		reference_only	baldwin_reference	
аддикция	addiction		reference_only	baldwin_reference	
адекватная дозировка	dosage		reference_only	baldwin_reference	
адекватная самооценка	self-acceptance		reference_only	baldwin_reference	
Адекватно собранные проба(ы) клинического	Adequate clinical specimen(s		reference_only	vaccine_pdf_WHO	
Адекватно собранные пробы стула	Adequate stool specimens		reference_only	vaccine_pdf_WHO	
адекватность	appropriateness		reference_only	baldwin_reference	
аденит (воспаление железы или	adenitis		reference_only	baldwin_reference	
аденовирусная инфекция	adenovirus		reference_only	baldwin_reference	
аденовирусные болезни	diseases		reference_only	baldwin_reference	
аденоз (заболевание железы или лимфатического узла	adenosis		reference_only	baldwin_reference	
аденоидно-кистозный рак	adenocystic		reference_only	baldwin_reference	
аденокарцинома, железистый рак	adenocarcinoma		reference_only	baldwin_reference	
аденокарцинома, железистый рак	malignant adenoma		reference_only	baldwin_reference	
аденома молочной железы	mastadenoma		reference_only	baldwin_reference	
аденома простаты, доброкачественная гиперплазия предстательной железы (ДГПЖ	benign prostatic hyperplasia (BPH		reference_only	baldwin_reference	
аденоматозный [узловой] зоб	nodular		reference_only	baldwin_reference	
аденоматозный [узловой] зоб	goiter		reference_only	baldwin_reference	
аденоматозный зоб	adenomatous		reference_only	baldwin_reference	
аденопатия (увеличение	adenopathy		reference_only	baldwin_reference	
аденофиброма яичника	ovarian		reference_only	baldwin_reference	
аденоэктомия (удаление глоточных миндалин, аденоидов	adenoidectomy		reference_only	baldwin_reference	
адентия, анодонтия, отсутствие зубов	edentia		reference_only	baldwin_reference	
аденэктомия (удаление железы	adenectomy		reference_only	baldwin_reference	
адефагия (прожорливость, ненасытность	adephagia		reference_only	baldwin_reference	
адинамия	adynamia		reference_only	baldwin_reference	
адипоз, липоз (ожирение	adiposis		reference_only	baldwin_reference	
адипоцит, жировая клетка	adipocyte		reference_only	baldwin_reference	
административное руководство	administration		reference_only	baldwin_reference	
администрация	administration		reference_only	baldwin_reference	
администрация больницы	administration		reference_only	baldwin_reference	
адреналэктомия (удаление надпочечника	adrenalectomy		reference_only	baldwin_reference	
адсорбированная вакцина	vaccine		reference_only	baldwin_reference	
адсорбированная вакцина	adsorbed		reference_only	baldwin_reference	
Адсорбированная коклюшно	toxoids and pertussis (DTP) vaccine		reference_only	vaccine_pdf_WHO	
адсорбированная коклюшно- дифтерийно	DTP		reference_only	baldwin_reference	
Адсорбированный (анатоксин	Adsorbed (toxoid		reference_only	vaccine_pdf_WHO	
Адсорбированный дифтерийно-столбнячный	Diphtheria-tetanus (DT) vaccine		reference_only	vaccine_pdf_WHO	
Адсорбированный дифтерийный анатоксин	Monovalent diphtheria toxoid (D		reference_only	vaccine_pdf_WHO	
Адъювант	Adjuvant		reference_only	vaccine_pdf_WHO	
Адъювант Фрейнда	Freund’s adjuvant		reference_only	vaccine_pdf_WHO	
адъювантная [вспомогательная] химиотерапия	chemotherapy		reference_only	baldwin_reference	
адъювантная терапия	adjuvant		reference_only	baldwin_reference	
адъювантный артрит	arthritis		reference_only	baldwin_reference	
адъювантный, дополнительный	adjuvant		reference_only	baldwin_reference	
ажитолалия (быстрая невнятная речь	agitolalia		reference_only	baldwin_reference	
азартная игра	gambling		reference_only	baldwin_reference	
азбука Брайля	system		reference_only	baldwin_reference	
азидотимидин (АЗТ	AZT		reference_only	baldwin_reference	
азот в составе мочевины крови	blood urea nitrogen	test	reference_only	my_medlineplus	
азот мочевины крови (АМК	BUN		reference_only	baldwin_reference	
азот мочи	urinary		reference_only	baldwin_reference	
азотная кислота	nitric		reference_only	baldwin_reference	
азотная кислота	acid		reference_only	baldwin_reference	
азур (краситель	azure		reference_only	baldwin_reference	
академическая тревожность	test		reference_only	baldwin_reference	
академическая тревожность	anxiety		reference_only	baldwin_reference	
академический	academic		reference_only	baldwin_reference	
акалькулия, дискалькулия (неспособность производить арифметические действия	acalculia		reference_only	baldwin_reference	
акампсия, анкилоз (неподвижность сустава	acampsia		reference_only	baldwin_reference	
акантафазия, аграмматизм	acantaphasia		reference_only	baldwin_reference	
акардия (врождённое отсутствие сердца	acardia		reference_only	baldwin_reference	
акариаз, акародерматит	acariasis		reference_only	baldwin_reference	
акарофобия, скабиофобия (патологическая боязнь заболеть чесоткой	acarophobia		reference_only	baldwin_reference	
акдс	dtap	medication	reference_only	my_medlineplus	
акинезия, гипокинезия	akinesia		reference_only	baldwin_reference	
акинетическая апраксия	apraxia		reference_only	baldwin_reference	
акинетическая апраксия	akinetic		reference_only	baldwin_reference	
акинетический	akinetic		reference_only	baldwin_reference	
акинетопсия (редкое	akinetopsia		reference_only	baldwin_reference	
акклиматизация	acclimatization		reference_only	baldwin_reference	
аккомодационное косоглазие	strabismus		reference_only	baldwin_reference	
аккомодационный рефлекс	reflex		reference_only	baldwin_reference	
Аккредитация (лаборатории	Accreditation		reference_only	vaccine_pdf_WHO	
аккумуляция, накопление	accumulation		reference_only	baldwin_reference	
аккуратность	orderliness		reference_only	baldwin_reference	
аккуратный	accurate		reference_only	baldwin_reference	
акне	acne		reference_only	baldwin_reference	
акоазм (слуховая галлюцинация	acoasm		reference_only	baldwin_reference	
акоазм (слуховая галлюцинация	acoasma		reference_only	baldwin_reference	
акория (отсутствие чувства	acoria		reference_only	baldwin_reference	
акразия, невоздержанность, отсутствие контроля	acrasia		reference_only	baldwin_reference	
акрогипотермия	acrohypothermy		reference_only	baldwin_reference	
акродерматит (дерматоз с преимущественным поражением конечностей	acrodermatitis		reference_only	baldwin_reference	
акрофобия (боязнь высоты	acrophobia		reference_only	baldwin_reference	
акроцефалия (башенный череп, синдром Аперта	acrocephalosyndactylia (Apert syndrome		reference_only	baldwin_reference	
акроцефалия, башенный череп	oxycephalia		reference_only	baldwin_reference	
акроэстезия (повышенная чувствительность	acroesthesia		reference_only	baldwin_reference	
акселератор, ускоритель	accelerator		reference_only	baldwin_reference	
акселерация	acceleration		reference_only	baldwin_reference	
аксиальная [осевая] проекция	view		reference_only	baldwin_reference	
аксиальный, осевой	axial		reference_only	baldwin_reference	
аксиллярная ангиография	angiography		reference_only	baldwin_reference	
аксо-аксональный синапс	synapse		reference_only	baldwin_reference	
аксо-аксональный синапс	axoaxonic		reference_only	baldwin_reference	
аксодендритный синапс	synapse		reference_only	baldwin_reference	
аксодендритный синапс	axodendric		reference_only	baldwin_reference	
аксон, нейтрит	axon		reference_only	baldwin_reference	
аксосоматический синапс	synapse		reference_only	baldwin_reference	
аксосоматический синапс	axosomatic		reference_only	baldwin_reference	
Акт о подотчётности и преемственности медицинского страхования	HIPAA		reference_only	baldwin_reference	
Акт приемки вакцины (АПВ	Vaccine arrival report (VAR		reference_only	vaccine_pdf_WHO	
активатор	booster		reference_only	baldwin_reference	
активационный	activation		reference_only	baldwin_reference	
активационный анализ	analysis		reference_only	baldwin_reference	
активационный анализ	activation		reference_only	baldwin_reference	
активация	activation		reference_only	baldwin_reference	
активация	agitation		reference_only	baldwin_reference	
активация	arousal		reference_only	baldwin_reference	
Активизация борьбы с болезнями (ADC	Accelerated Disease Control (ADC		reference_only	vaccine_pdf_WHO	
активизированный	activated		reference_only	baldwin_reference	
активизирующий	arousal		reference_only	baldwin_reference	
активирование	activation		reference_only	baldwin_reference	
активированный	activated		reference_only	baldwin_reference	
активированный макрофаг	macrophage		reference_only	baldwin_reference	
активированный макрофаг	elicited		reference_only	baldwin_reference	
активированный уголь	carbon		reference_only	baldwin_reference	
активировать	promote		reference_only	baldwin_reference	
активисты движения против СПИДа	activists		reference_only	baldwin_reference	
активная амплитуда движений	active range of motion	procedure	reference_only	my_medlineplus	
активная амплитуда движений ног	active leg range of motion	procedure	reference_only	my_medlineplus	
активная гиперемия	congestion		reference_only	baldwin_reference	
активная иммунизация	active		reference_only	baldwin_reference	
Активная иммунизация	Active immunization		reference_only	vaccine_pdf_WHO	
активная противостолбнячная иммунизация	booster		reference_only	baldwin_reference	
активная фаза родов	active labor	procedure	reference_only	my_medlineplus	
активная форма	active infection	diagnosis	reference_only	my_medlineplus	
активная эвтаназия (введение больному лекарственных препаратов либо другие действия, которые влекут за собой быструю и безболезненную смерть	active		reference_only	baldwin_reference	
активная эвтаназия (введение умирающему лекарственных средств либо другие действия, которые влекут за собой быструю и безболезненную смерть	active euthanasia		reference_only	baldwin_reference	
активность	activity		reference_only	baldwin_reference	
активность коры головного мозга	cortical		reference_only	baldwin_reference	
активность коры головного мозга	activity		reference_only	baldwin_reference	
активность мозга	brain activity	test	reference_only	my_medlineplus	
активные ингредиенты	active ingredients	other_medical	reference_only	my_medlineplus	
активный	active		reference_only	baldwin_reference	
активный иммунитет	active		reference_only	baldwin_reference	
активный образ жизни	physically active	other_medical	reference_only	my_medlineplus	
активный ревматизм, ревматическая лихорадка	fever		needs_human_review	baldwin_reference	lost_qualifier:активный
Активный эпиднадзор	Active surveillance		reference_only	vaccine_pdf_WHO	
актинический хейлит	cheilitis		reference_only	baldwin_reference	
актинический хейлит	actinic		reference_only	baldwin_reference	
актинический, фотохимически активный	actinic		needs_human_review	baldwin_reference	lost_qualifier:активный
актинобациллёз, псевдоактиномикоз	pseudoactinomycosis		reference_only	baldwin_reference	
актуарий (лицо, занимающееся	actuary		reference_only	baldwin_reference	
акуметр, аудиометр	acoumeter		reference_only	baldwin_reference	
акуметрия	acumetry		reference_only	baldwin_reference	
акупунктура, иглоукалывание, иглорефлексотерапия	acupuncture		reference_only	baldwin_reference	
акустико- гностическая афазия	aphasia		reference_only	baldwin_reference	
акустико- гностическая афазия, сенсорная афазия	acoustic-gnostic [sensory]		reference_only	baldwin_reference	
акустико- гностическая афазия, сенсорная афазия	sensory [acoustic-gnostic]		reference_only	baldwin_reference	
акустико- мнестическая афазия	aphasia		reference_only	baldwin_reference	
акустикофобия, звукобоязнь	acousticophobia		reference_only	baldwin_reference	
акустическая агнозия	auditory		reference_only	baldwin_reference	
