source_term,target_term,source,quality,notes,status,category
) бактерии,bacterium,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абстрактный,abstract,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абстракция,abstraction,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсцедирующий мастит,mammary abscess,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсцесс,abscess,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсцессограмма,abscessogram,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсцессография,abscessography,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсцессотомия,abscessotomy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абсцессэктомия,abscessectomy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
абуломания,abulomania,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
авидин,avidin,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
авидитет,avidity,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
авирулентность,avirulence,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
авирулентный,avirulent,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
автоанализатор,autoanalyzer,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
автогенез,autogenesis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
автоматизм,automatism,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
автоматический,automated,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
авторадиография,analysis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
авторадиография,autoradiography,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
автотроф,autotroph,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агар,agar,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агароза,agarose,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агглютинин,agglutinin,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агглютиноскоп,agglutinoscope,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агенезия,agenesia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агирия,agyria,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аглоссия,agglosia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аглютеновая диета,-free diet,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аглютеновый,-free,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агнозия,agnea,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агнозия,agnosia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агонадизм,agonadism,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агональный тромб,agonal thrombus,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агонизировать,agonize,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агонист,agonist,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агония,agony,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агорафобия,agoraphobia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аграммаглобулинемия,agrammaglobulinemia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аграмматизм,agrammatism,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аграммафазия,agrammaphasia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агранулоцит,agranulocyte,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агранулоцитоз,agranulocytosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агранулоцитоз,aleukia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аграфия,agraphia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агрессивность,aggression,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
агрессивный,aggressive,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адаптация,adaptation,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адаптер,adaptor,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адгезивная повязка,adhesive dressing,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адгезивный плеврит,adhesive pleurisy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденовирус,adenovirus,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденовирусный,adenoviral,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденогипофиз,adenohypophysis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденоз молочной железы,cystic adenosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденозин,adenosine,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденоид,adenoid [pharyngeal tonsil],Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденоиды,s [adenoids],Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденома,adenoma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденоматоз,adenomatosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденоматозный,adenomatous,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденоматозный зоб,adenomatous goiter,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденомегалия,adenomegaly,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденомиоз,adenomyosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденомиома,adenomyoma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденомиосаркома,adenomyosarcoma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденопапиллома,adenopapilloma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденопневмопатия,adenopneumopathy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденотом,adenotome,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденотрихия,adenotrichia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденофиброма,adenofibroma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденофиброма яичника,ovarian adenofibroma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аденоцистома,adenocyst,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адинамичный,adynamic,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адипозалгия,adiposalgia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адреналин,adrenaline,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адренокортикотропный,adrenocorticotropic,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адренолейкодистрофия,(ADL),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адсорбированная коклюшно- дифтерийно-столбнячная вакцина (АКДС),tetanus pertussis vaccine (DTP),Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
адсорбированный,adsorbed,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ажитография,agitographia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
ажитофазия,agitophasia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азасерин,azaserine,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азеотропия,azeotropy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азигография,azygography,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азобелки,azoproteins,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азобензол,azobenzene,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азобилирубин,azobilirubin,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азооспермия,azoospermia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азот,nitrogen,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азот мочи,urinary nitrogen,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азотемия,azotemia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азотистый,nitrous,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азотный,nitric,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азотобактер,azo(to)bacter,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азоторея,azotorrhea,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
азотурия,azoturia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акампросат,acamprosate,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акантамёба,acanthameba,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акантамёбиаз,acanthamebiasis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акантоз,acanthosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акарицид,acaricide,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акатаматезия,acatamethesia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акатизия,acathisia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аккредитация,accreditation,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аккумулированный,accumulated,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акме,acme,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акместезия,acmesthesia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акродиния,erythredema,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акрокинезия,acrocinesia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акрокинезия,acrokinesia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акромегалия,acromegaly,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акромикрия,acromicria,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акроневроз,acroneurosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акропарестезия,acroparesthesia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акротрофодиния,acrotrophodynia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аксиальный неврит,axial neuritis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аксолемма,axolemma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аксонометр,axonometer,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
активатор,activator,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
активный иммунитет,active immunity,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
актиномикоз,actinomycosis,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
актинотерапия,actinotherapy,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акуметр,acumeter,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акупрессура,acupressure,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акушерка,midwife,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акушерская помощь,obstetric care,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акушерство,midwifery,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
акцентуация,accentuation,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алалия,alalia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
аланин,alanine,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алгезиметр,dolorimeter,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алгезиметрия,dolorimetry,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алголагния,algolagnia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алгоритм,algorithm,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алейкемия,aleukemia,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алексин,alexin,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алиментарные болезни,alimentary diseases,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алкалинурия,alkalinuria,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алкалоид,alkaloid,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алкоголизм,alcohol,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алкоголик,dipsomaniac,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алкогольная кома,alcoholic coma,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
алкогольная энцефалопатия,Wernicke’s,Baldwin Routledge medical dictionary DOCX,strict_candidate,Robust bold-run extraction; still review before approval,safe_candidate,
