# label: Wikidata — болезни (ICD-10) и лекарства (ATC)
# lang: RU→EN
# domains: medical, pharma
# tier: auto
# Собрано backend/authority_data/fetch_wikidata.py.
# Только однозначные в обе стороны пары: если у термина нашлось
# несколько соответствий, он выброшен — приказ не может быть
# двусмысленным, такие термины решает человек.
(+)-псевдоэфедрин	(+)-pseudoephedrine
бикалутамид	bicalutamide
биластин	bilastine
биматопрост	bimatoprost
биназальная гемианопсия	binasal hemianopsia
биологическая война	biological warfare
биотин	biotin
Бипериден	biperiden
биполярное аффективное расстройство	bipolar disorder
биполярное расстройство второго типа	bipolar II disorder
бисакодил	bisacodyl
бисопролол	bisoprolol
Битемпоральная гемианопсия	bitemporal hemianopsia
бифемелан	bifemelane
Бифоназол	bifonazole
блеомицин	bleomycin
ближневосточный респираторный синдром	Middle East respiratory syndrome
близорукость	myopia
Блинатумомаб	blinatumomab
Блокада ножек пучка Гиса	bundle branch block
блокада сердца	heart conduction disease
блуждающая почка	nephroptosis
бозентан гидрат	bosentan hydrate
Болезненный половой акт	dyspareunia
болезни волос	hair diseases
болезнь «трансплантат против хозяина»	graft-versus-host disease
Болезнь Абта-Леттерера-Сиве	Letterer–Siwe disease
Болезнь Александера	Alexander disease
Болезнь Баттена	juvenile neuronal ceroid lipofuscinosis
Болезнь Бильшовского — Янского	Jansky–Bielschowsky disease
Болезнь Блаунта	Blount's disease
Болезнь Боуэна	Bowen's disease
болезнь вейперов	vaping-associated pulmonary injury
Болезнь Иценко — Кушинга	Cushing's disease
болезнь Кашина — Бека	Kashin–Beck disease
Болезнь Кинбека	Kienbock's disease
Болезнь Кирле	Kyrle disease
Болезнь Кэнэвэн	Canavan disease
болезнь Лайма	Lyme disease
болезнь Маркиафавы — Биньями	Marchiafava-Bignami disease
Болезнь Менкеса	Menkes disease
болезнь нервной системы	nervous system disease
Болезнь Отто—Хробака	Protrusio acetabuli
Болезнь Потта	Pott disease
болезнь Рейно	Raynaud syndrome
Болезнь Рота-Бернгардта	meralgia paraesthetica
болезнь рта	mouth disease
Болезнь Симмондса	Simmonds' cachexia
болезнь Стилла	systemic-onset juvenile idiopathic arthritis
болезнь Уиппла	Whipple disease
Болезнь Унферрихта — Лундборга	Unverricht-Lundborg syndrome
болезнь Урбаха-Вите	lipoid proteinosis
Болезнь Фавра — Ракушо	Favre–Racouchot syndrome
Болезнь Фарбера	Farber lipogranulomatosis
болезнь Хантингтона	Huntington's disease
болезнь Хортона	giant cell arteritis
болезнь челюсти	jaw disease
Болезнь Шамберга	Schamberg disease
Болезнь Шляттера	Osgood-Schlatter's disease
Болезнь Штаргардта	Stargardt disease
болезнь Эрдгейма-Честера	Erdheim-Chester disease
болезнь, вызванная вирусом Эбола	Ebola hemorrhagic fever
боль	pain
боль в груди	chest pain
боль в шее	neck pain
большой депрессивный эпизод	major depressive episode
Бопиндолол	bopindolol
борная кислота	orthoboric acid
бородавка	wart
Борозды Бо-Рейля	Beau's lines
бортезомиб	bortezomib
борцовское ухо	cauliflower ear
ботулизм	botulism
ботулотоксин	botulinum toxin group
брадикинезия	bradykinesia
брадипноэ	bradypnea
Брахидактилия	brachydactyly
Брахиметатарзия	brachymetatarsia
бредовая вспышка	bouffée délirante
бредовое расстройство	delusional disorder
брекспипразол	brexpiprazole
брентуксимаб ведотин	brentuximab vedotin
Бриакинумаб	briakinumab
бримонидин	brimonidine
бринзоламид	brinzolamide
Бродалумаб	brodalumab
Бромгексин	bromhexine
Бромелаин	bromelain
бромиды	bromide
бромизм	bromism
Бромизовал	bromisoval
бромокриптин	bromocriptine
Бромоприд	bromopride
бромсульфофталеин	sulfobromophthalein
бромфенак	bromfenac
бронхиолит	bronchiolitis
Бронхиолоальвеолярный рак	in situ pulmonary adenocarcinoma
Бронхолёгочная дисплазия	bronchopulmonary dysplasia
Бругиоз	Brugia malayi filariasis
брюшная беременность	abdominal pregnancy
брюшной тиф	typhoid fever
бубонная чума	bubonic plague
будесонид	budesonide
Будипин	budipine
Бульбарный синдром	Bulbar palsy
буметанид	bumetanide
бупивакаин	bupivacaine-(RS)
бупренорфин	buprenorphine
бупропион	bupropion
буспирон	buspirone
бусульфан	busulfan
бутамират	butamirate
Бутироксан	butyroxan
буторфанол	butorphanol
Буфексамак	bufexamac
БЦЖ	BCG vaccine
бэд-трип	bad trip
Вагинальная перегородка	vaginal septum
вагинальный кандидоз	vulvovaginal candidiasis
вагинизм	vaginismus
вазелиновое масло	liquid paraffin
вазодилататор	vasodilator agent
вакцина	vaccine
Вакцина для профилактики гриппа	influenza vaccine
вакцина от холеры	cholera vaccine
вакцина против вируса бешенства	rabies vaccine
Вакцина против желтой лихорадки	yellow fever vaccine
вакцина против кори	measles vaccine
вакцина против оспы	smallpox vaccine
вакцина против паротита	mumps vaccine
вакцина против пневмококка	pneumococcal vaccine
вакцина против полиомиелита	polio vaccine
вакцина против столбняка	tetanus vaccine
вакцина против туберкулёза	tuberculosis vaccines
вакцины против вирусного гепатита	viral hepatitis vaccines
валацикловир	valacyclovir
Валбеназин	valbenazine
валдекоксиб	valdecoxib
валидол	validol
Валпромид	Valpromide
вальпроевая кислота	valproic acid
вальсартан	valsartan
ванкомицин	vancomycin
варденафил	vardenafil
Варениклин	varenicline
Варикозное расширение вен желудка	gastric varices
варусная деформация	genu varum
варфарин	rac-warfarin
васкулит	vasculitis
введение антител	antibody injection
вдыхание	inhalant use disorder
Вегетососудистая дистония	neurocirculatory asthenia
Векурония	vecuronium
велосипедная авария	bicycle accident
Велпатасвир/Софосбувир	sofosbuvir/velpatasvir
вемурафениб	vemurafenib
венерическая лимфогранулёма	lymphogranuloma venereum
венетоклакс	venetoclax
венлафаксин	venlafaxine
Венозная гипертензия	chronic venous insufficiency
венозный тромбоз	venous thrombosis
верапамил	verapamil
Верруциформный акрокератоз Гопфа	acrokeratosis verruciformis
вертиго	vertigo
веснушки	freckle
Вестронидаза альфа	vestronidase alfa
ветряная оспа	chickenpox
видарабин	vidarabine
Вилдаглиптин	vildagliptin
винбластин	vinblastine
Виндесин	vindesine
Винкамин	vincamine
винкристин	vincristine
винный камень	potassium hydrogen tartrate
Винорелбин	vinorelbine
Винпоцетин	vinpocetine
виоформ	clioquinol
ВИПома	VIPoma
вирусные вакцины	viral vaccines
вирусный гепатит	viral hepatitis
Висмута трикалия дицитрат	bismuth subcitrate
височная эпилепсия	temporal lobe epilepsy
висцеральный лейшманиоз	visceral leishmaniasis
витамин А	vitamin A
ВИЧ и беременность	HIV and pregnancy
влагалищное выделение	vaginal discharge
внелёгочный туберкулёз	extrapulmonary tuberculosis
внутреннее расстройство	internal derangement
внутрибольничные инфекции	hospital-acquired infection
внутриматочная спираль	intrauterine device
внутримозговое кровоизлияние	cerebral hemorrhage
Внутриутробная гипоксия	intrauterine hypoxia
Внутриутробные инфекции	vertically transmitted infection
внутричерепное кровоизлияние	intracranial hemorrhage
воглибозе	voglibose
Водянка оболочек яичка	hydrocele
Возрастное пятно	age spot
волдырь	blister
волчаночный нефрит	lupus nephritis
волынская лихорадка	trench fever
вориконазол	voriconazole
вориностат	vorinostat
Воронкообразная деформация грудной клетки	pectus excavatum
вортиоксетин	vortioxetine
восковая гибкость	waxy flexibility
враждебность	hostility
вред от вакцин	vaccine adverse event
врождённая блокада сердца	congenital heart block
врожденная деформация конечностей	congenital limb deformity
врожденная катаракта	congenital cataract
Врожденная клоака	persistent cloaca
врождённое метаболическое заболевание	inherited metabolic disorder
Врождённый клапан задней уретры	posterior urethral valve
Вторичная катаракта	secondary cataract
Вторичный гиперальдостеронизм	secondary hyperaldosteronism
втянутый сосок	inverted nipple
вуайеризм	voyeurism
вывих	joint dislocation
Вывих нижней челюсти	dislocation of jaw
вывих плеча	dislocated shoulder
Вывих хрусталика	ectopia lentis
вывихивающий коленные чашечки	luxating patella
выделения из соска	nipple discharge
Выздоровление	convalescence
вызывающее оппозиционное расстройство	oppositional defiant disorder
выкидыш	miscarriage
выпадение матки	uterine prolapse
выпадение пуповины	umbilical cord prolapse
высокогорный отек легких	high altitude pulmonary edema
высотная болезнь	altitude sickness
габапентин	gabapentin
Гадодиамид	gadodiamide hydrate
газовая эмболия	air embolism
галактоза	galactose
галакторея	galactorrhea
галантамин	galantamine
галитоз	halitosis
галлюцинация	hallucination
галлюциноз	hallucinosis
галоперидол	haloperidol
галотан	halothane
Гам-КОВИД-Вак	Gam-COVID-Vac
Гамартома	hamartoma
гамма-аминомасляная кислота	γ-aminobutyric acid
гангрена	gangrene
Гангрена Фурнье	Fournier gangrene
ганцикловир	ganciclovir
Гардасил	Gardasil
гастроинтестинальная стромальная опухоль	gastrointestinal stromal tumor
гастроптоз	gastroptosis
Гвайазулен	guaiazulene
гвайфенезин	guaifenesin
гебефреническая шизофрения	disorganized schizophrenia
гексаметилентетрамин	methenamine
гексилрезорцин	4-hexylresorcinol
гексобарбитал	hexobarbital
Гексопреналин	hexoprenaline
Гексорал	hexetidine
гелий	helium
Гемангиобластома	hemangioblastoma
Гематоген	hematogen
гематома	hematoma
Гематомиелия	haematomyelia
гематурия	hematuria
гемепрост	gemeprost
Гемианопсия	hemianopia
Геминейрин	clomethiazole
гемиплегия	hemiplegia
гемифлоксацин	gemifloxacin
гемоглобинопатия	hemoglobinopathy
Гемоперикард	hemopericardium
Геморрагическая болезнь новорождённых	haemorrhagic disease of the newborn
Геморрагическая лихорадка	viral hemorrhagic fever
Геморрагическая лихорадка Крым-Конго	Crimean-Congo hemorrhagic fever
Геморрагическая лихорадка Марбург	Marburg virus disease
геморрой	hemorrhoid
гемоспермия	hematospermia
Гемоторакс	hemothorax
гемофилия	hemophilia
Гемофильная палочка	Haemophilus influenzae
гемохроматоз	iron overload
гемтузумаб озогамицин	gemtuzumab ozogamicin
гемфиброзил	gemfibrozil
гемцитабин	gemcitabine
Генитальный герпес	genital herpes
гентамицин	gentamicin
гепарин	heparin
Гепарин-индуцированная тромбоцитопения	heparin-induced thrombocytopenia
Гепатирикс	Hepatyrix
Гепатит А	hepatitis A
гепатомегалия	hepatomegaly
Гепатоспленомегалия	hepatosplenomegaly
гепатоцеллюлярная карцинома	hepatocellular carcinoma
героин	heroin
Герпес	Herpes labialis
герпетический кератит	herpes simplex virus keratitis
Герпетический энцефалит	herpesviral encephalitis
гестринон	gestrinone
гетеротопическая беременность	heterotopic pregnancy
Гетерофория	heterophoria
гетерохромия	heterochromia
Гефитиниб	gefitinib
Гиалуронат натрия	Hyaluronan sodium
гигантизм	gigantism
Гигантоклеточная опухоль	giant-cell tumor of bone
Гигрома	ganglion cyst
гидралазин	hydralazine
гидрокарбонат калия	potassium hydrogen carbonate
гидрокарбонат натрия	sodium bicarbonate
гидрокодон	hydrocodone
гидроксид алюминия	aluminum hydroxide
гидроксид магния	magnesium hydroxide
гидроксизин	(RS)-hydroxyzine
гидроксикарбамид	hydroxycarbamide
гидроксихлорохин	hydroxychloroquine
Гидроксиэтилкрахмал	hydroxyethyl starch
гидроксокобаламин	hydroxocobalamin
гидроксохлорид алюминия	aluminium chlorohydrate
гидроморфон	hydromorphone
Гидросальпинкс	Hydrosalpinx
Гидроторакс	hydrothorax
гидрохинон	hydroquinone
гидрохлоротиазид	hydrochlorothiazide
Гинекомастия	gynecomastia
гиосциамин	hyoscyamine
гиперакузия	hyperacusis
Гипераммонемия	hyperammonemia
гипервитаминоз	hypervitaminosis
гиперволемия	hypervolemia
гипергидратация	water intoxication
гипергидроз	hyperhidrosis
Гипердонтия	hyperdontia
гиперестезия	hyperesthesia
гиперкалиемия	hyperkalemia
гиперкапния	hypercapnia
гиперкинетическое расстройство	hyperkinetic disorder
гиперлипидемия	hyperlipidemia
Гипермагниемия	hypermagnesemia
гипернатриемия	hypernatremia
Гиперосмолярная диабетическая кома	hyperosmolar hyperglycemic state
гиперпигментация	hyperpigmentation
гиперсаливация	hypersalivation
гиперсексуальность	hypersexuality
Гипертелоризм	hypertelorism
Гипертензия беременных	gestational hypertension
гипертонический криз	malignant hypertension
гипертония	hypertonia
Гипертриглицеридемия	hypertriglyceridemia
Гипертропия	hypertropia
Гиперурикемия	hyperuricemia
гиперхолестеринемия	hypercholesterolemia
гиперчувствительность	hypersensitivity
гипнопомпическая галлюцинация	hypnopompic hallucination
Гипоальбуминемия	hypoalbuminemia
Гипоальдостеронизм	hypoaldosteronism
Гиповитаминоз А	vitamin A deficiency
Гиповитаминоз В1	thiamine deficiency
Гиповитаминоз Е	vitamin E deficiency
Гиповолемический шок	hypovolemic shock
гиповолемия	hypovolemia
Гипогалактия	low milk supply
гипогликемия	hypoglycemia
гипогонадизм	hypogonadism
гиподинамия	sedentary lifestyle
гипокалиемия	hypokalemia
гипокальциемия	hypocalcaemia
гипокортицизм	adrenal insufficiency
гиполибидемия	hypoactive sexual desire disorder
Гиполипидемические препараты	ATC code C10
гипомания	hypomania
гипонатриемия	hyponatremia
Гипоплазия (стоматология)	Turner's hypoplasia
гипопротеинемия	hypoproteinemia
Гипосмия	hyposmia
гипостенурия	hyposthenuria
гипотермия	hypothermia
гипотиреоз	hypothyroidism
гипотония	hypotony
Гипофосфатемический рахит	X-linked hypophosphatemic rickets
Гипофосфатемия	hypophosphatemia
гипохлорит натрия	sodium hypochlorite
Гипохондроплазия	hypochondroplasia
гирсутизм	hirsutism
Гистаглобулин	histaglobulin
гистиоцитоз	histiocytosis
гистоплазмоз	histoplasmosis
Гифема	hyphema
глазная болезнь	vision disorder
Глазная мигрень	scintillating scotoma
глазной альбинизм	ocular albinism
глаукома	glaucoma
глибенкламид	glyburide
гликлазид	gliclazide
гликопептидные антибиотики	glycopeptide antibiotic
глимепирид	glimepiride
глиобластома	glioblastoma
глипизид	glipizide
глиптины	dipeptidyl peptidase-4 inhibitors
Глистогонные средства	anthelmintic
Глифлозины	gliflozins
глицерин	glycerol
Глицерофосфат кальция	calcium 2-glycerophosphate
глицин	glycine
глицирризиновая кислота	glycyrrhizin
гломерулопатия	glomerulopathy
Гломусная опухоль уха	glomus tumor
глубокий прикус	overbite
глутатион	glutathione
глухонемота	deaf-mute
Глюкагон	glucagon
Глюкагонома	glucagonoma
Глюкагоноподобный пептид-1	glucagon-like peptide-1
глюкоза	glucose
глюкокортикоид	glucocorticoid
глюконат кальция	calcium gluconate
глюцептат кальция	calcium gluceptate
гнойный менингит	purulent meningitis
голимумаб	golimumab
Голова медузы	Caput medusae
головная боль	headache
Головная боль напряжения	tension headache
голод	starvation
Гоматропин	homatropine
Гомонимная гемианопсия	homonymous hemianopsia
Гонадотропин хорионический (лекарственное средство)	Gonadotropin preparations
Гонадотропные гормоны	gonadotropins
гонартроз	knee osteoarthritis
Гормоны гипоталамуса	hypothalamic hormones
Госпитализм	hospitalism
Грамицидин	gramicidin D
Гранулёма	granuloma
Грибковые кератиты	fungal keratitis
грипп	influenza
грыжа	hernia
Грыжа Шморля	Schmorl's nodes
гуанетидин	guanethidine
гуанфацин	guanfacine
гуаровая камедь	guar gum
Гумма	gummatous syphilis
Гуселькумаб	guselkumab
Гутталакс	sodium picosulfate
дабрафениб	dabrafenib
Дазатиниб	dasatinib
дакарбазин	dacarbazine
Даклатасвир	daclatasvir
Даклизумаб	daclizumab
далбаванцин	dalbavancin
далтепарин натрия	dalteparin
