source_text,target_text,quality,notes,tm_status
отвращение; омерзение; что-либо вызывающее отвращение,abhorrence,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
отвратительный; вызывающий отвращение,abhorrent,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абиблиофобия (боязнь, что нечего будет читать)",abibliophobia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"способность, возможность; умение; компетенция",ability,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
тест способностей,test,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абиогенез,abiogenesis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абиоз (состояние безжизненности),abiosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абиотический, нежизнеспособный",abiotic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абиотрофия,abiotrophy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абластика (хирургический принцип профилактики рецидива и метастазирования злокачественной опухоли),ablastics,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"ампутировать, отсекать",ablate,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"отсечение, абляция; ампутация",ablation,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абляционный катетер,catheter,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аблеизм (притеснение лиц с физическими недостатками),ableism,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аблефария,ablepharia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
слепота,ablepsia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
слепота,ablepsy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аблютомания (навязчивое стремление мыть руки),ablutomania,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"аблютофобия (навязчивый страх перед купанием, стиркой, водными процедурами)",ablutophobia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологический; анормальный,abnormal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологическое старение,abnormal aging,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологическое поведение,behavior,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологическое,abnormal bleeding,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологические изменения,changes,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологическое развитие; порок развития,development,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологические сновидения,dreaming,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологический страх,fear,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
сердечная аритмия; нарушение сердечного ритма,rhythm,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологические роды,abnormal labor,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологический прикус,occlusion,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"патологическая беременность, осложнённая беременность",abnormal pregnancy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патопсихология,psychology,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологические обратимые изменения,changes,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологический симптом,abnormal symptom,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патологическое мышление,thinking,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патология; анормальность,abnormality,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
патология; анормальность,abnormity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аборальный (удалённый от рта),aboral,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"прерывать, прекращать, купировать; прерывать беременность, делать аборт",abort,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абортцанг,forceps,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абортивный; средство, вызывающее аборт",abortient,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"аборт, искусственное прерывание беременности; выкидыш",abortion,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абортарий (специализированное медицинское заведение, в котором делают аборты)",clinic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
аборт в ходу,in progress,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абортивные таблетки,pills,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
полный аборт,complete,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
ранний аборт,early,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
криминальный аборт,illegal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
неполный аборт,incomplete,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
медицинский аборт,legal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
трубный аборт (трубный выкидыш),tubal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"лицо, производящее аборты незаконно; подпольный акушер",abortionist,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
преждевременный; абортивный,abortive,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абортивные травы,abortive herbs,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
нестойкий иммунитет,immunity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абортивная инфекция,abortive infection,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абортивная проказа,abortive leprosy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абортированный плод, абортус",abortus,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абрахия,abrachia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
выскабливать,abrade,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
ссадина; выскабливание; очистка,abrasion,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
эрозия десны,gingival,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абразивный,abrasive,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
кюретка; распатор,abrasor,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
голодание; отсутствие пищи,abrosia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
отторжение; отрыв; отслойка,abruption,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцесс,abscess,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
полость абсцесса,cavity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
альвеолярный абсцесс,alveolar,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
апикальный абсцесс,apical,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
эпидуральный абсцесс,epidural,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
фолликулярный абсцесс,follicular,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
гангренозный абсцесс,gangrenous,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
газовый [гангренозный] абсцесс,gas,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцесс печени,hepatic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
межкишечный абсцесс,interintestinal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
почечный абсцесс,kidney [renal],strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцесс лёгкого,lung,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
интрамуральный [внутристеночный] абсцесс,mural,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
мозольный абсцесс,palm,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
парадентальный абсцесс,paradental,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
пельвиоректальный абсцесс,pelvirectal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцесс брюшной полости,peritoneal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
тонзиллярный,peritonsillar (PTA),strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
парауретальный абсцесс,periurethral,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцесс лёгкого,pulmonary,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
заушный абсцесс,retroauricular,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
заглоточный абсцесс,retropharyngeal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
скрофулёзный абсцесс,scrofulous,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
метастатический абсцесс,secondary,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцесс селезёнки,splenic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
субдуральный абсцесс,subdural,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
субгингивальный абсцесс,subgingival,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
подпечёночный абсцесс,subhepatic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
субпериостальный абсцесс,subperiosteal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
амёбный абсцесс,tropical,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцессэктомия,abscessectomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцессограмма,abscessogram,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцессография,abscessography,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсцессотомия,abscessotomy,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"отсутствие; абсанс, кратковременная потеря сознания (симптом эпилепсии)",absence,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абсанс (короткий период потери сознания при эпилепсии), малый эпилептический припадок",seizure,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
ампутация; отсечение,abscission,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
невыходы на работу,absenteeism,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абсанс, кратковременная потеря",absentia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсолютный,absolute,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсолютный подсчёт клеток СD4 (количество клеток СD4 в куб. мм крови),absolute CD4 cell count,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсолютный яркостный порог,threshold,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсолютная глаукома,glaucoma,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсолютный порог чувствительности,threshold,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсолютный порог,threshold,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсолютный зрительный порог,threshold,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
впитывать; абсорбировать,absorb,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абсорбируемый, всасываемый, поглощаемый",absorbable,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсорбирующий бинт,gauze,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абсорбент; абсорбирующий, впитывающий",absorbent,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсорбирующая повязка,dressing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
гигроскопическая марля,absorbent gauze,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абсорбция, поглощение",absorption,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
резорбтивная лихорадка,fever,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
воздерживаться,abstain,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абстиненция, воздержание; абстинентный",abstinence,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абстинентный симптом, симптом отмены",symptom,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абстрактный,abstract,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абстрактное мышление,thinking,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абстракция,abstraction,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
трудный для понимания; невразумительный,abstruse,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсурдный; бессмысленный,absurd,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абсурд; бессмысленность,absurdity,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абулия (патологическое безволие),abulia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"абулический, безвольный",abulic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
абуломания,abulomania,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"злоупотребление, неправильное употребление; ущемление прав; насилие; жестокое обращение; абузус; жестоко обращаться; оскорблять; злоупотреблять",abuse,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
жестокое обращение с детьми,child,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
самобичевание,self-,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
злоупотребление психоактивными веществами (ПАВ),substance,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
злоупотребляющий; оскорбительный; оскорбляющий,abusive,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
злоупотребление алкоголем,behavior,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
жестокое обращение,abusiveness,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
опорный зуб,abutment,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
соединительный штифт имплантата,post,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"зуб, к которому прикреплён протез",abuttal,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
научный; академический; учёный,academic,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
научный выезд,academic detailing,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
учебный навык,academic skill,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"акалькулия, дискалькулия (неспособность производить арифметические действия)",acalculia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
акампросат,acamprosate,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"акампсия, анкилоз (неподвижность сустава)",acampsia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"акантафазия, аграмматизм",acantaphasia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
акантамёба,acanthameba,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
акантамёбиаз,acanthamebiasis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
акантоз,acanthosis,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
чёрный акантоз (пигментно- сосочковая дистрофия кожи),nigricans,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
"гипокапния, акапния",acapnia,strict_candidate,Robust bold-run extraction; still review before approval,reference_only_not_auto_confirm
