Russian	English	Category	Confidence	Sources
ангиография	angiogram	test	reference_only	my_glossary
ангиопластика	angioplasty	procedure	reference_only	my_glossary
аневризматические клипсы	aneurysm clips	other_medical	reference_only	my_glossary
анемия	anemia	diagnosis	reference_only	my_glossary
аноксия	anoxia	diagnosis	reference_only	my_glossary
анорексия	anorexia	diagnosis	reference_only	my_glossary
антациды	antacids	medication	reference_only	my_glossary
антибиотик	antibiotic	medication	reference_only	my_glossary
антибиотики	antibiotic medicine	medication	reference_only	my_glossary
антивирусная терапия	antiviral therapy	procedure	reference_only	my_glossary
антигистаминный препарат	antihistamine	medication	reference_only	my_glossary
антидепрессанты	antidepressants	medication	reference_only	my_glossary
антикоагулянты	anticoagulant	medication	reference_only	my_glossary
антитела	antibodies	other_medical	reference_only	my_glossary
антитела к ветряной оспе	varicella antibodies	test	reference_only	my_glossary
антитела к краснухе	rubella antibodies	test	reference_only	my_glossary
анус	anus	anatomy	reference_only	my_glossary
аорта	aorta	anatomy	reference_only	my_glossary
аортокоронарное шунтирование	coronary artery bypass surgery	procedure	reference_only	my_glossary
апд	apd	procedure	reference_only	my_glossary
апноэ	apnea	symptom	reference_only	my_glossary
аппендикс	appendix	anatomy	reference_only	my_glossary
аппендэктомия	appendectomy	procedure	reference_only	my_glossary
ареола	areola	anatomy	reference_only	my_glossary
артериовенозный свищ	av fistula	procedure	reference_only	my_glossary
артерия соединяется с веной	artery is joined to a vein	procedure	reference_only	my_glossary
артрит	arthritis	diagnosis	reference_only	my_glossary
асбест	asbestos	other_medical	reference_only	my_glossary
аспартам	aspartame	medication	reference_only	my_glossary
аспиратор	bulb syringe	procedure	reference_only	my_glossary
аспирин	aspirin	medication	reference_only	my_glossary
астма	asthma	diagnosis	reference_only	my_glossary
атипичные клетки	abnormal cells	symptom	reference_only	my_glossary
атрофический вагинит	atrophic vaginitis	diagnosis	reference_only	my_glossary
атрофия влагалища	vaginal atrophy	diagnosis	reference_only	my_glossary
аура	aura	symptom	reference_only	my_glossary
афтозный стоматит	canker sores	symptom	reference_only	my_glossary
ацетаминофен	acetaminophen	medication	reference_only	my_glossary
ацетоминофен	acetaminophen	medication	reference_only	my_glossary
аэробные упражнения	aerobic exercises	procedure	reference_only	my_glossary
аэрозольная терапия	aerosol treatment	procedure	reference_only	my_glossary
базально-клеточная карцинома	basal cell carcinoma	diagnosis	reference_only	my_glossary
бактериальная инфекция	bacterial infection	diagnosis	reference_only	my_glossary
бактериальная пневмония	bacterial pneumonia	diagnosis	reference_only	my_glossary
бактериальный вагиноз	bacterial vaginosis	diagnosis	reference_only	my_glossary
бактерии	bacteria	other_medical	reference_only	my_glossary
бактериологическое исследование мокроты	sputum culture	test	reference_only	my_glossary
баллон	balloon	other_medical	reference_only	my_glossary
баллонная ангиопластика	balloon angioplasty	procedure	reference_only	my_glossary
бальзам для губ	lip balm	medication	reference_only	my_glossary
барабанная перепонка	eardrum	anatomy	reference_only	my_glossary
бариевая клизма	barium enema	test	reference_only	my_glossary
бариевая смесь	barium mixture	medication	reference_only	my_glossary
беговая дорожка	treadmill	other_medical	reference_only	my_glossary
бегущая дорожка	treadmill	procedure	reference_only	my_glossary
бедра	thighs	anatomy	reference_only	my_glossary
бедренная кость	femur	anatomy	reference_only	my_glossary
бедро	hip	anatomy	reference_only	my_glossary
без нагрузки на ногу	non-weight bearing	procedure	reference_only	my_glossary
безнадежность	hopelessness	symptom	reference_only	my_glossary
безопасность при приеме лекарств	medicine safety	other_medical	reference_only	my_glossary
безрецептурные обезболивающие лекарства	over the counter pain medicine	medication	reference_only	my_glossary
безысходность	feeling hopeless	symptom	reference_only	my_glossary
белковые добавки	protein supplement	medication	reference_only	my_glossary
белок	protein	other_medical	reference_only	my_glossary
белые бляшки в горле	white patches in the throat	symptom	reference_only	my_glossary
белые кровяные клетки	white blood cells	anatomy	reference_only	my_glossary
беременна	pregnant	symptom	reference_only	my_glossary
беременность	pregnancy	diagnosis	reference_only	my_glossary
беременны	pregnant	symptom	reference_only	my_glossary
беспокойство	agitation	symptom	reference_only	my_glossary
бессознательное состояние	unconsciousness	symptom	reference_only	my_glossary
бессонница	insomnia	diagnosis	reference_only	my_glossary
бешенство	rabies	diagnosis	reference_only	my_glossary
биологическая катастрофа	biological emergency	other_medical	reference_only	my_glossary
биопсия	biopsy	procedure	reference_only	my_glossary
биопсия костного мозга	bone marrow biopsy	test	reference_only	my_glossary
биопсия молочной железы	breast biopsy	procedure	reference_only	my_glossary
биотерапия	biotherapy	procedure	reference_only	my_glossary
биофизический профиль	biophysical profile	test	reference_only	my_glossary
бисакодил	bisacodyl	medication	reference_only	my_glossary
бледная кожа	pale skin	symptom	reference_only	my_glossary
бледность	paleness	symptom	reference_only	my_glossary
бледность кожи	pale skin	symptom	reference_only	my_glossary
бледные кожные покровы	pale skin	symptom	reference_only	my_glossary
бляшка	plaque	other_medical	reference_only	my_glossary
бляшки	plaque	anatomy	reference_only	my_glossary
боковые ограждения	side rails	other_medical	reference_only	my_glossary
болезненность	tenderness	symptom	reference_only	my_glossary
болезненность десен	sore gums	symptom	reference_only	my_glossary
болезненные лимфоузлы	tender lymph glands	symptom	reference_only	my_glossary
болезненные ощущения	soreness	symptom	reference_only	my_glossary
болезненный половой акт	painful intercourse	symptom	reference_only	my_glossary
болезни головы	head disease	diagnosis	reference_only	my_glossary
болезни сердца	heart disease	diagnosis	reference_only	my_glossary
болезнь альцгеймера	alzheimer's dementia	diagnosis	reference_only	my_glossary
болезнь кушинга	cushing's disease	diagnosis	reference_only	my_glossary
болезнь паркинсона	parkinson's disease	diagnosis	reference_only	my_glossary
боли в животе	stomachaches	symptom	reference_only	my_glossary
боли в сосках	nipple soreness	symptom	reference_only	my_glossary
боли при выходе последа	afterbirth pains	symptom	reference_only	my_glossary
болит спина	back pain	symptom	reference_only	my_glossary
боль	pain	symptom	reference_only	my_glossary
боль в верхней правой части живота	upper right abdominal pain	symptom	reference_only	my_glossary
боль в глазах	eye pain	symptom	reference_only	my_glossary
боль в горле	sore throat	symptom	reference_only	my_glossary
боль в груди	chest pain	symptom	reference_only	my_glossary
боль в желудке	stomach pain	symptom	reference_only	my_glossary
боль в животе	abdominal pain	symptom	reference_only	my_glossary
боль в мышцах	muscle aches	symptom	reference_only	my_glossary
боль в носу	sore nose	symptom	reference_only	my_glossary
боль в области живота	abdominal pain	symptom	reference_only	my_glossary
боль в области разреза	incision pain	symptom	reference_only	my_glossary
боль в плечах	shoulder pain	symptom	reference_only	my_glossary
боль в пояснице	low back pain	symptom	reference_only	my_glossary
боль в руке	arm soreness	symptom	reference_only	my_glossary
боль в спине	back pain	symptom	reference_only	my_glossary
боль в суставах	aching joints	symptom	reference_only	my_glossary
боль в суставе	joint pain	symptom	reference_only	my_glossary
боль в теле	body aches	symptom	reference_only	my_glossary
боль в ухе	ear pain	symptom	reference_only	my_glossary
боль в ушах	ear pain	symptom	reference_only	my_glossary
боль в шее	neck pain	symptom	reference_only	my_glossary
боль во время секса	painful intercourse	symptom	reference_only	my_glossary
боль во рту	mouth sores	symptom	reference_only	my_glossary
боль и припухлость	pain and swelling	symptom	reference_only	my_glossary
боль и скованность	pain and stiffness	symptom	reference_only	my_glossary
боль при мочеиспускании	dysuria	symptom	reference_only	my_glossary
больничная одежда	hospital gown	other_medical	reference_only	my_glossary
больничный халат	hospital gown	other_medical	reference_only	my_glossary
большая берцовая кость	tibia	anatomy	reference_only	my_glossary
большой палец	thumb	anatomy	reference_only	my_glossary
бородавки около влагалища	vaginal warts	symptom	reference_only	my_glossary
брахитерапия	brachytherapy	procedure	reference_only	my_glossary
бронхи	bronchi	anatomy	reference_only	my_glossary
бронхиолы	bronchioles	anatomy	reference_only	my_glossary
бронхит	bronchitis	diagnosis	reference_only	my_glossary
бронхоскопия	bronchoscopy	procedure	reference_only	my_glossary
брюшная полость	abdomen	anatomy	reference_only	my_glossary
булимия	bulimia	diagnosis	reference_only	my_glossary
бустер	booster seat	other_medical	reference_only	my_glossary
быстрая ходьба	brisk walking	other_medical	reference_only	my_glossary
вагинальная инфекция	vaginal infection	diagnosis	reference_only	my_glossary
вагинальная сухость	vaginal dryness	symptom	reference_only	my_glossary
вагинальная таблетка с эстрогеном	estrogen tablet	medication	reference_only	my_glossary
вагинальное кольцо с эстрогеном	estrogen ring	medication	reference_only	my_glossary
вагинальное кровотечение	vaginal bleeding	symptom	reference_only	my_glossary
вагинальные инфекции	vaginal infections	diagnosis	reference_only	my_glossary
вагинальные роды	vaginal birth	procedure	reference_only	my_glossary
вагинальный крем с эстрогеном	estrogen cream	medication	reference_only	my_glossary
вагинит	vaginitis	diagnosis	reference_only	my_glossary
вакцина	vaccine	medication	reference_only	my_glossary
вакцина против впч	hpv vaccine	medication	reference_only	my_glossary
вакцина против сезонного гриппа	seasonal flu vaccine	medication	reference_only	my_glossary
вакцина против сибирской язвы	anthrax vaccine	medication	reference_only	my_glossary
вакцинация от гриппа	flu vaccine	procedure	reference_only	my_glossary
вакцинация от пневмококковой инфекции	pneumococcal vaccine	procedure	reference_only	my_glossary
вакцинация от пневмонии	pneumonia vaccine	medication	reference_only	my_glossary
вакцины	vaccines	medication	reference_only	my_glossary
варфарин	warfarin	medication	reference_only	my_glossary
васкулярная деменция	vascular dementia	diagnosis	reference_only	my_glossary
введение красителя	dye injection	procedure	reference_only	my_glossary
вегетативная нейропатия	autonomic neuropathy	diagnosis	reference_only	my_glossary
ведение беременности	prenatal care	procedure	reference_only	my_glossary
велотренажер	exercise bike	procedure	reference_only	my_glossary
венерические заболевания	sexually transmitted infections	diagnosis	reference_only	my_glossary
венлафаксин	venlafaxine	medication	reference_only	my_glossary
вентрикуло-перитонеальный шунт	vp shunt	other_medical	reference_only	my_glossary
вес ребенка	child's weight	other_medical	reference_only	my_glossary
ветряная оспа	chickenpox	diagnosis	reference_only	my_glossary
вздутие	bloated	symptom	reference_only	my_glossary
вздутие живота	abdominal distension	symptom	reference_only	my_glossary
вздутия	gas pains	symptom	reference_only	my_glossary
вирус гриппа	flu virus	other_medical	reference_only	my_glossary
вирус иммунодефицита человека	human immunodeficiency virus	diagnosis	reference_only	my_glossary
вирус папилломы человека	human papillomavirus	diagnosis	reference_only	my_glossary
вирусная инфекция	viral infection	diagnosis	reference_only	my_glossary
вирусы	virus	other_medical	reference_only	my_glossary
височная доля	temporal lobe	anatomy	reference_only	my_glossary
витамин a	vitamin a	medication	reference_only	my_glossary
витамин b6	vitamin b6	medication	reference_only	my_glossary
витамин d	vitamin d	medication	reference_only	my_glossary
витамин а	vitamin a	medication	reference_only	my_glossary
витамин е	vitamin e	medication	reference_only	my_glossary
витамин с	vitamin c	medication	reference_only	my_glossary
витамины	vitamins	medication	reference_only	my_glossary
витамины группы в	vitamin b complex	medication	reference_only	my_glossary
витамины для беременных	prenatal vitamin	medication	reference_only	my_glossary
вич	hiv	diagnosis	reference_only	my_glossary
влагалище	vagina	anatomy	reference_only	my_glossary
влагалищная диафрагма	diaphragm	other_medical	reference_only	my_glossary
влагалищное зеркало	speculum	procedure	reference_only	my_glossary
влагалищное родоразрешение	vaginal delivery	procedure	reference_only	my_glossary
влагалищные выделения	vaginal discharge	symptom	reference_only	my_glossary
внезапные позывы к мочеиспусканию	urinary urgency	symptom	reference_only	my_glossary
внезапный позыв к мочеиспусканию	sudden urge to urinate	symptom	reference_only	my_glossary
внешнее вращение	external rotation	procedure	reference_only	my_glossary
внешняя лучевая терапия	external radiation therapy	procedure	reference_only	my_glossary
внутренняя лучевая терапия	internal radiation therapy	procedure	reference_only	my_glossary
внутривенная капельница	intravenous line	procedure	reference_only	my_glossary
внутривенно	intravenous	procedure	reference_only	my_glossary
внутривенное введение	intravenous	procedure	reference_only	my_glossary
внутривенное контрастное вещество	iv contrast	medication	reference_only	my_glossary
внутривенный катетер	intravenous	procedure	reference_only	my_glossary
внутривенных вливаний	intravenous	procedure	reference_only	my_glossary
внутриглазное давление	intraocular pressure	symptom	reference_only	my_glossary
внутрижелудочковое кровоизлияние	intraventricular hemorrhage	diagnosis	reference_only	my_glossary
внутримозговая гематома	intracerebral hematoma	diagnosis	reference_only	my_glossary
внутримозговое кровоизлияние	intracerebral hemorrhage	diagnosis	reference_only	my_glossary
воздушные мешочки	air sacs	anatomy	reference_only	my_glossary
воздушные пути	airways	anatomy	reference_only	my_glossary
волдыри	blisters	symptom	reference_only	my_glossary
волдырь	blister	symptom	reference_only	my_glossary
волчанка	lupus	diagnosis	reference_only	my_glossary
воспаление горла	inflamed throat	symptom	reference_only	my_glossary
воспаление среднего уха	middle ear infection	diagnosis	reference_only	my_glossary
воспаление суставов	joint inflammation	symptom	reference_only	my_glossary
воспаление тазовых органов	pelvic inflammatory disease	diagnosis	reference_only	my_glossary
воспаление толстой кишки	colon inflammation	symptom	reference_only	my_glossary
впч	hpv	diagnosis	reference_only	my_glossary
врач	health care provider	other_medical	reference_only	my_glossary
врач-логопед	speech language pathologist	other_medical	reference_only	my_glossary
вращение запястья	wrist rotation	procedure	reference_only	my_glossary
вредные вещества	harmful substance	other_medical	reference_only	my_glossary
время на животике	tummy time	other_medical	reference_only	my_glossary
время нахождения жидкости	dwell time	other_medical	reference_only	my_glossary
врожденные дефекты	birth defects	diagnosis	reference_only	my_glossary
вспомогательные принадлежности	assistive devices	other_medical	reference_only	my_glossary
второй триместр	second trimester	other_medical	reference_only	my_glossary
выгибание позвоночника	cat stretch	procedure	reference_only	my_glossary
выделение	drainage	symptom	reference_only	my_glossary
выделение молока	milk flow	other_medical	reference_only	my_glossary
выделения	drainage	symptom	reference_only	my_glossary
выделения из влагалища	vaginal discharge	symptom	reference_only	my_glossary
выделения из глаз	eye discharge	symptom	reference_only	my_glossary
выделения из носа	nasal discharge	symptom	reference_only	my_glossary
выделения из области раны	wound drainage	symptom	reference_only	my_glossary
выделения из ран	drainage from skin wounds	symptom	reference_only	my_glossary
выделения из уха	ear drainage	symptom	reference_only	my_glossary
выделения из шва	incision drainage	symptom	reference_only	my_glossary
выкидыш	miscarriage	diagnosis	reference_only	my_glossary
выпадение волос	hair loss	symptom	reference_only	my_glossary
выпрямление колена	knee extension	procedure	reference_only	my_glossary
высокая температура	fever	symptom	reference_only	my_glossary
высокая температура и озноб	fever and chills	symptom	reference_only	my_glossary
высокий уровень кальция в крови	high blood calcium	diagnosis	reference_only	my_glossary
высокий уровень сахара в крови	high blood sugar	symptom	reference_only	my_glossary
высокий уровень холестерина	high blood cholesterol	diagnosis	reference_only	my_glossary
высокий холестерин	high cholesterol	diagnosis	reference_only	my_glossary
высокое давление	high blood pressure	diagnosis	reference_only	my_glossary
высокое кровяное давление	high blood pressure	diagnosis	reference_only	my_glossary
выстилка ободочной кишки	colon lining	anatomy	reference_only	my_glossary
выстукивание	percussion	procedure	reference_only	my_glossary
вытекание мочи	urine leakage	symptom	reference_only	my_glossary
вытягивание лодыжки	ankle stretch	procedure	reference_only	my_glossary
вытягивание ног	leg extensions	procedure	reference_only	my_glossary
вытягивание языка	tongue stretch	procedure	reference_only	my_glossary
габапентин	gabapentin	medication	reference_only	my_glossary
гастропарез	gastroparesis	diagnosis	reference_only	my_glossary
гелевая подушечка	gel pad	other_medical	reference_only	my_glossary
гели-смазки на водной основе	water-based lubricants	medication	reference_only	my_glossary
гематома	hematoma	diagnosis	reference_only	my_glossary
гемоглобин a1c	hemoglobin a1c	test	reference_only	my_glossary
гемодиализ	hemodialysis	procedure	reference_only	my_glossary
геморрой	hemorrhoids	diagnosis	reference_only	my_glossary
гемофилия	hemophilia	diagnosis	reference_only	my_glossary
гемофильная инфекция типа b	haemophilus influenzae type b	diagnosis	reference_only	my_glossary
генетические проблемы	genetic problems	diagnosis	reference_only	my_glossary
гениталии	genitals	anatomy	reference_only	my_glossary
генитальные бородавки	genital warts	diagnosis	reference_only	my_glossary
гепарин	heparin	medication	reference_only	my_glossary
гепатит	hepatitis	diagnosis	reference_only	my_glossary
гепатит а	hepatitis a	diagnosis	reference_only	my_glossary
гепатит в	hepatitis b	diagnosis	reference_only	my_glossary
герпес	cold sores	symptom	reference_only	my_glossary
гестационная гипертензия	gestational hypertension	diagnosis	reference_only	my_glossary
гестационный диабет	gestational diabetes	diagnosis	reference_only	my_glossary
гигиенический душ со смоченной губкой	sponge bath	procedure	reference_only	my_glossary
гинеколог	obstetrician	other_medical	reference_only	my_glossary
гинекологический осмотр	female pelvic exam	procedure	reference_only	my_glossary
гиперактивный мочевой пузырь	overactive bladder	diagnosis	reference_only	my_glossary
гипергликемия	hyperglycemia	diagnosis	reference_only	my_glossary
гиперкальциемия	hypercalcemia	diagnosis	reference_only	my_glossary
гипертензия	hypertension	diagnosis	reference_only	my_glossary
гипертония	hypertension	diagnosis	reference_only	my_glossary
гипогликемия	hypoglycemia	diagnosis	reference_only	my_glossary
гипокамп	hippocampus	anatomy	reference_only	my_glossary
гипотермия	hypothermia	diagnosis	reference_only	my_glossary
гипотиреоз	hypothyroidism	diagnosis	reference_only	my_glossary
гипс	cast	procedure	reference_only	my_glossary
гипсовая повязка	cast	procedure	reference_only	my_glossary
глазные капли	eye drops	medication	reference_only	my_glossary
гларгин	glargine	medication	reference_only	my_glossary
глаукома	glaucoma	diagnosis	reference_only	my_glossary
гликированный гемоглобин	hemoglobin a1c	test	reference_only	my_glossary
глотание с усилием	effortful swallow	procedure	reference_only	my_glossary
глотка	pharynx	anatomy	reference_only	my_glossary
глубокие вдохи	deep breaths	procedure	reference_only	my_glossary
глубокие приседания	deep knee bends	procedure	reference_only	my_glossary
глубокий кашель	deep cough	symptom	reference_only	my_glossary
глубоко дышать	deep breathing	procedure	reference_only	my_glossary
глубокое дыхание	deep breathing	procedure	reference_only	my_glossary
глухота	deafness	symptom	reference_only	my_glossary
глюкагон	glucagon	medication	reference_only	my_glossary
глюкоза	glucose	other_medical	reference_only	my_glossary
глюкоза в крови	blood glucose	test	reference_only	my_glossary
глюкозотолерантный тест	glucose tolerance test	test	reference_only	my_glossary
глюкометр	glucose meter	test	reference_only	my_glossary
глюкофаж	glucophage	medication	reference_only	my_glossary
гниды	nits	other_medical	reference_only	my_glossary
гной	pus	symptom	reference_only	my_glossary
гнойные выделения	pus drainage	symptom	reference_only	my_glossary
голеностопный сустав	ankle	anatomy	reference_only	my_glossary
головка пениса	glans	anatomy	reference_only	my_glossary
головная боль	headache	symptom	reference_only	my_glossary
головная боль и чувство замешательства	headache and confusion	symptom	reference_only	my_glossary
головная боль напряжения	tension headache	symptom	reference_only	my_glossary
головные боли	headaches	symptom	reference_only	my_glossary
головные вши	head lice	diagnosis	reference_only	my_glossary
головокружение	dizziness	symptom	reference_only	my_glossary
головокружение при вставании	lightheaded	symptom	reference_only	my_glossary
гормональная терапия	hormone therapy	procedure	reference_only	my_glossary
горький привкус	bitter taste	symptom	reference_only	my_glossary
готовая смесь	ready to feed formula	medication	reference_only	my_glossary
графт	graft	anatomy	reference_only	my_glossary
гребень для вычесывания гнид	nit comb	procedure	reference_only	my_glossary
грибки	fungi	other_medical	reference_only	my_glossary
грибок	fungus	other_medical	reference_only	my_glossary
грипп	flu	diagnosis	reference_only	my_glossary
громкий храп	loud snoring	symptom	reference_only	my_glossary
грудина	breastbone	anatomy	reference_only	my_glossary
грудная клетка	chest	anatomy	reference_only	my_glossary
грудное вскармливание	breastfeeding	other_medical	reference_only	my_glossary
грудное молоко	breast milk	medication	reference_only	my_glossary
грудной изгиб	thoracic curve	anatomy	reference_only	my_glossary
грудные имплантаты	breast implants	other_medical	reference_only	my_glossary
грудь	breast	anatomy	reference_only	my_glossary
группа крови	blood type	test	reference_only	my_glossary
группа поддержки	support group	procedure	reference_only	my_glossary
грусть	sadness	symptom	reference_only	my_glossary
губы	lips	anatomy	reference_only	my_glossary
давление	blood pressure	test	reference_only	my_glossary
давление в груди	chest pressure	symptom	reference_only	my_glossary
давление в нижней части спины	lower back pressure	symptom	reference_only	my_glossary
давление в прямой кишке	rectum pressure	symptom	reference_only	my_glossary
давление внизу живота	pressure in lower belly	symptom	reference_only	my_glossary
давящая повязка	pressure bandage	procedure	reference_only	my_glossary
датчик	transducer	other_medical	reference_only	my_glossary
двенадцатиперстная кишка	duodenum	anatomy	reference_only	my_glossary
движение глаз под веками	eye motion under the lid	symptom	reference_only	my_glossary
движение ног	leg movements	test	reference_only	my_glossary
движение плеча во внешнем направлении	shoulder external rotation	procedure	reference_only	my_glossary
движение плеча во внутреннем направлении	shoulder internal rotation	procedure	reference_only	my_glossary
движение стенок сердца	heart walls motion	other_medical	reference_only	my_glossary
движения бедер внутрь и наружу	hip outward and inward	procedure	reference_only	my_glossary
двоение в глазах	double vision	symptom	reference_only	my_glossary
двойное зрение	double vision	symptom	reference_only	my_glossary
двухэнергетическая рентгеновская абсорбциометрия	dual-energy x-ray absorptiometry	test	reference_only	my_glossary
дезинфицирующее моющее средство	disinfectant cleaner	other_medical	reference_only	my_glossary
дезинфицирующее средство для рук	hand sanitizer	medication	reference_only	my_glossary
дезинфицирующее средство для рук с содержанием спирта	alcohol-based hand sanitizer	medication	reference_only	my_glossary
дезинфицирующее средство на основе спирта	hand sanitizer	other_medical	reference_only	my_glossary
дезориентация	confusion	symptom	reference_only	my_glossary
деменция	dementia	diagnosis	reference_only	my_glossary
депрессия	depression	diagnosis	reference_only	my_glossary
депрессор языка	tongue blade	other_medical	reference_only	my_glossary
дерматолог	dermatologist	other_medical	reference_only	my_glossary
десны	gums	anatomy	reference_only	my_glossary
детектор угарного газа	carbon monoxide detector	other_medical	reference_only	my_glossary
детемер	detemer	medication	reference_only	my_glossary
детская смесь	infant formula	medication	reference_only	my_glossary
детские сиденья	child safety seats	other_medical	reference_only	my_glossary
детский тайленол	children's tylenol	medication	reference_only	my_glossary
детское питание	baby food	other_medical	reference_only	my_glossary
дефекация	bowel movements	other_medical	reference_only	my_glossary
дефибриллятор	defibrillator	procedure	reference_only	my_glossary
дефицит витамина d	vitamin d deficiency	diagnosis	reference_only	my_glossary
дженерик	generic medicine	medication	reference_only	my_glossary
диабет	diabetes	diagnosis	reference_only	my_glossary
диабет 1 типа	type 1 diabetes	diagnosis	reference_only	my_glossary
диабет 1-го типа	type 1 diabetes	diagnosis	reference_only	my_glossary
диабет 2-го типа	type 2 diabetes	diagnosis	reference_only	my_glossary
диабет типа 2	type 2 diabetes	diagnosis	reference_only	my_glossary
диабетическая невропатия	diabetic neuropathy	diagnosis	reference_only	my_glossary
диабетическая нейропатия	diabetic neuropathy	diagnosis	reference_only	my_glossary
диабетическая ретинопатия	diabetic retinopathy	diagnosis	reference_only	my_glossary
диабетические лекарства	diabetes medicine	medication	reference_only	my_glossary
диализ	dialysis	procedure	reference_only	my_glossary
диализат	dialysate	medication	reference_only	my_glossary
диализный аппарат	dialysis machine	other_medical	reference_only	my_glossary
диапазон движения	range of motion	procedure	reference_only	my_glossary
диарея	diarrhea	symptom	reference_only	my_glossary
диастолическое давление	diastolic reading	test	reference_only	my_glossary
диафрагма	diaphragm	anatomy	reference_only	my_glossary
диета прозрачных жидкостей	clear liquid diet	other_medical	reference_only	my_glossary
диета с высоким содержанием клетчатки	high fiber diet	other_medical	reference_only	my_glossary
диетолог	dietitian	other_medical	reference_only	my_glossary
дименгидринат	dimenhydrinate	medication	reference_only	my_glossary
дипломированный специалист	registered nurse	other_medical	reference_only	my_glossary
диски	discs	anatomy	reference_only	my_glossary
дискомфорт	discomfort	symptom	reference_only	my_glossary
дискомфорт в глазах	eye discomfort	symptom	reference_only	my_glossary
дискомфорт ног	leg discomfort	symptom	reference_only	my_glossary
дисфагия	dysphagia	diagnosis	reference_only	my_glossary
дифтерия	diphtheria	diagnosis	reference_only	my_glossary
диффузное аксональное повреждение	diffuse axonal injury	diagnosis	reference_only	my_glossary
дневная сонливость	daytime sleepiness	symptom	reference_only	my_glossary
дневник питания	food diary	other_medical	reference_only	my_glossary
дневник сна	sleep diary	test	reference_only	my_glossary
добавки с клетчаткой	fiber supplements	medication	reference_only	my_glossary
доброкачественные опухоли	benign tumors	diagnosis	reference_only	my_glossary
доверенность на право представлять интересы больного	health care proxy	other_medical	reference_only	my_glossary
доверенность на принятие медицинских решений	health care power of attorney	other_medical	reference_only	my_glossary
доза	dose	other_medical	reference_only	my_glossary
доза инсулина	insulin dose	other_medical	reference_only	my_glossary
дозировка	dose	other_medical	reference_only	my_glossary
