Russian	English	Confidence	Sources
аварийная предохранительная подушка  bagged инкапсулированный	air bagassosis	needs_human_review	akzhigitov_2_5
авария на атомной станции	nuclear power plant accident	needs_human_review	akzhigitov_2_5
авария ядерного реактора 1-го класса	class 1 reactor accident	needs_human_review	akzhigitov_2_5
авария ядерного реактора 8-го класса	class 8 reactor accident	needs_human_review	akzhigitov_2_5
авария ядерного реактора 9-го класса	class 9 reactor accident	needs_human_review	akzhigitov_2_5
авирулентиый клон паразита	avirulent clone of parasite	needs_human_review	akzhigitov_2_5
авитаминоз	deprival, deprivation, deprivement of vitamin	needs_human_review	akzhigitov_2_5
австралийский клещевой	North Queensland tick typhus	needs_human_review	akzhigitov_2_5
автоматизация обработки данных в клинических лабораториях	PathNet	needs_human_review	akzhigitov_2_5
автоматизированная	automated suspension culture syrinx	needs_human_review	akzhigitov_2_5
автоматизированный анализатор форменных элементов крови	automated differential counter1	needs_human_review	akzhigitov_2_5
автоматизм мышечных	automatism of atrial myocardial fibers	needs_human_review	akzhigitov_2_5
автоматическая пипетка	self-filling transfer pipet(te)	needs_human_review	akzhigitov_2_5
автоматический анализатор с рандомизированным обсчётом	automated random-access instrument	needs_human_review	akzhigitov_2_5
автоматический выбор участка сканирования	automatic region of interest	needs_human_review	akzhigitov_2_5
автономное  устройство управления	autonomous control unit	needs_human_review	akzhigitov_2_5
аганглиоз прямой и ободочной кишок	rectocolic aganglionosis	needs_human_review	akzhigitov_2_5
агар с глицерил-трибутиратом	tributyrin agar	needs_human_review	akzhigitov_2_5
агар с глюкозой и соей	soy glucose agar	needs_human_review	akzhigitov_2_5
агар с жёлчью и фиолетовым красным	viole-red bile agar	needs_human_review	akzhigitov_2_5
агар с фенолфталеином	phenolphthalein phosphate agar	needs_human_review	akzhigitov_2_5
агар с эозином и метиленовым	eosin-methylene blue agar	needs_human_review	akzhigitov_2_5
агглютинация сенсибилизированных танином эритроцитов	sensitized tanned red cell agglutination	needs_human_review	akzhigitov_2_5
агглютинация эритроцитов	clumping of red cells	needs_human_review	akzhigitov_2_5
агенезия  крестца	sacral agenesia, agenesis	needs_human_review	akzhigitov_2_5
агенезия  носа	arrhinia	needs_human_review	akzhigitov_2_5
агенезия одной доли  щитовидной	thyroid hemi agenesis	needs_human_review	akzhigitov_2_5
агент	iron-chelating gadolin-based contrast -pen	needs_human_review	akzhigitov_2_5
агональный тромб	agonal thrombus, pi. thrombi	needs_human_review	akzhigitov_2_5
агранулярная  эндоплазматическая сеть	agranular endoplasmic reticulosis	needs_human_review	akzhigitov_2_5
агрегация  в монослое	monolayer aggregation	needs_human_review	akzhigitov_2_5
агрегация  эритроцитов	red blood cell aggregation	needs_human_review	akzhigitov_2_5
агрегированные  антитела	aggregated antibody, pi antibodiesies	needs_human_review	akzhigitov_2_5
агрессия и насилие	aggression and violence	needs_human_review	akzhigitov_2_5
Адамса - Морганьи - Стокса	Adams - Stokes syndrome	needs_human_review	akzhigitov_2_5
адаптация к больничной	aclimation to hospital environment	needs_human_review	akzhigitov_2_5
адаптация к жизни в обществе	community adjustment	needs_human_review	akzhigitov_2_5
адаптация к стрессу	stress coping2	needs_human_review	akzhigitov_2_5
адаптация к фону	background adaptation	needs_human_review	akzhigitov_2_5
адаптированная в культуре	culture-adapted cell closed	needs_human_review	akzhigitov_2_5
адвентивный  зародыш	adventitive embryo	needs_human_review	akzhigitov_2_5
адгезивное  воспаление	adhesive inflammation	needs_human_review	akzhigitov_2_5
адгезивность  тромбоцитов	platelet adhesiveness; platelet stickiness	needs_human_review	akzhigitov_2_5
адгезия к пластмассе	plastic nonspecific	needs_human_review	akzhigitov_2_5
адгезия к стеклу	glass adherence	needs_human_review	akzhigitov_2_5
аддисонова  болезнь	Addison's disease; melanin thesaurismosis	needs_human_review	akzhigitov_2_5
аддитивный  эффект	additive effect	needs_human_review	akzhigitov_2_5
адекватная	appropriate antibiotic anti-suicide oriented	needs_human_review	akzhigitov_2_5
адекватность потребительского	adequacy of consumer choice	needs_human_review	akzhigitov_2_5
адениловая  кислота	adenylic acid	needs_human_review	akzhigitov_2_5
аденоассоциированный  вирус	adeno-associated virus	needs_human_review	akzhigitov_2_5
аденоидное  перерождение	adenization	needs_human_review	akzhigitov_2_5
аденоидный плоскоклеточный	adenoid squamous cell carcinoma	needs_human_review	akzhigitov_2_5
аденома соска молочной железы	adenitis of the nipple	needs_human_review	akzhigitov_2_5
аденоматозный  полип	adenomatous polyp; cellnlar polyp	needs_human_review	akzhigitov_2_5
адипозогенитальная дистрофия	Babinski - Frolich's disease	needs_human_review	akzhigitov_2_5
администратор лечебного учреждения	holder of an office	needs_human_review	akzhigitov_2_5
адонис  весенний	adonante vernalis	needs_human_review	akzhigitov_2_5
адренергические  волокна	adrenergic fiber, pi. fibress	needs_human_review	akzhigitov_2_5
адреноблокируюшее  средство	adrenoceptor blocking agent	needs_human_review	akzhigitov_2_5
адренолейкодистрофия	Siemerling - Creitzfeldt fib	needs_human_review	akzhigitov_2_5
адресованный  мутагенез	directed mutagenesis	needs_human_review	akzhigitov_2_5
адсорбированная  иммунная	adsorbed antiserum	needs_human_review	akzhigitov_2_5
адсорбционная теория наркоза	adsorption theory of narcosis	needs_human_review	akzhigitov_2_5
азообразующие бактерии	gas-producing bacteriochlorophillide-serin i	needs_human_review	akzhigitov_2_5
азотистые компоненты крови	nitrogenous constituents of blood	needs_human_review	akzhigitov_2_5
акинетическая  апраксия	akinetic apraxia	needs_human_review	akzhigitov_2_5
акриловая  пластмасса	acrylic resetting	needs_human_review	akzhigitov_2_5
акродиния	Swift's [Swift - Feer) fib	needs_human_review	akzhigitov_2_5
аксеническая  культура	axenic culture	needs_human_review	akzhigitov_2_5
аксиальная  проекция	axial projection; axial plane1	needs_human_review	akzhigitov_2_5
аксиальная компьютерная томография	computed axial tomography	needs_human_review	akzhigitov_2_5
акт гражданского состояния	act of civil state	needs_human_review	akzhigitov_2_5
акт или процесс прорыва через поверхность	irruption	needs_human_review	akzhigitov_2_5
акт о смерти	death statement	needs_human_review	akzhigitov_2_5
активатор  окисления	oxidation promoter	needs_human_review	akzhigitov_2_5
активаторы  калиевых канальцев	potassium channel openers	needs_human_review	akzhigitov_2_5
активация панкреатических	activity of pancreatic enzymes	needs_human_review	akzhigitov_2_5
активная	active rosette-borning T cecum	needs_human_review	akzhigitov_2_5
активная  кислотность	true acidity	needs_human_review	akzhigitov_2_5
активная  полоска	active paper	needs_human_review	akzhigitov_2_5
активная репликация вируса в результате проникновения в клетку	viral budding	needs_human_review	akzhigitov_2_5
активно воздействующий в очень малом	oligodynamic	needs_human_review	akzhigitov_2_5
активное метастазирование	aggressive metastasis, pi. metastases	needs_human_review	akzhigitov_2_5
активность аллергена в единицах	protein nitrogen primary health	needs_human_review	akzhigitov_2_5
активность переносчика инфекции	activity of transmitting agent	needs_human_review	akzhigitov_2_5
активность повседневной жизни	activity of daily living	needs_human_review	akzhigitov_2_5
активный  пневмоторакс	active pneumothorax	needs_human_review	akzhigitov_2_5
активный центр фермента	enzyme active blood donor	needs_human_review	akzhigitov_2_5
актинический  дерматит	actinic dermatitis	needs_human_review	akzhigitov_2_5
актинический  хейлит	actinic cheilitis	needs_human_review	akzhigitov_2_5
актуальные проблемы детской	topic in child neurology	needs_human_review	akzhigitov_2_5
актуарная  выживаемость	actuary survival	needs_human_review	akzhigitov_2_5
акупунктура с использованием тлеющей ваты	acupuncture with smouldering moxa	needs_human_review	akzhigitov_2_5
акустическое контактное средство	acoustic coupling medium,pi. media	needs_human_review	akzhigitov_2_5
акушерка с университетским образованием	midwife with university degree	needs_human_review	akzhigitov_2_5
акушерские щипцы с короткими браншами	leniceps	needs_human_review	akzhigitov_2_5
акушерский	ohstetric(al)	needs_human_review	akzhigitov_2_5
акцент  второго	pronounced second heart sound	needs_human_review	akzhigitov_2_5
алая  кровь	bright-red blood	needs_human_review	akzhigitov_2_5
Алгира  камера	Algire's chamber	needs_human_review	akzhigitov_2_5
Александера В. - Адамса	Alexander W. - Adams' operation	needs_human_review	akzhigitov_2_5
алиментарная  анемия	nutritional folate deficiency	needs_human_review	akzhigitov_2_5
алиментарная  гипергликемия	dietary hyperglycemia	needs_human_review	akzhigitov_2_5
алиментарная  липемия	fat tide	needs_human_review	akzhigitov_2_5
алиментарное  ожирение	alimentary obesity	needs_human_review	akzhigitov_2_5
алифатическая  кислота	aliphatic acid	needs_human_review	akzhigitov_2_5
алифатическое  соединение	acyclic compound	needs_human_review	akzhigitov_2_5
алкогольная пенистая дегенерация	alcoholic foamy degeneracy, degeneration	needs_human_review	akzhigitov_2_5
алкогольный  напиток	eau de-vie	needs_human_review	akzhigitov_2_5
алкогольный иапиток	strong drink l	needs_human_review	akzhigitov_2_5
аллантоидная  артерия	allantoic arteria	needs_human_review	akzhigitov_2_5
аллелотипы рака мочевого пузыря	allelotypes of bladder cancer	needs_human_review	akzhigitov_2_5
аллергенная  сыворотка	allergenic serum	needs_human_review	akzhigitov_2_5
аллергическая псевдосептицемия	Wissler - Fanconi prasad	needs_human_review	akzhigitov_2_5
аллергические кожные пробы	allergy testing of the skin	needs_human_review	akzhigitov_2_5
аллергическое высыпание при грибковом поражении кожи	dermatophytid	needs_human_review	akzhigitov_2_5
аллергия к пыли пчелиных тел	honeybee body dust allergen	needs_human_review	akzhigitov_2_5
аллергоспецифическая  сыворотка	reaginic preabsorbed immune	needs_human_review	akzhigitov_2_5
аллогенная  трансплантация	homoplastic transplantation	needs_human_review	akzhigitov_2_5
аллогенная трансплантация	allogenic bone marrow transplantation	needs_human_review	akzhigitov_2_5
аллоиммунизация в системе мать плод	fetus-maternal alloimmunization	needs_human_review	akzhigitov_2_5
аллоиммунизация к антигенам	alloimmunization to platelet antigens	needs_human_review	akzhigitov_2_5
аллоксурия /наличие пуринов в моче)	alloxuria	needs_human_review	akzhigitov_2_5
аллостерический  фермент	allosteric enzyme	needs_human_review	akzhigitov_2_5
Алстрёма - Ольсена синдром	Alstrom - Olsen syndrome	needs_human_review	akzhigitov_2_5
альбинизм с геморрагическим	Hermansky - Pudlakalbinism	needs_human_review	akzhigitov_2_5
альбуминагглютинирующее	albumin-agglutinating antibody, pi antibodies	needs_human_review	akzhigitov_2_5
альбуминоидная  дегенерация	albuminoid liver	needs_human_review	akzhigitov_2_5
альвеола  зуба	odontobothrion; phatnoma; tooth socket	needs_human_review	akzhigitov_2_5
альвеолярная вентиляция за одну минуту	alveolar ventilated	needs_human_review	akzhigitov_2_5
альвеолярная саркома мягких	alveolar soft part sarcoma, pi. sarcomata	needs_human_review	akzhigitov_2_5
альвеолярноартериальное различие парциального напряжения	alveolar-arterial oxygen pressure difference	needs_human_review	akzhigitov_2_5
альвеолярный отросток  с экзостозами	spiny ridge	needs_human_review	akzhigitov_2_5
альгоменорея	menstrual colic, pi. colica	needs_human_review	akzhigitov_2_5
Альперса  синдром	Alpers's syndrome	needs_human_review	akzhigitov_2_5
альтернативное  введение глюкокортикоидов	alternate-day glucocorticoid administration	needs_human_review	akzhigitov_2_5
альтернативное  наследование	alternative inheritance	needs_human_review	akzhigitov_2_5
альтернативные варианты	alternate with a groups	needs_human_review	akzhigitov_2_5
альтернативный метод контрацепции	contraceptive to have no -s	needs_human_review	akzhigitov_2_5
альтернативный путь решения проблемы	alternative way of reacting to a problem	needs_human_review	akzhigitov_2_5
альтернирующая  гемианестезия	alternate hemianesthesia	needs_human_review	akzhigitov_2_5
альтруистическое  самоубийство	altruistic suicide	needs_human_review	akzhigitov_2_5
альфа-клетки  аденогипофиза	Crooke's bystanders	needs_human_review	akzhigitov_2_5
амавротическая	cerebromacular degeneracy, degeneration	needs_human_review	akzhigitov_2_5
амавротическая детская	Bielschowsky - Jansky disease	needs_human_review	akzhigitov_2_5
амблиопия на половину поля зрения	dimidiate alveolodental	needs_human_review	akzhigitov_2_5
амборецепторно-медиаторная система контроля функции комплемента и др	amboreceptor-mediator syringing	needs_human_review	akzhigitov_2_5
амбулаторная  гипертония	ambulatory blood-pressure	needs_human_review	akzhigitov_2_5
амбулаторное  лечение	out-patient carditis	needs_human_review	akzhigitov_2_5
амеланотическая  меланома	amelanotic melanoma	needs_human_review	akzhigitov_2_5
амелобластосаркома	ameloblastic sarcoma, pi. sarcomata	needs_human_review	akzhigitov_2_5
Американская	American Typical collection of Cultures	needs_human_review	akzhigitov_2_5
Американский справочник  лекарственных средств	American Drug index	needs_human_review	akzhigitov_2_5
Американское национальное	US National Health survey	needs_human_review	akzhigitov_2_5
амилоидные  тельца	amylaceous coronaviridaes	needs_human_review	akzhigitov_2_5
амилоидные тельца в ацииусах предстательной железы	prostatic concretions	needs_human_review	akzhigitov_2_5
аминирование  замещения или присоединения)	animation	needs_human_review	akzhigitov_2_5
амиотрофия	neural [neuritic, neuropathic, neurotic) atrophy	needs_human_review	akzhigitov_2_5
амниотическая  ампутация	amniotic amputation	needs_human_review	akzhigitov_2_5
амнсстнческая  афазия	anomia	needs_human_review	akzhigitov_2_5
амплитуда  колебаний	amplitude	needs_human_review	akzhigitov_2_5
амплификация	amplification refractory mutation syringitis	needs_human_review	akzhigitov_2_5
амплификация  клона	clone amplification	needs_human_review	akzhigitov_2_5
ампула маточной трубы	ampulla of the uterine tube	needs_human_review	akzhigitov_2_5
ампула семявыносящего протока	ampulla of the deferent duct	needs_human_review	akzhigitov_2_5
ампутация в средней трети голени	midleg double-flap	needs_human_review	akzhigitov_2_5
ампутация с образованием кожномышечного лоскута	musculocutaneous double-flap	needs_human_review	akzhigitov_2_5
ампутация с расположением рубца в центре	central amputation	needs_human_review	akzhigitov_2_5
ампутация языка	deprival, deprivation, deprivement of lingua	needs_human_review	akzhigitov_2_5
амфипатичность белковых	amphipathicity of protein antigens	needs_human_review	akzhigitov_2_5
амфорические хрипы	amphoric age specific nuptiality	needs_human_review	akzhigitov_2_5
аналгезирующее  средство	anodyne	needs_human_review	akzhigitov_2_5
анализ	thymus-regeneration enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ  крови	blood smear evaluation	needs_human_review	akzhigitov_2_5
анализ  непосредственно у постели больного	point-of-care testing	needs_human_review	akzhigitov_2_5
анализ антиядерного	antinuclear antibody assay, ANA	needs_human_review	akzhigitov_2_5
анализ бластогенеза  лимфоцитов	lymphocyte blastogenic enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ в зависимости от назначенного лечения	intention-to-treat	needs_human_review	akzhigitov_2_5
анализ в культуре	culture assay	needs_human_review	akzhigitov_2_5
анализ в пробирке	tube enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ в соответствии с выполнением	per protocol multicolor	needs_human_review	akzhigitov_2_5
анализ генотипа по многим генам	multiple genotype multicolor	needs_human_review	akzhigitov_2_5
анализ групп сцепления между генными	linkage	needs_human_review	akzhigitov_2_5
анализ данных о скорости и	force-velocity fluorescence - of pulse	needs_human_review	akzhigitov_2_5
анализ и интерпретация непроизвольных движений	muscle-reading	needs_human_review	akzhigitov_2_5
анализ игр	game	needs_human_review	akzhigitov_2_5
анализ клеток-супрессоров	supressor cell enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ клетоксупрессоров	Con A-induced suppressor cell assay	needs_human_review	akzhigitov_2_5
анализ клеточной  цитотоксичности	cell cytotoxicity assay	needs_human_review	akzhigitov_2_5
анализ кривой плавления	melting curve	needs_human_review	akzhigitov_2_5
анализ лечения бронхиальной	attribute of asthma therapy	needs_human_review	akzhigitov_2_5
анализ методом изотопного разбавления	isotope dilution	needs_human_review	akzhigitov_2_5
анализ методом инфракрасной	infrared spectroscopy	needs_human_review	akzhigitov_2_5
анализ методом молекулярной	molecular spectrum	needs_human_review	akzhigitov_2_5
анализ мочи на наличие психоактивных веществ	drug urinalysis	needs_human_review	akzhigitov_2_5
анализ мочи при поступлении пациента	admission urinalysis	needs_human_review	akzhigitov_2_5
анализ мочи с помощью индикаторной	urinalysis dipstick	needs_human_review	akzhigitov_2_5
анализ на отсутствие посторонних примесей	purity checking	needs_human_review	akzhigitov_2_5
анализ пациента	in vivo enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ подавления	cell cytolysis neutralization assay; radioantigen-binding inhibition enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ психики	mental	needs_human_review	akzhigitov_2_5
анализ работы	job	needs_human_review	akzhigitov_2_5
анализ расщепления	segregation multicolor- of multiple markers	needs_human_review	akzhigitov_2_5
анализ с использованием панели антител	antibody-screening assay	needs_human_review	akzhigitov_2_5
анализ с помощью	reciever-operating characteristic curve	needs_human_review	akzhigitov_2_5
анализ светорассеяния	light scatter	needs_human_review	akzhigitov_2_5
анализ селезёночных фрагментов	splenic focus enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ случаев с последующим контролем	case-control analysis	needs_human_review	akzhigitov_2_5
анализ смешанного колониеобразовання	mixed colony enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ сновидений в целях психиатрической диагностики	oneiroscopy	needs_human_review	akzhigitov_2_5
анализ содержания витаминов	vitamin enzyme-linked immunospot -s	needs_human_review	akzhigitov_2_5
анализ соотношения риска и пользы	risk-benefit multicolor	needs_human_review	akzhigitov_2_5
анализ состава семей	household	needs_human_review	akzhigitov_2_5
анализ средств-цели	means-end	needs_human_review	akzhigitov_2_5
анализ цитотоксичности методом серийных разведений	single cell cytotoxicity enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализ эффективности выращивания	plating efficiency enzyme-linked immunospot	needs_human_review	akzhigitov_2_5
анализатор  рабочей станции	analyzer workstation	needs_human_review	akzhigitov_2_5
анализатор газов и	BGE analyzer1	needs_human_review	akzhigitov_2_5
анализатор основных	routine pulmonary function analyzer1	needs_human_review	akzhigitov_2_5
анализатор отходящих газов	exhaust gas analyzing device	needs_human_review	akzhigitov_2_5
анализатор последовательности	sequential analyzer1 for protein	needs_human_review	akzhigitov_2_5
анализатор ядерного	nuclear magnetic resonance analyzer1	needs_human_review	akzhigitov_2_5
анализируемое  вещество	analyte	needs_human_review	akzhigitov_2_5
аналитическая политестовая система энзимоидентификации анаэробных	analitical politest identification of anaerobes	needs_human_review	akzhigitov_2_5
анамнез жёлчной колики	history of biliary pain	needs_human_review	akzhigitov_2_5
анамнез настоящего заболевания	history of present illness	needs_human_review	akzhigitov_2_5
анамнестическая  реакция	boosted abnormal mucosal immune	needs_human_review	akzhigitov_2_5
анамнестические  данные	historical signs	needs_human_review	akzhigitov_2_5
ананкастное  расстройство личности	anankastic personality disorder	needs_human_review	akzhigitov_2_5
анастомоз между ветвями одной артерии	homocladic anastomosis	needs_human_review	akzhigitov_2_5
анастомоз между двумя участками семявыносящего протока	vasovasostomy	needs_human_review	akzhigitov_2_5
анастомоз подвздошной кишки	apposition of ileum to left colon	needs_human_review	akzhigitov_2_5
анастомоз селезёночной артерии с почечной	splenorenal shunt	needs_human_review	akzhigitov_2_5
анатомический	anatomic(al)	needs_human_review	akzhigitov_2_5
анатомический трупный	anatomic graduated autopsy probe	needs_human_review	akzhigitov_2_5
анатомо-терапевтическо-химическая классификация	anatomical therapeutic chemical classification	needs_human_review	akzhigitov_2_5
анафилактогенное антитело	anaphylactic antibody, pi antibodies	needs_human_review	akzhigitov_2_5
анафилактоидный  шок	colloidoclastic shock	needs_human_review	akzhigitov_2_5
анаэробная	emphysematous [fulminating, gas(eous)[ gangrene	needs_human_review	akzhigitov_2_5
ангиидиотипическое антитело	anti-antiself antibody, pi antibodies	needs_human_review	akzhigitov_2_5
ангиогенный опухолевый	tumor angiogenic factor (TAF)	needs_human_review	akzhigitov_2_5
ангиплаценгарное антитело	antiplacental antibody, pi antibodies	needs_human_review	akzhigitov_2_5
ангитубулиновое антитело	antitubulin antibody, pi antibodies	needs_human_review	akzhigitov_2_5
Андерсона - Нови синдром	Anderson - Novy syndrome	needs_human_review	akzhigitov_2_5
аневризма  перегородки	septal anastomotic	needs_human_review	akzhigitov_2_5
аневризма венечной  артерии	coronary anastomotic	needs_human_review	akzhigitov_2_5
аневризмальная  киста	aneurysmal bone cyst	needs_human_review	akzhigitov_2_5
анемический  инфаркт	anemic infarct	needs_human_review	akzhigitov_2_5
анемия	vitamin E dependent anesthesia	needs_human_review	akzhigitov_2_5
анемофобия  с развитием катапепаш	anemophobia	needs_human_review	akzhigitov_2_5
анестезия в сердечно-сосудистой	cardiovascular anesthesia	needs_human_review	akzhigitov_2_5
анизейконометрическое  обследование	eikonometric exam, examination	needs_human_review	akzhigitov_2_5
анизотропный диск	A disk	needs_human_review	akzhigitov_2_5
анимальный  полюс	germinal polaroid	needs_human_review	akzhigitov_2_5
анкета	questionnaire with a group	needs_human_review	akzhigitov_2_5
анкета для массового скрининга людей с ранними признаками алко­	alcohol use disorder identification test	needs_human_review	akzhigitov_2_5
анкета для повторного	reinterview survey work sheet	needs_human_review	akzhigitov_2_5
анкета по выявлению соматоформных расстройств	somatoform disorders schedule	needs_human_review	akzhigitov_2_5
анкилоз зуба	ankylosed tooth, pi. teeth	needs_human_review	akzhigitov_2_5
анкилоз коленного сустава со штыкообразной деформацией	bayonet leg	needs_human_review	akzhigitov_2_5
анкилозирующий спондилоартрит	Marie - Striimpell fib; Strumpell - Marie fib	needs_human_review	akzhigitov_2_5
анкилостомная  анемия	ankylostome anemia	needs_human_review	akzhigitov_2_5
анксиоген  \\	anxiogen	needs_human_review	akzhigitov_2_5
ановуляторный  менструальный цикл	anovular menstruation	needs_human_review	akzhigitov_2_5
аномалии иаранефрического  протока	mullerian anomalyies	needs_human_review	akzhigitov_2_5
аномалии почек	renal, genital and middle earanomalyies	needs_human_review	akzhigitov_2_5
аномалия  развития	developmental anomaly; impaired [imperfect) development	needs_human_review	akzhigitov_2_5
аномалия формы и положения зубов	irregularity of teeth	needs_human_review	akzhigitov_2_5
аномальная  артерия	aberrant artery, pi. arteriae	needs_human_review	akzhigitov_2_5
аномальное распространение метаболита	biochemical metastasis, pi. metastases	needs_human_review	akzhigitov_2_5
аномальные источники кровотечения	metastasis, pi. metastases of the menses	needs_human_review	akzhigitov_2_5
аномальный лёгочновенозный дренаж	anomalous pulmonary venous drainage	needs_human_review	akzhigitov_2_5
аномальный характер	abnormal patterns of mucin secretion	needs_human_review	akzhigitov_2_5
антиаллотипическое антитело	antiallotypic antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антианти-идиотипическое антитело	antianti-idiotypic antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антивирионное антитело	antivirion antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антигаптенные IgG-антитела	anti-hapten lgG antibody, pi antibodiesies	needs_human_review	akzhigitov_2_5
антигельминтная клизма	antihelminthic enema, pi. enemata	needs_human_review	akzhigitov_2_5
антигемофильная плазма	antihemophilic plasm(a)	needs_human_review	akzhigitov_2_5
антиген	not cell-bound complement fixing hepatitis	needs_human_review	akzhigitov_2_5
антиген  В-лимфоцитов человека	human B-lymphocyte hepatitis	needs_human_review	akzhigitov_2_5
антиген  перхоти	dander antigen	needs_human_review	akzhigitov_2_5
антиген  Т-лимфоцитов человека	human T-lymphocyte hepatitis	needs_human_review	akzhigitov_2_5
антиген ранней стадии	early embryonic stage antigen	needs_human_review	akzhigitov_2_5
антиген семенной жидкости	semen-specific (seminal] hepatitis)	needs_human_review	akzhigitov_2_5
антигенная детерминанта секвенусиленное чувство голода)	chain-antigenic sitomania	needs_human_review	akzhigitov_2_5
антигенная система лейкоцитов человека	human leukocyte antigen system	needs_human_review	akzhigitov_2_5
антигенпредставляющая  клетка	presenter preimmune	needs_human_review	akzhigitov_2_5
антигенреактивный Т-лимфоцит	antigen-reactive T allospecific cytoxic	needs_human_review	akzhigitov_2_5
антигенспецифические факфактора 3 тромбоцитов	antigen specific T-cell factors	needs_human_review	akzhigitov_2_5
антиидиотипические антитела	antiidiotype antibody, pi antibodieses	needs_human_review	akzhigitov_2_5
антиизотипические антитела	anti-isotypic antibody, pi antibodiesies	needs_human_review	akzhigitov_2_5
антиклонотипическое антитело	anticlonotypic antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антиконъюгатное  антитело	conjugated-specific antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антимеланомное антитело	antimelanoma antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антимикробный  препарат	germicide	needs_human_review	akzhigitov_2_5
антимикросомнос антитело	antimicrosomal antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антимонголоидный разрез	antimongoloid slant of eyes	needs_human_review	akzhigitov_2_5
антимышечное антитело	antimuscle antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антиобщественное  поведение	antisocial	needs_human_review	akzhigitov_2_5
антипептидные моноклональные антитела	anti-peptide monoclonal antibody, pi antibodiesies	needs_human_review	akzhigitov_2_5
антирезусное антитело	anti-Rh antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антисептическая  повязка	antiseptic dressing	needs_human_review	akzhigitov_2_5
антиспермальное антитело	antispermatozoal antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антитела	cluster-labelled antibody, pi antibodiesies	needs_human_review	akzhigitov_2_5
антитела гамстического  типа. уст. антитела Ернс	germline detector-ies	needs_human_review	akzhigitov_2_5
антитела к актину	anti-actin antibody, pi antibodiesies	needs_human_review	akzhigitov_2_5
антитела к аминопептидазе	anti-aminopeptidase antibody, pi antibodiesies	needs_human_review	akzhigitov_2_5
антитела к вирусу гепатита D	HD detector-ies	needs_human_review	akzhigitov_2_5
антитела к вирусу гриппа	anti-influenza virus antibody, pi antibodies	needs_human_review	akzhigitov_2_5
антитела к герпесвирусу	antibody, pi antibodiesies against herpesvirus	needs_human_review	akzhigitov_2_5
