Russian	English	Category	Confidence	Sources	_reject_reason
дыхательный	expiratory exchange ratio		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'дыхательный' → 'expiratory exchange ratio'
дыхательный	respiratory quotient (RQ)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'дыхательный' → 'respiratory quotient (RQ)'
железодефицитный	iron-deficient		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'железодефицитный' → 'iron-deficient'
желеобразный	jelly-like		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'желеобразный' → 'jelly-like'
завершённый	complete phagocytosis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'завершённый' → 'complete phagocytosis'
заднелатеральный	posterior-lateral		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'заднелатеральный' → 'posterior-lateral'
задненаружный	posterior-external		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'задненаружный' → 'posterior-external'
заднепередний	posterior-anterior		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'заднепередний' → 'posterior-anterior'
зажим			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
иммунологический	immunologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'иммунологический' → 'immunologic(al)'
канцерогенный	cancer-causing, cancer-inducing, oncogenic		approved	xlsx_silicone	tilde_artifact: 'канцерогенный' → 'cancer-causing, cancer-inducing, oncogenic'
кардиофобия			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
коклюш			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
конверсивный	conversion hysteria		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'конверсивный' → 'conversion hysteria'
копчик			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
краниотом			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
лаборатория			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
лиофизилированный	freeze-dried		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'лиофизилированный' → 'freeze-dried'
ложноотрицательный	false negative		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'ложноотрицательный' → 'false negative'
ложноположительный	false positive		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'ложноположительный' → 'false positive'
лёгочный	pulmonary blastomycosis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'лёгочный' → 'pulmonary blastomycosis'
межкишечный	interintestinal abscess		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'межкишечный' → 'interintestinal abscess'
неврологический	neurologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'неврологический' → 'neurologic(al)'
нестероидный	non-steroidal		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'нестероидный' → 'non-steroidal'
овальбумин			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
околосуставной	juxta-articular		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'околосуставной' → 'juxta-articular'
патологический	pathologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'патологический' → 'pathologic(al)'
перекрёстный	counter immunoaffinity		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'перекрёстный' → 'counter immunoaffinity'
переношенный	postmarute neonate		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'переношенный' → 'postmarute neonate'
подкожный	subcutaneous (SQ)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'подкожный' → 'subcutaneous (SQ)'
подчелюстной	submandibular lymph node		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'подчелюстной' → 'submandibular lymph node'
полновесный	full-weight		approved	xlsx_silicone	tilde_artifact: 'полновесный' → 'full-weight'
полужесткий=семиригидный	semirigid, malleable		approved	xlsx_urology	tilde_artifact: 'полужесткий=семиригидный' → 'semirigid, malleable'
послеоперационный	postoperative (post-op)		approved	xlsx_silicone	tilde_artifact: 'послеоперационный' → 'postoperative (post-op)'
посттравматический	post-traumatic		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'посттравматический' → 'post-traumatic'
посттрансфузионный	post-transfusion		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'посттрансфузионный' → 'post-transfusion'
почкообразный	kidney-shaped		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'почкообразный' → 'kidney-shaped'
предменструальный	premenstrual (PMS)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'предменструальный' → 'premenstrual (PMS)'
прерывистое			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
приобретённый	acquired astigmatism		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'приобретённый' → 'acquired astigmatism'
продолжительный	long-lasting		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'продолжительный' → 'long-lasting'
промежуточный	intermediate bronchus		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'промежуточный' → 'intermediate bronchus'
противовоспалительный	anti-inflammatory		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'противовоспалительный' → 'anti-inflammatory'
радиологический	radiologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'радиологический' → 'radiologic(al)'
распространённый	widespread vasculitis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'распространённый' → 'widespread vasculitis'
рентгеноконтрастный	radio-opaque		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'рентгеноконтрастный' → 'radio-opaque'
робототехника			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
самодостаточный	self-sufficient		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'самодостаточный' → 'self-sufficient'
самокритичный	self-critical		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'самокритичный' → 'self-critical'
самопоследовательный	self-consistent		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'самопоследовательный' → 'self-consistent'
сердцевидный	heart-like		approved	xlsx_silicone	tilde_artifact: 'сердцевидный' → 'heart-like'
серологический	serologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'серологический' → 'serologic(al)'
серповидный	sickle-shaped		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'серповидный' → 'sickle-shaped'
сквозной	penetrating corneal allograft		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'сквозной' → 'penetrating corneal allograft'
сперматозоид			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
СПИД-ассоциированный	AIDS-related		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'СПИД-ассоциированный' → 'AIDS-related'
среднеевропейский	Central European		approved	xlsx_silicone	tilde_artifact: 'среднеевропейский' → 'Central European'
сублейкемический	subleukemic leukemia		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'сублейкемический' → 'subleukemic leukemia'
тонзиллярный	peritonsillar (PTA)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'тонзиллярный' → 'peritonsillar (PTA)'
травматический	traumatic pneumothorax		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'травматический' → 'traumatic pneumothorax'
тромботический	thrombotic apoplexy		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'тромботический' → 'thrombotic apoplexy'
туберкулёзный	tuberculous laryngitis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'туберкулёзный' → 'tuberculous laryngitis'
тяжелобольной	critically ill		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'тяжелобольной' → 'critically ill'
физиологический	physiologic(al)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'физиологический' → 'physiologic(al)'
физиологический	physiological threshold		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'физиологический' → 'physiological threshold'
формоустойчивый	form-stable, mouldable		approved	xlsx_silicone	tilde_artifact: 'формоустойчивый' → 'form-stable, mouldable'
функциональный	functional constipation		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'функциональный' → 'functional constipation'
хронический	chronic active (CAH)		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'хронический' → 'chronic active (CAH)'
хронический	chronic pyelonephritis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'хронический' → 'chronic pyelonephritis'
цитотоксичный	cytotoxic lymphocyte		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'цитотоксичный' → 'cytotoxic lymphocyte'
чёрный			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
электрический	electrosurgical knife		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'электрический' → 'electrosurgical knife'
эпинефрин			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
эпифиз			approved	baldwin_reference|baldwin_strict	empty_en_after_fix
эссенциальный	essential tremor		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'эссенциальный' → 'essential tremor'
ювенильный	juvenile rheumatoid		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'ювенильный' → 'juvenile rheumatoid'
ювенильный	juvenile rheumatoid arthritis		approved	baldwin_reference|baldwin_strict	tilde_artifact: 'ювенильный' → 'juvenile rheumatoid arthritis'
