Russian	English	Confidence	Sources	_reject_reason
застойный	marantic thrombosis, pi. thromboses	needs_human_review	akzhigitov_2_5	tilde_artifact: 'застойный' → 'marantic thrombosis, pi. thromboses'
иммунологический	immunological capture of nucleic acid	needs_human_review	akzhigitov_2_5	tilde_artifact: 'иммунологический' → 'immunological capture of nucleic acid'
ионно-хроматографический	ion chromatographic	needs_human_review	akzhigitov_2_5	tilde_artifact: 'ионно-хроматографический' → 'ion chromatographic'
квалификационный	certificate of Qualification in Social Work	needs_human_review	akzhigitov_2_5	tilde_artifact: 'квалификационный' → 'certificate of Qualification in Social Work'
кистевидный	botryoid(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'кистевидный' → 'botryoid(al)'
клеточно-опосредованный	cell-mediated immune abnormal mucosal immune	needs_human_review	akzhigitov_2_5	tilde_artifact: 'клеточно-опосредованный' → 'cell-mediated immune abnormal mucosal immune'
клеточный	cell-bound immunity	needs_human_review	akzhigitov_2_5	tilde_artifact: 'клеточный' → 'cell-bound immunity'
клиновидный	anterolateral fontanel(le)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'клиновидный' → 'anterolateral fontanel(le)'
клиновидный	sphenoidal fontanel(le)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'клиновидный' → 'sphenoidal fontanel(le)'
количественный	quantitative input and output relations	needs_human_review	akzhigitov_2_5	tilde_artifact: 'количественный' → 'quantitative input and output relations'
комбинированный	combination calculus, pi. calculi	needs_human_review	akzhigitov_2_5	tilde_artifact: 'комбинированный' → 'combination calculus, pi. calculi'
конкурентный	competitive homogeneous enzyme immunoassay	needs_human_review	akzhigitov_2_5	tilde_artifact: 'конкурентный' → 'competitive homogeneous enzyme immunoassay'
конкурентный	competitive solid-phase enzyme immunoassay	needs_human_review	akzhigitov_2_5	tilde_artifact: 'конкурентный' → 'competitive solid-phase enzyme immunoassay'
консультативный	advisory committee on medical research	needs_human_review	akzhigitov_2_5	tilde_artifact: 'консультативный' → 'advisory committee on medical research'
копрофильный	coprophil(ic)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'копрофильный' → 'coprophil(ic)'
крупнозернистый	coarse contact alter	needs_human_review	akzhigitov_2_5	tilde_artifact: 'крупнозернистый' → 'coarse contact alter'
крючковидный	lesser pancreas	needs_human_review	akzhigitov_2_5	tilde_artifact: 'крючковидный' → 'lesser pancreas'
кушингоидный	alcohol induced pseudo-Cushing syndrome	needs_human_review	akzhigitov_2_5	tilde_artifact: 'кушингоидный' → 'alcohol induced pseudo-Cushing syndrome'
лейкоцитный	leukocyte function associated hepatitis	needs_human_review	akzhigitov_2_5	tilde_artifact: 'лейкоцитный' → 'leukocyte function associated hepatitis'
лечебно-реабилитационный	residental treatment primary health	needs_human_review	akzhigitov_2_5	tilde_artifact: 'лечебно-реабилитационный' → 'residental treatment primary health'
Международный	International biological reference preparation	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Международный' → 'International biological reference preparation'
Международный	International covenant on Human Rights	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Международный' → 'International covenant on Human Rights'
международный	international personality disorders exam, examination	needs_human_review	akzhigitov_2_5	tilde_artifact: 'международный' → 'international personality disorders exam, examination'
Международный	International Public Health code	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Международный' → 'International Public Health code'
Международный	Ulrich's international periodicals directory	needs_human_review	akzhigitov_2_5	"tilde_artifact: 'Международный' → ""Ulrich's international periodicals directory"""
мелкосетчатый	flne-mesh(ed)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'мелкосетчатый' → 'flne-mesh(ed)'
миелоидный	myelogenic leukemia	needs_human_review	akzhigitov_2_5	tilde_artifact: 'миелоидный' → 'myelogenic leukemia'
микрохирургический	microvascular free groin flaps	needs_human_review	akzhigitov_2_5	tilde_artifact: 'микрохирургический' → 'microvascular free groin flaps'
Миннесотский	Minnesota living with heart failure questionnaire	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Миннесотский' → 'Minnesota living with heart failure questionnaire'
множественный	osphresis tuberculosa multiplex cystoides	needs_human_review	akzhigitov_2_5	tilde_artifact: 'множественный' → 'osphresis tuberculosa multiplex cystoides'
мономаркёрный	short-lable immunofluorescence enzyme-linked immunospot	needs_human_review	akzhigitov_2_5	tilde_artifact: 'мономаркёрный' → 'short-lable immunofluorescence enzyme-linked immunospot'
Национальный	National clearinghouse on Smoking and Health	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Национальный' → 'National clearinghouse on Smoking and Health'
Национальный	National Disease and Therapeutic index	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Национальный' → 'National Disease and Therapeutic index'
незаконнорождённый	illegitimate infant l	needs_human_review	akzhigitov_2_5	tilde_artifact: 'незаконнорождённый' → 'illegitimate infant l'
неинвазивный	noninvasion mean1s of evaluating effusion	needs_human_review	akzhigitov_2_5	tilde_artifact: 'неинвазивный' → 'noninvasion mean1s of evaluating effusion'
непрерывный	continuous of dominance to uniform distribution	needs_human_review	akzhigitov_2_5	tilde_artifact: 'непрерывный' → 'continuous of dominance to uniform distribution'
несовершенный	constitutional fragility of bone	needs_human_review	akzhigitov_2_5	tilde_artifact: 'несовершенный' → 'constitutional fragility of bone'
новорождённый	newborn infant l	needs_human_review	akzhigitov_2_5	tilde_artifact: 'новорождённый' → 'newborn infant l'
новорождённый	surgical infant l	needs_human_review	akzhigitov_2_5	tilde_artifact: 'новорождённый' → 'surgical infant l'
обезвоженный	extractnm rad. Valerianae aquosum siccum	needs_human_review	akzhigitov_2_5	tilde_artifact: 'обезвоженный' → 'extractnm rad. Valerianae aquosum siccum'
обращённо-фазовый	Kimble-Anderson reversed enzyme-linked immunospot	needs_human_review	akzhigitov_2_5	tilde_artifact: 'обращённо-фазовый' → 'Kimble-Anderson reversed enzyme-linked immunospot'
общесуженный	flattened and generally contracted pelvis, pi. pelves	needs_human_review	akzhigitov_2_5	tilde_artifact: 'общесуженный' → 'flattened and generally contracted pelvis, pi. pelves'
Оксфордский	Oxford textbook of clinical pharmacology	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Оксфордский' → 'Oxford textbook of clinical pharmacology'
опортунистический	opportunistic pulmonary aspergillomycosis, aspergillosis	needs_human_review	akzhigitov_2_5	tilde_artifact: 'опортунистический' → 'opportunistic pulmonary aspergillomycosis, aspergillosis'
опухолеспецифичный	tumor specific T supressor cell clock	needs_human_review	akzhigitov_2_5	tilde_artifact: 'опухолеспецифичный' → 'tumor specific T supressor cell clock'
пассивный	cell-free transfer of delayed hypersensitivity	needs_human_review	akzhigitov_2_5	tilde_artifact: 'пассивный' → 'cell-free transfer of delayed hypersensitivity'
паховый	falciform aponeurosis of rectus abdominis muscle	needs_human_review	akzhigitov_2_5	tilde_artifact: 'паховый' → 'falciform aponeurosis of rectus abdominis muscle'
передний	anterior fontanel(le)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'передний' → 'anterior fontanel(le)'
плюрипотентный	pluripotent(ial)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'плюрипотентный' → 'pluripotent(ial)'
подклапанный	hypertrophic muscular subaortic stenosis	needs_human_review	akzhigitov_2_5	tilde_artifact: 'подклапанный' → 'hypertrophic muscular subaortic stenosis'
подострый	acute nonsuppurative thyroiditis	needs_human_review	akzhigitov_2_5	tilde_artifact: 'подострый' → 'acute nonsuppurative thyroiditis'
посттравматический	posttraumatic arterial/venous thrombosis, pi. thromboses	needs_human_review	akzhigitov_2_5	tilde_artifact: 'посттравматический' → 'posttraumatic arterial/venous thrombosis, pi. thromboses'
почётный	Honorary Foreign member of the Royal Academy	needs_human_review	akzhigitov_2_5	tilde_artifact: 'почётный' → 'Honorary Foreign member of the Royal Academy'
предсердно-желудочковый	node of Aschoff and Tawara	needs_human_review	akzhigitov_2_5	tilde_artifact: 'предсердно-желудочковый' → 'node of Aschoff and Tawara'
проекционный	remotely controlled projection campimetry	needs_human_review	akzhigitov_2_5	tilde_artifact: 'проекционный' → 'remotely controlled projection campimetry'
противопролежневый	mattress for preventing pressure sores	needs_human_review	akzhigitov_2_5	tilde_artifact: 'противопролежневый' → 'mattress for preventing pressure sores'
психиатрический	psychiatric(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'психиатрический' → 'psychiatric(al)'
психологический	heart patients psychological questionnaire	needs_human_review	akzhigitov_2_5	tilde_artifact: 'психологический' → 'heart patients psychological questionnaire'
психологический	psychologic(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'психологический' → 'psychologic(al)'
рекомбинантный	recombinant human leucocyte interferon	needs_human_review	akzhigitov_2_5	tilde_artifact: 'рекомбинантный' → 'recombinant human leucocyte interferon'
реснитчатый	ciliary, ciliate(d)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'реснитчатый' → 'ciliary, ciliate(d)'
респираторный	respiratory distress prasad - of the newborn	needs_human_review	akzhigitov_2_5	tilde_artifact: 'респираторный' → 'respiratory distress prasad - of the newborn'
ретроградный	retrograde tubal transfer of human embryos	needs_human_review	akzhigitov_2_5	tilde_artifact: 'ретроградный' → 'retrograde tubal transfer of human embryos'
седловидный	pantaloon embolus, pi. emboli	needs_human_review	akzhigitov_2_5	tilde_artifact: 'седловидный' → 'pantaloon embolus, pi. emboli'
систоло-диастолический	sawing (saw-like, seesaw] murmur)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'систоло-диастолический' → 'sawing (saw-like, seesaw] murmur)'
сосудодвигательный	vasomotor(ial)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'сосудодвигательный' → 'vasomotor(ial)'
специфический	specific capsular substance	needs_human_review	akzhigitov_2_5	tilde_artifact: 'специфический' → 'specific capsular substance'
спонтанный	transmural spontaneous esophageal rupture	needs_human_review	akzhigitov_2_5	tilde_artifact: 'спонтанный' → 'transmural spontaneous esophageal rupture'
средний	mean anatomical - of childbearing in the population	needs_human_review	akzhigitov_2_5	tilde_artifact: 'средний' → 'mean anatomical - of childbearing in the population'
стандартный	conventional immediate complete denture	needs_human_review	akzhigitov_2_5	tilde_artifact: 'стандартный' → 'conventional immediate complete denture'
стандартный	International Standard Serial international standard book-, isbn, ISSN	needs_human_review	akzhigitov_2_5	tilde_artifact: 'стандартный' → 'International Standard Serial international standard book-, isbn, ISSN'
сцепленный	sex-associated hepatitis	needs_human_review	akzhigitov_2_5	tilde_artifact: 'сцепленный' → 'sex-associated hepatitis'
термочувствительный	temperature sensitive radio -*	needs_human_review	akzhigitov_2_5	tilde_artifact: 'термочувствительный' → 'temperature sensitive radio -*'
токсический	toxic(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'токсический' → 'toxic(al)'
трансмембранный	transmembrane transport of matters	needs_human_review	akzhigitov_2_5	tilde_artifact: 'трансмембранный' → 'transmembrane transport of matters'
Уголовно-процессуальный	code of Criminal Procedure	needs_human_review	akzhigitov_2_5	tilde_artifact: 'Уголовно-процессуальный' → 'code of Criminal Procedure'
узелковый	nodular, nodulate(d)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'узелковый' → 'nodular, nodulate(d)'
ультрамикроскопический	submicroscopic(al)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'ультрамикроскопический' → 'submicroscopic(al)'
уреазный	urease-linked cellular immunosorbent enzyme-linked immunospot	needs_human_review	akzhigitov_2_5	tilde_artifact: 'уреазный' → 'urease-linked cellular immunosorbent enzyme-linked immunospot'
фиброэпителиальный	fibroepithelial basal cell carcinoma	needs_human_review	akzhigitov_2_5	tilde_artifact: 'фиброэпителиальный' → 'fibroepithelial basal cell carcinoma'
форсированный	forced expiratory volume in 1 second	needs_human_review	akzhigitov_2_5	tilde_artifact: 'форсированный' → 'forced expiratory volume in 1 second'
хронический	chronic (intermittent, long-term] hemo-dial)	needs_human_review	akzhigitov_2_5	tilde_artifact: 'хронический' → 'chronic (intermittent, long-term] hemo-dial)'
частичный	partial anomalous pulmonary venous connection	needs_human_review	akzhigitov_2_5	tilde_artifact: 'частичный' → 'partial anomalous pulmonary venous connection'
чрескостный	transosseous compression distraction osteosuture, osteosynthesis	needs_human_review	akzhigitov_2_5	tilde_artifact: 'чрескостный' → 'transosseous compression distraction osteosuture, osteosynthesis'
чувственный	sensitive delusion of reference	needs_human_review	akzhigitov_2_5	tilde_artifact: 'чувственный' → 'sensitive delusion of reference'
эпидемиологический	sexually transmitted disease surveillance	needs_human_review	akzhigitov_2_5	tilde_artifact: 'эпидемиологический' → 'sexually transmitted disease surveillance'
эпителиоидный	epithelioid and/or spindle cell nevus, pi. nevi	needs_human_review	akzhigitov_2_5	tilde_artifact: 'эпителиоидный' → 'epithelioid and/or spindle cell nevus, pi. nevi'
