EN	RU	Category
infections	инфекционные заболевания	diagnosis
infections	инфицирование	diagnosis
infections	инфекции	diagnosis
influenza	грипп	diagnosis
inhalation anthrax	легочная форма болезни	diagnosis
insomnia	бессонница	diagnosis
insulin reaction	инсулиновая реакция	diagnosis
insulin shock	инсулиновый шок	diagnosis
intracerebral hematoma	внутримозговая гематома	diagnosis
intracerebral hemorrhage	внутримозговое кровоизлияние	diagnosis
intraventricular hemorrhage	внутрижелудочковое кровоизлияние	diagnosis
irritable bowel syndrome	синдром раздраженного кишечника	diagnosis
jaundice	желтуха	diagnosis
kidney damage	поражение почек	diagnosis
kidney disease	заболевание почек	diagnosis
kidney disease	заболевания почек	diagnosis
kidney failure	почечная недостаточность	diagnosis
kidney failure	отказ почек	diagnosis
kidney stones	камни в почках	diagnosis
lack of oxygen during birth	недостаток кислорода во время родов	diagnosis
latent infection	латентная форма	diagnosis
latex allergy	аллергия на латекс	diagnosis
lead poisoning	отравление свинцом	diagnosis
leukemia	лейкемия	diagnosis
liver failure	отказ печени	diagnosis
long term problems	долгосрочные проблемы со здоровьем	diagnosis
low back pain	боль в пояснице	diagnosis
low blood sugar	низкое содержание сахара в крови	diagnosis
lung cancer	рак легких	diagnosis
lung disease	легочное заболевание	diagnosis
lung diseases	заболевания легких	diagnosis
lung infection	легочная инфекция	diagnosis
lupus	волчанка	diagnosis
lymphoma	лимфома	diagnosis
malignant tumors	злокачественные опухоли	diagnosis
measles	корь	diagnosis
medical problems	заболевания	diagnosis
melanoma	меланома	diagnosis
meningococcal	менингокок	diagnosis
menopause	менопауза	diagnosis
mental retardation	умственная отсталость	diagnosis
metastasis	метастазирование	diagnosis
metastasis	метастазы	diagnosis
methicillin resistant staphylococcus aureus	метициллинрезистентный золотистый стафилококк	diagnosis
middle ear infection	воспаление среднего уха	diagnosis
migraine	мигрень	diagnosis
migraine headache	мигрень	diagnosis
mini stroke	микроинсульт	diagnosis
miscarriage	выкидыш	diagnosis
mixed incontinence	смешанное недержание	diagnosis
mouth infection	инфекция ротовой полости	diagnosis
mrsa	мрзс	diagnosis
multi-infarct dementia	мультиинфарктная деменция	diagnosis
mumps	паротит	diagnosis
myocardial infarction	инфаркт миокарда	diagnosis
narcolepsy	нарколепсия	diagnosis
narrowed blood vessels	суженные кровеносные сосуды	diagnosis
nephropathy	нефропатия	diagnosis
nerve damage	поражение нервных окончаний	diagnosis
nerve injury	повреждение нервов	diagnosis
neutropenia	нейтропения	diagnosis
neutropenia	нейтропенией	diagnosis
night terrors	ночные страхи	diagnosis
non-hodgkin's lymphoma	неходжкинская лимфома	diagnosis
non-small cell lung cancer	немелкоклеточный рак легкого	diagnosis
obstructive sleep apnea	синдром обструктивного апноэ	diagnosis
orthostatic hypotension	ортостатическая гипотензия	diagnosis
osteoarthritis	остеоартрит	diagnosis
osteoporosis	остеопороз	diagnosis
otitis media	средний отит	diagnosis
ovarian cancer	рак яичников	diagnosis
overactive bladder	гиперактивный мочевой пузырь	diagnosis
overactive gland	повышенная активность железы	diagnosis
overdose	передозировка	diagnosis
overflow incontinence	недержание вследствие переполнения	diagnosis
pandemic flu	пандемический грипп	diagnosis
pandemic flu	пандемия гриппа	diagnosis
parkinson's disease	болезнь паркинсона	diagnosis
pediculosis	педикулез	diagnosis
pelvic inflammatory disease	воспаление тазовых органов	diagnosis
peripheral artery disease	заболевания периферических артерий	diagnosis
peripheral neuropathy	периферическая невропатия	diagnosis
peripheral vascular disease	заболевания периферических сосудов	diagnosis
permanent brain damage	необратимое повреждение мозга	diagnosis
pertussis	коклюш	diagnosis
plugged duct	закупорка молочных протоков	diagnosis
pneumonia	пневмония	diagnosis
polio	полиомиелит	diagnosis
polyps	полипы	diagnosis
postpartum depression	послеродовая депрессия	diagnosis
pre-eclampsia	преэклампсия	diagnosis
prediabetes	преддиабет	diagnosis
preeclampsia	преэклампсия	diagnosis
pregnancy	беременность	diagnosis
premature	недоношенный	diagnosis
preterm labor	преждевременные роды	diagnosis
puncture wound	колотая рана	diagnosis
rabies	бешенство	diagnosis
renal failure	почечная недостаточность	diagnosis
respiratory infection	респираторная инфекция	diagnosis
restless leg syndrome	синдром беспокойных ног	diagnosis
retinopathy	ретинопатия	diagnosis
reye's syndrome	синдром рея	diagnosis
rheumatoid arthritis	ревматоидный артрит	diagnosis
rotator cuff injury	травма мышц-вращателей плеча	diagnosis
rotavirus	ротавирус	diagnosis
rubella	краснуха	diagnosis
sarcoma	саркома	diagnosis
scleroderma	склеродермия	diagnosis
seasonal flu	сезонный грипп	diagnosis
seizures	припадки	diagnosis
sexually transmitted infection	инфекция, передаваемая половым путем	diagnosis
sexually transmitted infections	венерические заболевания	diagnosis
shaken baby syndrome	синдром детского сотрясения	diagnosis
shaken baby syndrome	синдром встряхивания младенца	diagnosis
shingles	опоясывающий герпес	diagnosis
sickle cell anemia	серповидно-клеточная анемия	diagnosis
sickle-cell disease	серповидноклеточная анемия	diagnosis
sids	сдсм	diagnosis
sids	синдром внезапной детской смерти	diagnosis
silent strokes	тихие инсульты	diagnosis
sinus problems	проблемы с носовыми пазухами	diagnosis
skin cancer	рак кожи	diagnosis
skin infection	инфекция кожи	diagnosis
skin infections	кожные инфекции	diagnosis
skull fracture	перелом костей черепа	diagnosis
sleep apnea	синдром апноэ	diagnosis
sleep disorders	расстройства сна	diagnosis
sleepwalking	лунатизм	diagnosis
small cell lung cancer	мелкоклеточный рак легкого	diagnosis
smallpox	оспа	diagnosis
sore throat	ангина	diagnosis
sore throat	фарингит	diagnosis
sprain	растяжение	diagnosis
squamous cell carcinoma	плоскоклеточная карцинома	diagnosis
sti	иппп	diagnosis
strep throat	стрептококковая инфекция	diagnosis
stress incontinence	стрессовое недержание	diagnosis
stroke	инсульт	diagnosis
subarachnoid hemorrhage	субарахноидальное кровоизлияние	diagnosis
subdural hematoma	субдуральная гематома	diagnosis
sudden infant death syndrome	синдром внезапной детской смерти	diagnosis
syphilis	сифилис	diagnosis
tb	тб	diagnosis
tetanus	столбняк	diagnosis
throat injury	травма горла	diagnosis
thyroid disease	заболевания щитовидной железы	diagnosis
tia	тиа	diagnosis
tooth decay	кариес	diagnosis
transient ischemic attack	транзиторная ишемическая атака	diagnosis
traumatic brain injury	черепно-мозговая травма	diagnosis
trichomoniasis	трихомонадный вагинит	diagnosis
tuberculosis	туберкулез	diagnosis
type 1 diabetes	диабет 1-го типа	diagnosis
type 1 diabetes	диабет 1 типа	diagnosis
type 2 diabetes	диабет 2-го типа	diagnosis
type 2 diabetes	диабет типа 2	diagnosis
ulcerative colitis	язвенный колит	diagnosis
urge incontinence	ургентное недержание	diagnosis
urinary incontinence	недержание мочи	diagnosis
urinary tract infection	инфекция мочеиспускательного канала	diagnosis
urinary tract infection	инфекция мочевыводящих путей	diagnosis
uti	имп	diagnosis
vaginal atrophy	атрофия влагалища	diagnosis
vaginal infection	вагинальная инфекция	diagnosis
vaginal infections	вагинальные инфекции	diagnosis
vaginitis	вагинит	diagnosis
varicella	ветряная оспа	diagnosis
vascular dementia	васкулярная деменция	diagnosis
viral infection	вирусная инфекция	diagnosis
vitamin d deficiency	дефицит витамина d	diagnosis
yeast infection	молочница	diagnosis
yeast infection	дрожжевая инфекция	diagnosis
yellow fever	жёлтая лихорадка	diagnosis
acetaminophen	ацетаминофен	medication
acetaminophen	ацетоминофен	medication
alcohol	алкоголь	medication
alcohol-based hand sanitizer	дезинфицирующее средство для рук с содержанием спирта	medication
antacids	антациды	medication
anthrax vaccine	вакцина против сибирской язвы	medication
anti-seizure medicine	противосудорожные препараты	medication
antibiotic	антибиотик	medication
antibiotic cream	мазь с антибиотиком	medication
antibiotic cream	крем с антимикробным действием	medication
antibiotic medicine	антибиотик	medication
antibiotic medicine	антибиотики	medication
antibiotic ointment	мазь с антимикробным действием	medication
antibiotics	антибиотики	medication
anticoagulant	антикоагулянты	medication
antidepressants	антидепрессанты	medication
antihistamine	антигистаминный препарат	medication
antiviral medicines	противовирусные препараты	medication
aspart insulin	инсулин аспарт	medication
aspartame	аспартам	medication
aspirin	аспирин	medication
barium mixture	бариевая смесь	medication
birth control	противозачаточные средства	medication
birth control pills	противозачаточные таблетки	medication
bisacodyl	бисакодил	medication
biscodyl	бисакодил	medication
black cohosh	клопогон кистевидный	medication
blood pressure medicine	лекарство от повышенного артериального давления	medication
blood pressure medicine	лекарство для снижения давления	medication
blood pressure medicine	лекарство, нормализующее кровяное давление	medication
blood pressure medicines	лекарства от кровяного давления	medication
blood thinner	лекарства для разжижения крови	medication
blood thinner medicine	препарат, разжижающий кровь	medication
blood thinners	препараты, разжижающие кровь	medication
blood thinners	лекарства для разжижения крови	medication
blood-thinning medication	лекарства для разжижения крови	medication
bone cement	костный цемент	medication
brand name medicine	фирменный препарат	medication
breast milk	грудное молоко	medication
breathing medicines	лекарства для органов дыхания	medication
bulk laxative	слабительное, увеличивающее объем	medication
caffeine	кофеин	medication
calcium	кальций	medication
calcium supplement	кальций	medication
calcium supplement	кальцийсодержащий препарат	medication
calcium supplements	препараты кальция	medication
cephalexin	цефалексин	medication
chemotherapy medicines	химиотерапевтические препараты	medication
chg soap	мыло с хгг	medication
children's tylenol	детский тайленол	medication
chlorhexidine gluconate	хлоргексидина биглюконат	medication
chlorhexidine gluconate	хлоргексидина глюконат	medication
chlorhexidine gluconate	хлоргексидин глюконат	medication
ciprofloxacin	ципрофлоксацин	medication
citrucel	цитруцел	medication
clonidine	клофелин	medication
contrast	контрастное вещество	medication
contrast medicine	контрастное вещество	medication
corticosteroids	кортикостероиды	medication
cough medicine	лекарство от кашля	medication
coumadin	кумадин	medication
detemer	детемер	medication
diabetes medicine	диабетические лекарства	medication
diabetes medicines	лекарства от диабета	medication
diabetes pills	таблетки от диабета	medication
dialysate	диализат	medication
dimenhydrinate	дименгидринат	medication
dong quai	дягель лекарственный	medication
dopamine	дофамин	medication
doxycycline	доксициклин	medication
doxylamine	доксиламин	medication
dtap	акдс	medication
dulcolax	dulcolax	medication
dulcolax	дульколакс	medication
electrolyte drinks	напитки с содержанием электролитов	medication
electrolytes	электролиты	medication
estrogen cream	вагинальный крем с эстрогеном	medication
estrogen ring	вагинальное кольцо с эстрогеном	medication
estrogen tablet	вагинальная таблетка с эстрогеном	medication
eye drops	глазные капли	medication
fever reducing medicine	жаропонижающее лекарство	medication
fever-reducing medicine	жаропонижающие препараты	medication
fiber supplements	добавки с клетчаткой	medication
fiberall	файберол	medication
flu vaccine	прививка от гриппа	medication
folic acid	фолиевая кислота	medication
formula	молочная смесь	medication
gabapentin	габапентин	medication
generic medicine	дженерик	medication
ginseng	женьшень	medication
glargine	гларгин	medication
glucagon	глюкагон	medication
glucophage	глюкофаж	medication
glucose tablets	таблетки глюкозы	medication
hand sanitizer	дезинфицирующее средство для рук	medication
heart medicines	сердечные лекарства	medication
heparin	гепарин	medication
hib	hib	medication
home remedies	народные средства	medication
hpv vaccine	вакцина против впч	medication
humalog	humalog	medication
ibuprofen	ибупрофен	medication
immunizations	иммунизация	medication
infant formula	детская смесь	medication
inhalers	ингаляторы	medication
insulin	инсулин	medication
insulin pen	инсулиновый шприц	medication
insulin shots	уколы инсулина	medication
iodine solution	раствор йода	medication
iron rich baby formula	молочная смесь, обогащенная железом	medication
iron tablets	железосодержащие таблетки	medication
iv contrast	внутривенное контрастное вещество	medication
lanolin	ланолин	medication
lantus	lantus	medication
laxative	слабительное	medication
laxatives	слабительные	medication
levemir	levemir	medication
lice cream	крем от вшей	medication
lice lotion	лосьон от вшей	medication
lip balm	увлажняющий бальзам для губ	medication
lip balm	бальзам для губ	medication
liquid concentrate formula	жидкая концентрированная смесь	medication
liquid medicine	жидкое лекарство	medication
lispro insulin	инсулин лиспро	medication
local anesthetic	местная анестезия	medication
lung medicine	лекарства для легких	medication
magnesium citrate	цитрат магния	medication
medicated lice shampoo	шампунь от вшей	medication
medicine	лекарства	medication
medicine dose	дозировка медикамента	medication
medicines	лекарства	medication
metamucil	метамуцил	medication
metformin	метформин	medication
miralax	миралакс	medication
miralax	miralax	medication
mmr	mmr	medication
morphine	морфин	medication
mouthwash	ополаскиватель для полости рта	medication
multivitamin supplement	поливитамины и минеральные добавки	medication
naloxone	налоксон	medication
naproxen	напроксен	medication
nasal spray	назальный спрей	medication
neosporin	неоспорин	medication
nicotine patch	никотиновый пластырь	medication
nitroglycerin	нитроглицерин	medication
nitroglycerin patch	нитроглицериновый пластырь	medication
nitroglycerin spray	спрей нитроглицерина	medication
nitroglycerin tablet	таблетка нитроглицерина	medication
novolog	novolog	medication
nph insulin	инсулин nph	medication
nsaids	нестероидные противовоспалительные препараты	medication
numbing medicine	обезболивающее средство	medication
numbing medicine	лекарство, вызывающее онемение	medication
numbing medicine	спрей, вызывающий онемение	medication
numbing medicine	обезболивающее лекарство	medication
numbing medicine	обезболивающее	medication
ointment	мазь	medication
opioid	опиоид	medication
over the counter pain medicine	безрецептурные обезболивающие лекарства	medication
over-the-counter medicines	лекарственные препараты, опускаемые без рецепта	medication
oxygen	кислород	medication
oxygen therapy	кислород	medication
pain medicine	обезболивающее лекарство	medication
pain medicine	обезболивающие лекарства	medication
pain medicine	обезболивающее средство	medication
pain medicine	обезболивающий препарат	medication
pain medicine	обезболивающее	medication
pain medicines	обезболивающие	medication
paroxetine	пароксетин	medication
