English	Russian	Source
Antineoplastic	Противоопухолевые средства, препараты	covid_dict
Antiviral	Противовирусный, антивирусный	covid_dict
Antiviral agents	Антивирусные средства, препараты	covid_dict
Anus	Анус, задний проход, анальное отверстие	covid_dict
Apnea	Апноэ	covid_dict
Apolipoproteins	Аполипопротеины	covid_dict
Apoptosis	Апоптоз	covid_dict
Aqueous	Водный	covid_dict
Arginine	Аргинин	covid_dict
Arterial	Артериальный	covid_dict
Arteritis	Артериит	covid_dict
Arterivirus	Артеривирус	covid_dict
Aspirate	Пунктат	covid_dict
Assay	Анализ	covid_dict
Astrocytes	Астроциты	covid_dict
Astrocytoma	Астроцитома	covid_dict
Asymptomatic	Бессимптомный	covid_dict
Atrophy	Атрофия	covid_dict
Attenuated	Аттенуированный	covid_dict
Attenuation	Ослабление, аттенуация	covid_dict
Atypical	Нетипичный	covid_dict
Autoimmune disease	Аутоиммунное заболевание	covid_dict
Autologous	Аутологичный	covid_dict
Autologous bone marrow transplantation	Аутологичная трансплантация костного мозга	covid_dict
Avian	Птичий	covid_dict
Axons	Аксоны	covid_dict
Bacteria	Бактерии	covid_dict
Basal ganglia	Базальный ганглий	covid_dict
Base	Основание	covid_dict
Base pairing	Спаривание оснований	covid_dict
Base sequence	Нуклеотидная последовательность	covid_dict
Binding sites	Участки связывания	covid_dict
Biochemical	Биохимический	covid_dict
Biological response modifier	Биологический модификатор реакции	covid_dict
Biosynthesis	Биосинтез	covid_dict
Biotechnology	Биотехнология	covid_dict
Bioterrorism	Биотерроризм	covid_dict
Bladder	Мочевой пузырь	covid_dict
Blood pressure	Артериальное давление	covid_dict
Blood vessel	Кровеносный сосуд	covid_dict
Body fluids	Биологические жидкости	covid_dict
Bone marrow	Костный мозг	covid_dict
Bone marrow transplantation	Трансплантация костного мозга	covid_dict
Bowel	Кишечник	covid_dict
Bowel movement	Испражнения	covid_dict
Brachytherapy	Брахитерапия	covid_dict
Bradykinin	Брадикинин	covid_dict
Bronchi	Бронхи	covid_dict
Bronchitis	Бронхит	covid_dict
Calcium	Кальций	covid_dict
Capsid	Капсид	covid_dict
Carbohydrate	Углевод	covid_dict
Carbon dioxide	Углекислый газ	covid_dict
Carboxy	Карбокси	covid_dict
Carboxy-terminal	Карбоксиконцевой	covid_dict
Carcinoembryonic antigen	Карциноэмбриональный антиген	covid_dict
Carcinogenic	Канцерогенный	covid_dict
Cardiac	Заболевания сердца	covid_dict
Cardiopulmonary	Сердечно-легочный	covid_dict
Cardiopulmonary resuscitation	Сердечно-легочная реанимация	covid_dict
Cardiovascular	Сердечно-сосудистый	covid_dict
Caspase	Каспаза, каспазный	covid_dict
Caudal	Каудальный, хвостовой	covid_dict
Cell	Клетка	covid_dict
Cell adhesion	Клеточная адгезия	covid_dict
Cell death	Некроз клеток, гибель клеток	covid_dict
Cell differentiation	Дифференцировка клеток, клеточная дифференциация	covid_dict
Cell division	Цитокинез, клеточное деления	covid_dict
Cell fusion	Слияние клеток	covid_dict
Cell membrane	Клеточная мембрана	covid_dict
Cell proliferation	Пролиферация клеток	covid_dict
Central nervous system	Центральная нервная система	covid_dict
Cerebral	Церебральный	covid_dict
Cerebral hemispheres	Полушария головного мозга	covid_dict
Cerebrospinal	Спинномозговой	covid_dict
Cerebrospinal fluid	Спинномозговая жидкость	covid_dict
Cerebrovascular	Цереброваскулярный	covid_dict
Cerebrum	Головной мозг	covid_dict
Cervical	Шейный	covid_dict
Cervix	Шейка матки	covid_dict
Chemokines	Хемокины	covid_dict
Chemotactic factors	Хемотаксические факторы	covid_dict
Chimeras	Химеры	covid_dict
Cholesterol	Холестерин	covid_dict
Cholesterol esters	Эфиры холестерина	covid_dict
Chromatin	Хроматин	covid_dict
Chromosomal	Хромосомный	covid_dict
Chromosome	Хромосома	covid_dict
Chronic	Хронический	covid_dict
Chronic disease	Хроническое заболевание	covid_dict
Chylomicrons	Хиломикроны	covid_dict
Chymopapain	Химопапаина	covid_dict
Chymotrypsin	Химотрипсин	covid_dict
CIS	Служба онкологической информации	covid_dict
Clathrin	Клатрин	covid_dict
Clinical trial	Клиническое исследование, испытание	covid_dict
Cloning	Клонирование	covid_dict
Coagulation	Коагуляция	covid_dict
Coated vesicles	Окаймленные пузырьки	covid_dict
Codon	Кодон, триплет, кодирующий триплет	covid_dict
Cofactor	Кофактор	covid_dict
Colon	Колон, толстая кишка	covid_dict
Complement	Комплемент	covid_dict
Complementary medicine	Комплементарная медицина	covid_dict
Complementation	Комплементация	covid_dict
Computational biology	Вычислительная биология	covid_dict
Computed tomography	Компьютерная томография	covid_dict
Computerized axial tomography	Компьютерная аксиальная томография	covid_dict
Computerized tomography	Компьютерная томография	covid_dict
Conduction	Проводимость, кондукция	covid_dict
Conjunctiva	Конъюнктива	covid_dict
Consensus sequence	Консенсусная последовательность, каноническая последовательность	covid_dict
Conserved sequence	Консервативная последовательность	covid_dict
Constipation	Запор, констипация	covid_dict
Contamination	Инфицирование, контаминация	covid_dict
Contraindications	Противопоказания	covid_dict
Coordination	Координация	covid_dict
Corticosteroid	Кортикостероиды	covid_dict
Cortisone	Кортизон	covid_dict
Cowpox	Коровья оспа	covid_dict
Cowpox virus	Вирус коровьей оспы	covid_dict
Creatinine	Креатинин	covid_dict
Crossing-over	Кроссинговер	covid_dict
Cultured cells	Культивируемые клетки	covid_dict
Curative	Целебный	covid_dict
Cutaneous	Кожный	covid_dict
Cyclic	Циклический	covid_dict
Cycloheximide	Циклогексимид	covid_dict
Cyst	Циста	covid_dict
Cysteine	Цистеин, цис	covid_dict
Cystine	Цистин	covid_dict
Cytokine	Цитокина	covid_dict
Cytoplasm	Цитоплазма	covid_dict
Cytoskeleton	Цитоскелет	covid_dict
Cytotoxic	Цитотоксический	covid_dict
Cytotoxicity	Цитотоксичность	covid_dict
Deamination	Дезаминирование	covid_dict
Degenerative	Дегенеративный	covid_dict
Dehydration	Дегидратация, обезвоживание	covid_dict
Deletion	Делеция	covid_dict
Delivery of health care	Оказание медицинской помощи	covid_dict
Demyelinating diseases	Демиелинизирующее заболевание	covid_dict
Denaturation	Денатурация	covid_dict
Dendrites	Дендриты	covid_dict
Dendritic	Древовидный	covid_dict
Dendritic cell	Дендритная клетка, разветвленная клетка	covid_dict
Dental care	Стоматологическое обслуживание	covid_dict
Depolarization	Деполяризация	covid_dict
Desquamation	Десквамация	covid_dict
Dexamethasone	Дексаметазон	covid_dict
Diagnostic procedure	Диагностическая процедура	covid_dict
Diarrhea (diarrhoea	Диарея	covid_dict
Diastolic	Диастолический	covid_dict
Diffusion	Диффузия	covid_dict
Digestion	Пищеварение, пищеварительный	covid_dict
Diploid	Диплоид	covid_dict
Direct	Прямой, непосредственный	covid_dict
Disease progression	Прогрессирование заболевания, течение болезни	covid_dict
Distal	Дистальный	covid_dict
Drug design	Драг-дизайн, разработка лекарственного средства	covid_dict
Duct	Проток	covid_dict
Duodenum	Двенадцатиперстная кишка	covid_dict
Dysentery	Дизентерия	covid_dict
Ebola virus	Вирус Эбола	covid_dict
Effector	Эффектор	covid_dict
Efficacy	Эффективность	covid_dict
Egg yolk	Яичный желток	covid_dict
Elective	Элективный, избирательный	covid_dict
Electric shock	Поражение электрическим током	covid_dict
Electrocoagulation	Электрокоагуляция	covid_dict
Electrolyte	Электролит	covid_dict
Electrons	Электроны	covid_dict
Embryo	Эмбрион	covid_dict
Emulsion	Эмульсия	covid_dict
Encephalitis	Энцефалит	covid_dict
Encephalitis, viral	Энцефалит, вирусный	covid_dict
Encephalomyelitis	Энцефаломиелит	covid_dict
Endemic	Эндемический	covid_dict
Endocytosis	Эндоцитоз	covid_dict
Endosomes	Эндосомы	covid_dict
Endothelium	Эндотелий	covid_dict
Endothelium-derived	Эндотелиальный	covid_dict
Endotoxin	Эндотоксин	covid_dict
Enteritis	Энтерит	covid_dict
Enterocolitis	Энтероколит	covid_dict
Enterocytes	Энтероциты	covid_dict
Enteropeptidase	Энтеропептидаза, энтерокиназа	covid_dict
Environmental health	Состояние окружающей среды	covid_dict
Enzymatic	Ферментативный, энзиматический, биокаталитический	covid_dict
Enzyme	Энзим, фермент	covid_dict
Enzyme-linked immunosorbent assay (ELISA	Иммуноферментный анализ	covid_dict
Ependymal	Эпендимальный, эпендимный	covid_dict
Epidemic	Эпидемический, повальный	covid_dict
Epinephrine	Эпинефрин, адреналин	covid_dict
Epithelial	Эпителиальный	covid_dict
Epithelial cells	Эпителиальные клетки	covid_dict
Epithelium	Эпителий	covid_dict
Epitope	Эпитоп	covid_dict
Epizootic	Эпизоотический	covid_dict
Erythrocytes	Эритроциты	covid_dict
Esophagus	Пищевод	covid_dict
Eukaryotic cells	Эукариотические клетки	covid_dict
Exfoliation	Эксфолиант	covid_dict
Exhaustion	Истощение	covid_dict
External-beam radiation	Дистанционная лучевая терапия, внешнее излучение	covid_dict
Extracellular	Внеклеточный	covid_dict
Eye infections	Глазные инфекции	covid_dict
Family planning	Планирование размера семьи	covid_dict
Fat	Жир, жировой	covid_dict
Fatty acids	Жирные кислоты	covid_dict
Fecal (faecal	Фекальный	covid_dict
Feces (faeces	Кал, фекалии	covid_dict
Feline infectious peritonitis	Кошачий инфекционный перитонит	covid_dict
Ferrets	Хорьки	covid_dict
Fibrin	Фибрин	covid_dict
Fibrinogen	Фибриноген	covid_dict
Fibrosis	Фиброз, фиброзный	covid_dict
Filovirus	Филовирус	covid_dict
Fixation	Фиксация	covid_dict
Fluorescence	Флуоресценция	covid_dict
Fold	Складка	covid_dict
Fovea	Ямка, углубление	covid_dict
Frameshift	Сдвиг рамки	covid_dict
Frameshift mutation	Мутация со сдвигом рамки	covid_dict
Ganglia	Ганглии	covid_dict
Gas	Газ	covid_dict
Gastric	Желудочный	covid_dict
Gastroenteritis	Гастроэнтерит	covid_dict
Gastrointestinal	Желудочно-кишечный	covid_dict
Gastrointestinal tract	Желудочно-кишечный тракт	covid_dict
Gene	Ген	covid_dict
Gene deletion	Делеция гена	covid_dict
Gene expression	Экспрессия гена	covid_dict
Gene order	Порядок гена	covid_dict
Gene therapy	Генотерапия, генная терапия	covid_dict
Genetic code	Генетический код	covid_dict
Genetic engineering	Генетическая, генная инженерия	covid_dict
Genetic testing	Генетический анализ	covid_dict
Genetics	Генетика, генетическая наследственность	covid_dict
Genomics	Геномика	covid_dict
Genotype	Генотип	covid_dict
Germ cells	Зародышевые клетки, половые зародышевые клетки	covid_dict
Gland	Железа	covid_dict
Glioblastoma	Глиобластома	covid_dict
Glomerulus	Клубочек, гломерула	covid_dict
Glucocorticoid	Глюкокортикоид	covid_dict
Glycine	Глицин	covid_dict
Glycoprotein	Гликопротеин, гликопротеид	covid_dict
Glycosidic	Гликозидный	covid_dict
Glycosylation	Гликозилирование	covid_dict
Goblet cells	Кубические клетки	covid_dict
Governing board	Орган управления	covid_dict
GP120	Гликопротеин оболочки, оболочечный гликопротеин, конверт гликопротеин GP120	covid_dict
Granulocytes	Гранулоциты	covid_dict
Guanylate cyclase	Гуанилат циклаза, гуанилатциклаза	covid_dict
Hantavirus	Хантавирус	covid_dict
Haploid	Гаплоид	covid_dict
Headache	Головная боль	covid_dict
Health care costs	Затраты на здравоохранение	covid_dict
Health expenditures	Расходы на медицинское обслуживание и здравоохранение	covid_dict
Heart arrest	Остановка сердца	covid_dict
Hemoglobin (haemoglobin	Гемоглобин	covid_dict
Hemoglobinopathies	Гемоглобинопатии	covid_dict
Hepatitis	Гепатит	covid_dict
Hepatitis C	Гепатит C	covid_dict
Hepatitis viruses	Вирусы гепатита	covid_dict
Hepatocytes	Гепатоциты	covid_dict
Hepatoma	Гепатома	covid_dict
Heredity	Наследственность	covid_dict
Heterogeneity	Гетерогенность	covid_dict
Histology	Гистология	covid_dict
Homologous	Гомологичный	covid_dict
Homotypic	Гомотипический	covid_dict
Hormonal	Гормональный	covid_dict
Hormone	Гормон, гормональный	covid_dict
Horseradish peroxidase	Пероксидаза из хрена	covid_dict
Host-cell	Клетка организманосителя, клетка-хозяин	covid_dict
Humor (humour	Тканевая жидкость, влага	covid_dict
Humoral	Гуморальный	covid_dict
Hybrid	Гибрид	covid_dict
Hybridization	Гибридизация	covid_dict
Hydrogen	Водородный	covid_dict
Hydrogen bonding	Водородная связь	covid_dict
Hydrolysis	Гидролиз	covid_dict
Hydrophobic	Гидрофобный	covid_dict
Ileostomy	Илеостомия	covid_dict
Immune response	Иммунный ответ	covid_dict
Immune sera	Иммунные сыворотки	covid_dict
Immune system	Иммунная система	covid_dict
Immunity	Иммунитет	covid_dict
Immunization	Иммунизация, вакцинация	covid_dict
Immunoassay	Иммуноанализ	covid_dict
Immunocompromised	С иммунодефицитом, с иммунной недостаточностью	covid_dict
Immunodeficiency	Иммунодефицит	covid_dict
Immunodiffusion	Иммунодиффузия	covid_dict
Immunofluorescence	Иммунофлуоресценция	covid_dict
Immunogenic	Иммуногенный	covid_dict
Immunohistochemistry	Иммуногистохимия, иммуногистохимическое исследование	covid_dict
Immunologic	Иммунологический	covid_dict
Immunology	Иммунология	covid_dict
Immunotherapy	Иммунотерапия	covid_dict
Immunotoxins	Иммунотоксины	covid_dict
Implant radiation therapy	Внутренняя лучевая терапия, терапия близкофокусным радиоактивным излучением, контактная лучевая терапия	covid_dict
In situ	in situ, на месте, локальный, местный	covid_dict
In situ hybridization	Гибридизация in situ	covid_dict
Incompetence	Некомпетентность	covid_dict
Incubation	Инкубация, термостатирование, выдерживание в термостате	covid_dict
Incubation period	Инкубационный период, период инкубационный	covid_dict
Induction	Индукция, индукционный	covid_dict
Infant, newborn	Младенец, новорожденный	covid_dict
Infection	Инфекция, инфицирование, заражение	covid_dict
Infiltration	Инфильтрация, процеживание, просачивание	covid_dict
Inflammation	Воспаление	covid_dict
Influenza	Грипп	covid_dict
Infusion	Инфузия, вливание	covid_dict
Initiation	Инициация	covid_dict
Initiator	Инициатор	covid_dict
Insight	Осознание	covid_dict
Insulator	Инсулятор	covid_dict
Intensive care	Интенсивная терапия	covid_dict
Interferon	Интерферон	covid_dict
Interferon-alpha	Интерферон-альфа	covid_dict
Interleukin-2	Интерлейкин-2	covid_dict
Internal radiation	Внутреннее облучение	covid_dict
Interstitial	Интерстициальный	covid_dict
Intestinal	Кишечный	covid_dict
Intestinal mucosa	Слизистая оболочка кишечника	covid_dict
Intestine	Кишка, кишечник	covid_dict
Intracellular	Внутриклеточный	covid_dict
Intracellular membranes	Внутриклеточные мембраны	covid_dict
Intraepithelial	Интраэпителиальной	covid_dict
Intramuscular	Внутримышечный	covid_dict
Intramuscular injection	Внутримышечная инъекция	covid_dict
Intravascular	Внутрисосудистый	covid_dict
Invasive	Инвазивный	covid_dict
Ion channels	Ионные каналы	covid_dict
Ions	Ионы	covid_dict
Irradiation	Иррадиация, облучение	covid_dict
Kinetics	Кинетика	covid_dict
Labile	Лабильный	covid_dict
Large intestine	Толстая кишка, толстый кишечник	covid_dict
Lectin	Лектин	covid_dict
Lesion	Очаг поражения, патологическое изменение	covid_dict
Lethal	Летальный	covid_dict
Lethargy	Летаргия	covid_dict
Leukemia	Лейкемия	covid_dict
Lipid	Липид	covid_dict
Lipopolysaccharide	Липополисахарид	covid_dict
Lipoprotein	Липопротеин, липопротеид	covid_dict
Liver	Печень	covid_dict
Localization	Локализация	covid_dict
Localized	Локализованный	covid_dict
Locomotion	Локомоция	covid_dict
Loop	Петля	covid_dict
Low-density lipoprotein	Липопротеин низкой плотности	covid_dict
Lymph	Лимфа	covid_dict
Lymph node	Лимфатический узел	covid_dict
Lymphadenopathy	Лимфаденопатия	covid_dict
Lymphatic	Лимфатический	covid_dict
Lymphatic system	Лимфатическая система	covid_dict
Lymphocytes	Лимфоциты	covid_dict
Lymphoid	Лимфатический	covid_dict
Lymphopenia	Лимфопения	covid_dict
Lysine	Лизин, лиз	covid_dict
Lytic	Литический	covid_dict
Macrophage	Макрофаг	covid_dict
Major histocompatibility complex	Главный комплекс гистосовместимости, ГКГ	covid_dict
Malignancy	Злокачественность	covid_dict
Malignant	Злокачественный	covid_dict
Malignant tumor	Злокачественная опухоль	covid_dict
Mediate	Медиировать	covid_dict
Mediator	Нейромедиатор, медиатор	covid_dict
Medline	Медицинская база данных «Медлайн»	covid_dict
Meiosis	Мейоз, редукционное деление	covid_dict
Melanin	Меланин	covid_dict
Membrane	Мембрана	covid_dict
Membrane fusion	Мембранный синтез	covid_dict
Membrane proteins	Мембранные белки	covid_dict
Memory	Память	covid_dict
Meningeal	Менингеальный	covid_dict
Meninges	Оболочки головного мозга	covid_dict
Mental	Психический, умственный	covid_dict
Mental health	Психическое здоровье	covid_dict
Microbe	Микроб	covid_dict
Microbiology	Микробиология	covid_dict
Microglia	Микроглия	covid_dict
Microorganism	Микроорганизм	covid_dict
Microscopy	Микроскопия	covid_dict
Migration	Миграция	covid_dict
Mineralocorticoids	Минералокортикоиды	covid_dict
Mitosis	Митоз	covid_dict
Modelling	Моделирование	covid_dict
Modification	Модификация	covid_dict
Molecular	Молекулярный	covid_dict
Molecule	Молекула	covid_dict
Monitor	Монитор	covid_dict
Monoclonal	Моноклональный	covid_dict
Monoclonal antibodies	Моноклональные антитела	covid_dict
Monocyte	Моноциты	covid_dict
Mononuclear	Мононуклеарный	covid_dict
Morphological	Морфологический	covid_dict
Mucins	Муцины	covid_dict
Mucosa	Слизистая оболочка	covid_dict
Mucus	Слизь	covid_dict
Multiple sclerosis	Рассеянный склероз	covid_dict
Multivalent	Поливалентный	covid_dict
Mutagenesis	Мутагенез	covid_dict
Mutagens	Мутагены	covid_dict
Myalgia	Миалгия	covid_dict
Myelin	Миелин	covid_dict
Myelin sheath	Миелиновая оболочка	covid_dict
Nasal mucosa	Слизистая оболочка носа	covid_dict
Nasopharynx	Носоглотка	covid_dict
Nausea	Тошнота	covid_dict
NCI	Национальный институт онкологии США	covid_dict
Necrosis	Некроз	covid_dict
Necrotizing enterocolitis	Некротический энтероколит	covid_dict
Neonatal	Неонатальный	covid_dict
Neoplasms	Новообразования, опухоли, неоплазмы	covid_dict
Nephritis	Нефрит	covid_dict
Nephropathy	Нефропатия	covid_dict
Nervous system	Нервная система	covid_dict
Neural	Нервный	covid_dict
Neurodegenerative diseases	Нейродегенеративные заболевания	covid_dict
Neurologic	Неврологический	covid_dict
Neuronal	Нейронный, нейрональный	covid_dict
Neurons	Нейроны	covid_dict
Neurotransmitter	Трансмиттер	covid_dict
Neutrons	Нейтроны	covid_dict
Neutrophils	Нейтрофилы	covid_dict
Nitric oxide	Окись азота, NO	covid_dict
Nitrogen	Азот	covid_dict
Nosocomial	Нозокомиальный	covid_dict
Nuclear	Нуклеарный, ядерный	covid_dict
Nuclei	Ядра	covid_dict
Nucleic acid	Нуклеиновая кислота	covid_dict
Nucleic acid hybridization	Гибридизация нуклеиновых кислот	covid_dict
Nucleocapsid	Нуклеокапсид	covid_dict
Nucleocapsid proteins	Нуклеокапсидные белки	covid_dict
Nucleus	Клеточное ядро	covid_dict
Octamer	Октамер	covid_dict
Ocular	Окуляр	covid_dict
Oesophagus	Пищевод	covid_dict
Ointments	Мази	covid_dict
Oligodendroglia	Олигодендроглия	covid_dict
Oligosaccharides	Олигосахариды	covid_dict
Open reading frames	Открытая рамка считывания	covid_dict
Ophthalmology	Офтальмология	covid_dict
Organ culture	Органная культура, культура органа	covid_dict
Otitis	Отит	covid_dict
Otitis media	Отит среднего уха	covid_dict
Otitis media with effusion	Средний отит с выпотом	covid_dict
Ovary	Яичник	covid_dict
Palate	Нёбо	covid_dict
Palliative	Паллиативный	covid_dict
Pancreas	Поджелудочная железа	covid_dict
Pancreatic	Панкреатит	covid_dict
Pancreatic juice	Панкреатический, поджелудочный сок	covid_dict
Paneth cells	Панетовские клетки, клетки Панета	covid_dict
Papain	Папаин	covid_dict
Papillomavirus	Папилломавирус	covid_dict
Paraffin	Парафиновый	covid_dict
Paralysis	Паралич	covid_dict
Parasitic	Паразитический, паразит	covid_dict
Particle	Частица	covid_dict
Pathogen	Патоген	covid_dict
Pathologic	Патологический	covid_dict
Pathologic processes	Патологические процессы	covid_dict
Pediatric	Педиатрический	covid_dict
Peptide	Пептид	covid_dict
Peptide T	Пептид Т	covid_dict
Peripheral blood	Периферическая нервная система	covid_dict
Peripheral nervous system	Периферическая нервная система	covid_dict
Peritoneal	Перитонеальный	covid_dict
Peritoneum	Брюшной, перитонеальый	covid_dict
Peritonitis	Перитонит	covid_dict
Perivascular	Периваскулярный	covid_dict
Petroleum	Нефтяной	covid_dict
Phallic	Фаллический	covid_dict
Pharmaceutical preparations	Фармацевтические препараты	covid_dict
Pharmacokinetics	Фармакокинетика	covid_dict
Pharmacologic	Фармакологический	covid_dict
Pharynx	Глотка	covid_dict
Phenotype	Фенотип	covid_dict
Phenylalanine	Фенилаланин, фен	covid_dict
Phospholipases	Фосфолипазы	covid_dict
Phospholipids	Фосфолипиды, фосфатиды	covid_dict
Phosphorus	Фосфор	covid_dict
Phosphorylated	Фосфорилированный	covid_dict
Phosphorylation	Фосфорилирование	covid_dict
Photocoagulation	Фотокоагуляция	covid_dict
Phylogeny	Филогения, филогенез	covid_dict
Physiologic	Физиологический	covid_dict
Physiology	Физиологические признаки	covid_dict
Picornavirus	Пикорнавирус	covid_dict
Pituitary gland	Гипофиз	covid_dict
Plants	Растения	covid_dict
Plaque assay	Анализ бляшкообразования	covid_dict
Plasma	Плазма	covid_dict
Plasma cells	Плазматические клетки	covid_dict
Plasmid	Плазмида	covid_dict
Platelet activation	Активация тромбоцитов	covid_dict
Platelet aggregation	Агрегация тромбоцитов	covid_dict
Platelets	Тромбоциты	covid_dict
Pneumonia	Пневмония	covid_dict
Poisoning	Отравление	covid_dict
Polymerase	Полимераза	covid_dict
Polymerase chain reaction	Полимеразная цепная реакция	covid_dict
Polypeptide	Полипептид	covid_dict
Polyproteins	Полипротеины	covid_dict
Polysaccharide	Полисахарид	covid_dict
Postsynaptic	Постсинаптический	covid_dict
Potassium	Калий	covid_dict
Potentiation	Потенцирование	covid_dict
Practice guidelines	Практические рекомендации	covid_dict
Precursor	Предшественник	covid_dict
Prednisolone	Преднизолон	covid_dict
Prednisone	Преднизон	covid_dict
Probe	Зонд	covid_dict
Progeny	Потомство	covid_dict
Progression	Прогрессирование, развитие	covid_dict
Progressive	Прогрессирующий	covid_dict
Promoter	Промотор	covid_dict
Prophase	Профаза	covid_dict
Prophylaxis	Профилактика	covid_dict
Prospective study	Проспективное исследование	covid_dict
Protease	Протеолитический фермент, протеаза	covid_dict
Protein S	Белок, протеин S	covid_dict
Proteins	Белки, протеины	covid_dict
Proteolytic	Протеолитический	covid_dict
Proteome	Протеом	covid_dict
Protozoa	Протозоа	covid_dict
Proximal	Проксимальный	covid_dict
Psychiatry	Психиатрия	covid_dict
Public health	Общественное здоровье, здравоохранение, охрана здоровья населения	covid_dict
Public policy	Курс государственной политики, общественногосударственная политика	covid_dict
Publishing	Издательский, печатный	covid_dict
Pulmonary	Легочный	covid_dict
Pulse	Пульс	covid_dict
Purifying	Очистительный	covid_dict
Purines	Пурины	covid_dict
Pyrimidines	Пиримидины	covid_dict
Quality of Life	Качество жизни	covid_dict
Quaternary	Четвертичный	covid_dict
Race	Расовая принадлежность	covid_dict
Radiation	Радиация, излучение	covid_dict
Radiation therapy	Лучевая, радиационная терапия	covid_dict
Radiolabeled	Меченный радиоактивным изотопом, радиомеченый	covid_dict
Radiotherapy	Радиотерапия	covid_dict
Randomized	Рандомизированный	covid_dict
Receptor	Рецептор	covid_dict
Recombinant	Рекомбинантный	covid_dict
Recombinant fusion proteins	Рекомбинантные белки слияния	covid_dict
Recombinant proteins	Рекомбинантные белки	covid_dict
Recombination	Рекомбинация	covid_dict
Rectal	Ректальный	covid_dict
Rectum	Прямая кишка	covid_dict
Refer	Направить	covid_dict
Refraction	Рефракция	covid_dict
Regimen	Схема приема	covid_dict
Replicon	Репликон	covid_dict
Respiration	Дыхание	covid_dict
Respiratory distress syndrome	Респираторный дистресссиндром, синдром дыхательной недостаточности	covid_dict
Respiratory syncytial virus	Респираторносинцитиальный вирус	covid_dict
Retroviral vector	Ретровирусный вектор	covid_dict
Reverse transcriptase polymerase chain reaction	Полимеразная цепная реакция с обратной транскриптазой	covid_dict
Rhabdomyosarcoma	Рабдомиосаркома	covid_dict
Rhinovirus	Риновирус	covid_dict
Ribonuclease	Рибонуклеаза	covid_dict
Ribosome	Рибосома	covid_dict
Rigidity	Ригидность	covid_dict
Risk factor	Фактор риска	covid_dict
Rotavirus	Ротавирусный	covid_dict
Ruminants	Мелкий рогатый скот	covid_dict
Saliva	Слюна	covid_dict
Salivary	Слюнный	covid_dict
Sclerosis	Склероз	covid_dict
Screening	Скрининг	covid_dict
Secretion	Секреция	covid_dict
Secretory	Секреторный	covid_dict
Segregation	Сегрегация, разъединение, расщепление	covid_dict
Seizures	Эпилептические припадки	covid_dict
Sensor	Датчик, сенсор	covid_dict
Sequence analysis	Секвенирование, анализ последовательности	covid_dict
Sequence homology	Гомология последовательностей	covid_dict
Sequencing	Секвенирование	covid_dict
Serine	Серин, сер	covid_dict
Seroconversion	Сероконверсия	covid_dict
Serologic	Серологический	covid_dict
Serum	Сыворотка	covid_dict
Side effect	Побочный эффект	covid_dict
Signal transduction	Передача сигнала, сигнальная трансдукция	covid_dict
Small intestine	Тонкая кишка	covid_dict
Smallpox	Оспа	covid_dict
Sodium	Натрий	covid_dict
Somatic	Соматический	covid_dict
Somatic cells	Соматические клетки	covid_dict
Specialist	Специалист	covid_dict
Species	Вид	covid_dict
Species specificity	Видовая специфика	covid_dict
Specificity	Специфичность	covid_dict
Spectrum	Спектр	covid_dict
Sperm	Сперма, сперматозоид	covid_dict
Spinal cord	Спинной мозг	covid_dict
